"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:447","'%subject'","'%subject'","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:478","Based on your @settings, the notification above is sent to you <strong>:frequency</strong>","Sur la base de vos @settings, vous recevez cette notification de manière <strong>:frequency</strong>","","False","","",""
"social_swiftmail_sendgrid.module:95","Hi <strong>@display_name</strong>","Bonjour <strong>@display_name</strong>","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:470","Immediately","instantanée","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:446","Notification from %site_name","Nouvelle notification %site_name","","False","","",""
"social_swiftmail_sendgrid.info.yml:0","Social","Social","","False","","",""
"social_swiftmail_sendgrid.info.yml:0","Social Swiftmailer & Sendgrid integration","Intégration de Social Swiftmailer et Sendgrid","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassUserMailQueueJob.php:118","The Job was finished correctly, no error thrown.","Le travail s'est terminé correctement, aucune erreur n'a été signalée.","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:160","The Job was has been split up in batches.","L'emploi a été divisé en lots.","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:125","The activity was already deleted. We marked it as successful.","L'activité a déjà été supprimée. Nous l'avons marquée comme réussie.","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:249","The job was finished correctly.","Le travail a été effectué correctement.","","False","","",""
"social_swiftmail_sendgrid.info.yml:0","This will use Swiftmailer to process mails and Sendgrid for the actual sending, allowing placeholders and more.","Il utilisera Swiftmailer pour traiter les messages et Sendgrid pour l'envoi proprement dit, en autorisant les espaces réservés, etc.","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:274;331","We expected some recipients. None were provided.","Nous nous attendions à ce qu'il y ait des destinataires. Aucun n'a été fourni.","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:471","email notification settings","paramètres de réception des notifications","","False","","",""
