"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/VideoSettings.php:126","'- None -'","'- Aucun -'","","False","","",""
"src/Plugin/VideoProvider/Mux.php:112","Access token ID","ID du jeton d'accès","","True","","",""
"src/Plugin/VideoProvider/Mux.php:118","Access token secret","Jeton d'accès secret","","True","","",""
"src/Plugin/Field/FieldWidget/SocialVideoPostWidget.php:39","Add video","Ajouter une vidéo","","True","","",""
"social_video.permissions.yml:0","Administer Video settings","Administrer les paramètres vidéo","","True","","",""
"src/Plugin/VideoProvider/Mux.php:352","An asset in Mux with id: @id, has been deleted.","Un bien dans Mux avec l'id : @id, a été supprimé.","","True","","",""
"src/Plugin/VideoProvider/Mux.php:213","Can't create an asset, error was: @error","Impossible de créer un actif, l'erreur était : @error","","True","","",""
"src/Plugin/VideoProvider/Mux.php:252","Can't delete an asset, error was: @error","Impossible de supprimer un bien, l'erreur était : @error","","True","","",""
"src/Plugin/VideoProvider/Mux.php:232","Can't fetch an asset, error was: @error","Impossible de récupérer un bien, l'erreur était : @error","","True","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:120","Can't fetch file entity.","Impossible de récupérer l'entité fichier.","","True","","",""
"src/Plugin/VideoProvider/Mux.php:139","Debug options","Options de débogage","","True","","",""
"src/Plugin/VideoProvider/Mux.php:134","Delete the stored passwords.","Supprimer les mots de passe enregistrés.","","True","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:86","Determines if the video is external.","Détermine si la vidéo est externe.","","True","","",""
"src/Plugin/Field/FieldFormatter/SocialVideoUrlFormatter.php:14","Display the external video url.","Affiche l'url de la vidéo externe.","","True","","",""
"src/Plugin/Filter/VideoEmbed.php:13","Embed video","Intégrer la vidéo","","True","","",""
"src/Plugin/Filter/VideoEmbed.php:13","Embeds video items","Intégration d'éléments vidéo","","True","","",""
"src/Plugin/VideoProvider/Mux.php:145","Enable debug options","Activer les options de débogage","","True","","",""
"config/schema/external_video.schema.yml:0","Entity ID","Identifiant (ID) de l'entité","","False","","",""
"config/schema/external_video.schema.yml:0","Entity type","Type d'entité","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:66","External","Externe","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:70","External ID","ID externe","","True","","",""
"config/schema/external_video.schema.yml:0","External Options","Options externes","","True","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:71","External asset ID","ID de l'actif externe","","True","","",""
