"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/SocialWebformSubmissionListBuilder.php:112","Add notes to @label","","","False","","",""
"src/SocialWebformSubmissionListBuilder.php:223","Anonymous","","","False","","",""
"social_webform.module:97","Create New Webform","","","False","","",""
"src/SocialWebformSubmissionListBuilder.php:112","Edit @label notes","","","False","","",""
"config/schema/social_webform.schema.yml:0","Link account name to profile","","","False","","",""
"social_webform.module:99","New Webform","","","False","","",""
"src/SocialWebformSubmissionListBuilder.php:165","No","","","False","","",""
"social_webform.links.menu.yml:0","Overview of all the webforms and submissions.","","","False","","",""
"social_webform.info.yml:0","Provides the ability to create forms and surveys.","","","False","","",""
"social_webform.info.yml:0","Social","","","False","","",""
"social_webform.info.yml:0","Social Webform","","","False","","",""
"config/schema/social_webform.schema.yml:0","Social Webform settings","","","False","","",""
"social_webform.links.menu.yml:0","Webform Overview","","","False","","",""
"src/SocialWebformSubmissionListBuilder.php:165","Yes","","","False","","",""
"src/SocialWebformSubmissionListBuilder.php:160","draft","","","False","","",""
