"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"templates/group/group--teaser--sky.html.twig:108","1 member","1 membre","",FALSE,"","",""
"templates/node/album/node--album--hero--sky.html.twig:84","'@owner's Albums'","Albums de @owner","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:196","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra n'a pas partagé ses informations de profil.'","",FALSE,"","",""
"color/color.inc:13","Accent color","","",FALSE,"","",""
"color/color.inc:14","Accent text color","","",FALSE,"","",""
"templates/group/group--statistic.html.twig:32","Accept","Accepter","",FALSE,"","",""
"templates/node/album/node--album--full--sky.html.twig:8","Add images","Ajouter des images","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:102","Address","Adresse","",FALSE,"","",""
"theme-settings.php:163","Allows you to render the Content Entity Forms in Open Social style. This means we remove a lot of Drupal look and feel and logic.
        Buttons on the create content are changed from Save to Create. The advanced details, e.g. the vertical tabs added in Drupal core
        are not rendered anymore, instead we use a collapsible fieldset.
        Fields like revision, URL Redirect are unset. The preview button is removed and more.","","",FALSE,"","",""
"templates/node/node--teaser--sky.html.twig:9","Author name","Nom de l'auteur","",FALSE,"","",""
"templates/node/album/node--album--hero--sky.html.twig:79","Back to @owner's Albums","Retour aux albums de @owner","",TRUE,"","",""
"templates/node/album/node--album--hero--sky.html.twig:81","Back to owner's albums","Retour aux albums de @owner","",TRUE,"","",""
"theme-settings.php:46","Border radius","Rayon de la bordure","",FALSE,"","",""
"socialblue.info.yml:0","Breadcrumb","","",FALSE,"","",""
"theme-settings.php:77","Button border radius (px)","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Button radius","","",FALSE,"","",""
"templates/group/group--statistic.html.twig:50","Cancel request","Annuler la demande","",FALSE,"","",""
"theme-settings.php:63","Card border radius (px)","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Card radius","","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:84","Closed group","Groupe fermé","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color accent","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color accent text","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color link","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color navbar active background","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color navbar active text","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color navbar background","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color navbar secondary background","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color navbar secondary text","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color navbar text","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color primary","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color secondary","","",FALSE,"","",""
"socialblue.info.yml:0","Complementary bottom","","",FALSE,"","",""
"socialblue.info.yml:0","Complementary top","","",FALSE,"","",""
"socialblue.info.yml:0","Content","Contenu","",FALSE,"","",""
"socialblue.info.yml:0","Content bottom","Bas de contenu","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Content entity form style","","",FALSE,"","",""
"socialblue.info.yml:0","Content top","Début du contenu","",FALSE,"","",""
"templates/node/node--teaser--sky.html.twig:12","Created on","Créé le","",FALSE,"","",""
"templates/group/group--statistic.html.twig:35","Decline","Refuser","",FALSE,"","",""
"theme-settings.php:154","Default","Par défaut","",FALSE,"","",""
"theme-settings.php:168","Default Drupal","","",FALSE,"","",""
"theme-settings.php:118","Define the percentage of darkness of the hero gradient from 0 to 100.","Définir le pourcentage de couleur du gradient de 0 à 100.","",FALSE,"","",""
"theme-settings.php:79","Define the roundness of buttons corners.","","",FALSE,"","",""
"theme-settings.php:65","Define the roundness of cards corners.","","",FALSE,"","",""
"theme-settings.php:72","Define the roundness of the corners of form-controls, like <code>input</code>, <code>textarea</code> and <code>select</code>","","",FALSE,"","",""
"socialblue.info.yml:0","Demo theme for Open social installations.","","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:88","E-mail","E-mail","",FALSE,"","",""
"templates/node/node--hero--sky.html.twig:91;94","Edit content","Modifier le contenu","",FALSE,"","",""
"templates/group/group--hero--sky.html.twig:12;14","Edit group","Modifier le groupe","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:38;70","Edit profile","Modifier le profil","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:37;69","Edit profile information","Modifier mon profil","",FALSE,"","",""
"templates/node/event/node--event--teaser--sky.html.twig:7;9","Event date","Date de l'évênement","",FALSE,"","",""
"templates/node/event/node--event--hero--sky.html.twig:66;69","Event location","Localisation de l'évènement","",FALSE,"","",""
"templates/node/event/node--event--featured--sky.html.twig:35","Event schedule","Programmation de l'événement","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:111","Expertise","Compétences","",FALSE,"","",""
"templates/profile/profile--profile--teaser--sky.html.twig:7","Follower","","",FALSE,"","",""
"templates/profile/profile--profile--teaser--sky.html.twig:9","Following","","",FALSE,"","",""
"theme-settings.php:134","Font","Police","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Font primary","Police de caractères","",FALSE,"","",""
"theme-settings.php:55","Fonts","Polices de caractères","",FALSE,"","",""
"socialblue.info.yml:0","Footer","Pied de page","",FALSE,"","",""
"theme-settings.php:70","Form control border radius (px)","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Form control radius","","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:64","Group","Groupe","",FALSE,"","",""
"socialblue.info.yml:0","Header","Bannière","",FALSE,"","",""
"theme-settings.php:177;185","Header style","","",FALSE,"","",""
"socialblue.info.yml:0","Header top","","",FALSE,"","",""
"socialblue.info.yml:0","Hero","","",FALSE,"","",""
"theme-settings.php:116","Hero gradient","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Hero gradient opacity","","",FALSE,"","",""
"socialblue.info.yml:0","Hidden","Masqué","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:122","Interests","Centres d'intérêt","",FALSE,"","",""
"templates/node/node--hero--sky.html.twig:231","Invite","","",FALSE,"","",""
"templates/group/group--statistic.html.twig:32;61;61","Join","S'inscrire","",FALSE,"","",""
"templates/group/group--statistic.html.twig:38","Joined","Membre du groupe","",FALSE,"Is a member","",""
"templates/profile/profile--profile--default--sky.html.twig:95","Language","Langue","",FALSE,"","",""
"templates/group/group--statistic.html.twig:40","Leave group","Quitter le groupe","",FALSE,"","",""
"color/color.inc:15","Link color","Couleur des liens","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:117","Located at:","Localisé à :","",FALSE,"","",""
"theme-settings.php:93","Logo for e-mails","Logo pour les emails","",FALSE,"","",""
"templates/profile/profile--profile--teaser--sky.html.twig:11","Member","Membre","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:32","Message","","",FALSE,"","",""
"color/color.inc:18","Navigation active item background","","",FALSE,"","",""
"color/color.inc:19","Navigation active item text","","",FALSE,"","",""
"color/color.inc:16","Navigation background","","",FALSE,"","",""
"color/color.inc:17","Navigation text","","",FALSE,"","",""
"templates/node/album/node--album--full--sky.html.twig:6","No images added to this album yet","Aucune image n'a encore été ajoutée à cet album","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:104","Number of group members","Nombre de membres du groupe","",FALSE,"","",""
"theme-settings.php:188","One line","","",FALSE,"","",""
"theme-settings.php:37","Opensocial settings","Paramètres OpenSocial","",FALSE,"","",""
"socialblue.info.yml:0","Page title","Titre de la page","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:81","Phone","Téléphone","",FALSE,"","",""
"color/color.inc:11","Primary color","Couleur primaire","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:64","Private message","Envoyer un message privé","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:147","Profile tags","Tags du profil","",FALSE,"","",""
"color/color.inc:53","Purple Rain","","",FALSE,"","",""
"color/color.inc:93","Raspberry blue","Bleu framboise","",FALSE,"","",""
"templates/node/event/node--event--featured--sky.html.twig:98","Read more","Lire la suite","",FALSE,"","",""
"theme-settings.php:162","Render Content Entity forms in Open Social style","","",FALSE,"","",""
"templates/group/group--statistic.html.twig:48","Request sent","Requête envoyée","",FALSE,"","",""
"templates/group/group--statistic.html.twig:53;53;59;59","Request to join","Demander à rejoindre","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Second line navigation active item background","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Second line navigation active item text","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Second line navigation background","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Second line navigation text","","",FALSE,"","",""
"color/color.inc:12","Secondary color","Couleur secondaire","",FALSE,"","",""
"socialblue.info.yml:0","Secondary navigation","","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:89","Secret group","Groupe secret","",FALSE,"","",""
"color/color.inc:20","Section navbar background","","",FALSE,"","",""
"color/color.inc:21","Section navbar text","","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:78","See full profile","Voir le profil complet","",FALSE,"","",""
"templates/group/group--statistic.html.twig:78","See group information","Voir les informations du groupe","",FALSE,"","",""
"templates/node/node--hero--sky.html.twig:246","Share this page","Partager cette page","",FALSE,"","",""
"socialblue.info.yml:0","Sidebar First","","",FALSE,"","",""
"socialblue.info.yml:0","Sidebar Second","","",FALSE,"","",""
"os-builder/index.twig:32","Skip to main content","Aller au contenu principal","",FALSE,"","",""
"theme-settings.php:155","Sky (New)","","",FALSE,"","",""
"color/color.inc:73","Snow White","Blanche Neige","",FALSE,"","",""
"color/color.inc:33","Social Blue (default)","Bleu (par défaut)","",FALSE,"","",""
"socialblue.info.yml:0","Social Blue theme","","",FALSE,"","",""
"theme-settings.php:143;152","Style","Style","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:177","Tags","Tags","",FALSE,"","",""
"templates/node/event/node--event--teaser--sky.html.twig:17;19","The event will take place at the","L'évènement aura lieu :","",FALSE,"","",""
"theme-settings.php:137","The font family to use.","La famille de police à utiliser.","",FALSE,"","",""
"templates/node/node--hero--sky.html.twig:135","The visibility of this content is set to @visibility_label","La visibilité de ce contenu est défini comme  @visibility_label","",FALSE,"","",""
"templates/node/node--teaser--sky.html.twig:25;27","This content is posted in","Ce contenu est posté dans","",FALSE,"","",""
"templates/node/event/node--event--teaser--sky.html.twig:28;30","This event is posted in","Cet évènement est posté dans","",FALSE,"","",""
"templates/node/event/node--event--featured--sky.html.twig:70;73","Total amount of comments","Nombre total de commentaires","",FALSE,"","",""
"templates/node/event/node--event--featured--sky.html.twig:85","Total amount of enrollments","Nombre total d'inscriptions","",FALSE,"","",""
"templates/node/album/node--album--teaser--sky.html.twig:11","Total amount of images","Nombre total d'images","",FALSE,"","",""
"templates/node/node--featured--sky.html.twig:73","Total amount of likes","Montant total de J'aime(s)","",FALSE,"","",""
"templates/node/node--hero--sky.html.twig:201","Total amount of views","Nombre total de vues","",FALSE,"","",""
"theme-settings.php:189","Two lines","","",FALSE,"","",""
"templates/node/node--featured--sky.html.twig:13","Type of content","Type de contenu","",FALSE,"","",""
"theme-settings.php:94","Upload a logo which is shown in e-mail sent by the platform. This overrides the default logo that is also used in e-mails when no logo is provided here.","Télécharger un logo pour les emails envoyés par la plateforme. Cela remplace le logo par défaut.","",FALSE,"","",""
"src/Plugin/Preprocess/Node.php:75","View album","Voir l'album","",FALSE,"","",""
"templates/node/event/node--event--hero--sky.html.twig:18","Visibility:","Visibilité :","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:138","You have joined","Membre du groupe","",FALSE,"Is a member","",""
"templates/node/event/node--event--featured--sky.html.twig:99","about @label","Au sujet de @label","",FALSE,"","",""
"templates/node/node--teaser--sky.html.twig:14","by","par","",FALSE,"","",""
"templates/node/node--hero--sky.html.twig:185","comment","commentaire","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:48","event","événement","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:56","group","groupe","",FALSE,"","",""
"templates/node/event/node--event--hero--sky.html.twig:29","in group @group_link","dans le groupe @group_link","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:121","located at:","localisé à :","",FALSE,"","",""
"templates/group/group--statistic.html.twig:6","member","Membre","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","socialblue settings","paramètres socialblue","",FALSE,"","",""
"templates/profile/profile--profile--statistic.html.twig:52","topic","publication","",FALSE,"","",""
"templates/node/node--full--sky.html.twig:88","unpublished","non publié","",FALSE,"","",""
