"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/video_embed_media/config/schema/video_embed_media.schema.yml:0","""Video Embed Field"" media source configuration","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:187",", autoplaying","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:164",", linked to content","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:164",", linked to provider","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:148","'- None -'","'- Aucun(e) -'","","False","","",""
"src/ProviderPluginBase.php:172","'@provider Video (@id)'","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:184","'@widthx@height'","","","False","","",""
"video_embed_field.module:44","About","À propos","","False","","",""
"src/Plugin/Field/FieldType/VideoEmbedField.php:87","Allowed Providers","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:139","Autoplay","Lecture automatique","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:141","Autoplay the videos for users without the ""never autoplay videos"" permission. Roles with this permission will bypass this setting.","","","False","","",""
"modules/video_embed_wysiwyg/config/schema/video_embed_wysiwyg.schema.yml:0","Children","","","False","","",""
"src/Plugin/Field/FieldFormatter/Colorbox.php:14","Colorbox Modal","","","False","","",""
"config/schema/video_embed_field.schema.yml:0","Colorbox formatter settings.","","","False","","",""
"config/schema/video_embed_field.schema.yml:0","Colorbox hybrid formatter settings.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:151","Content","Contenu","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:150","Copies thumbnail image to the local filesystem and returns the URI.","","","False","","",""
"src/Plugin/Validation/Constraint/VideoEmbedConstraint.php:22","Could not find a video provider to handle the given URL.","","","False","","",""
"modules/video_embed_wysiwyg/src/Plugin/CKEditorPlugin/VideoEmbedWysiwyg.php:63","Default Settings","","","False","","",""
"modules/video_embed_wysiwyg/config/schema/video_embed_wysiwyg.schema.yml:0","Defaults","Paramètres par défaut","","False","","",""
"video_embed_field.permissions.yml:0","Disables autoplay for every video viewed by users with the given role.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:185","Embedded Video (@dimensions@autoplay).","","","False","","",""
"modules/video_embed_wysiwyg/src/Plugin/Filter/VideoEmbedWysiwyg.php:15","Enables the use of video_embed_wysiwyg.","","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:15","Enables video_embed_field integration with media.","","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:151","Gets URI of the locally saved image.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:169","Height","Hauteur","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:139","Image Style","","","False","","",""
"modules/video_embed_wysiwyg/video_embed_wysiwyg.info.yml:0","Integrates video_embed_field directly into ckeditor. Useful for websites not using the media suite of modules that need WYSIWYG support.","","","False","","",""
"modules/video_embed_media/video_embed_media.info.yml:0","Integrates video_embed_field with the Media module, creating a new media type tailored to display embedded videos. Useful for websites which are using the media suite of modules.","","","False","","",""
"config/schema/video_embed_field.schema.yml:0","Lazy load formatter settings.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:146","Link image to","Lier l'image à","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:147","Make the video fill the width of it's container, adjusting to the size of the user's screen.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Colorbox.php:163","Maximum Width","","","False","","",""
"src/Plugin/Field/FieldType/VideoEmbedField.php:11","Media","Média","","False","","",""
"modules/video_embed_media/modules/vem_migrate_oembed/src/Commands/VemCommands.php:50","Migration complete.","","","False","","",""
"config/schema/video_embed_field.schema.yml:0;0","Modal max width","","","False","","",""
"video_embed_field.permissions.yml:0","Never autoplay videos","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:152","Provider URL","","","False","","",""
"modules/video_embed_media/modules/vem_migrate_oembed/vem_migrate_oembed.info.yml:0","Provides a drush command to migrate to cores oEmbed","","","False","","",""
"video_embed_field.info.yml:0","Provides a field type for displaying videos from 3rd party providers such as YouTube and Vimeo.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:184","Responsive","Adaptatif","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:145","Responsive Video","","","False","","",""
"src/Plugin/Field/FieldType/VideoEmbedField.php:88","Restrict users from entering information from the following providers. If none are selected any video provider can be used.","","","False","","",""
"modules/video_embed_wysiwyg/src/Form/VideoEmbedDialog.php:102","Save","Enregistrer","","False","","",""
"modules/video_embed_wysiwyg/src/Form/VideoEmbedDialog.php:95","Settings","Paramètres","","False","","",""
"src/Plugin/Field/FieldType/VideoEmbedField.php:11","Stores a video and then outputs some embed code.","","","False","","",""
"modules/video_embed_wysiwyg/video_embed_wysiwyg.module:76","The ""Video Embed WYSIWYG"" filter must run after the ""Limit allowed HTML tags"" filter to function correctly. For more information <a href=""@url"">read the documentation</a>.","","","False","","",""
"modules/video_embed_wysiwyg/video_embed_wysiwyg.module:69","The ""Video Embed WYSIWYG"" filter must run before the ""Convert URLs into links"" filter to function correctly. For more information <a href=""@url"">read the documentation</a>.","","","False","","",""
"video_embed_field.module:45","The Video Embed Field module provides a simple field type you can use to embed videos and their preview thumbnails from YouTube, Vimeo and other providers. See the <a href="":field_help"">Field module help</a> and the <a href="":field_ui_help"">Field UI help</a> pages for general information on fields and how to create and manage them. For more Video Embed Field help, see the <a href="":video_embed_field_docs"">online community documentation</a> or the <a href="":project_page"">module project page</a>.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Colorbox.php:165","The maximum size of the video opened in the Colorbox window in pixels. For smaller screen sizes, the video will scale.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:16","Thumbnail","Vignette","","False","","",""
"config/schema/video_embed_field.schema.yml:0","Thumbnail formatter settings.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Colorbox.php:179","Thumbnail that launches a modal window.","","","False","","",""
"src/Plugin/Field/FieldFormatter/LazyLoad.php:158","Thumbnail that lazy loads video embed code.","","","False","","",""
"modules/video_embed_wysiwyg/video_embed_wysiwyg.module:50","To embed videos, make sure you have enabled the ""Video Embed WYSIWYG"" filter and dragged the video icon into the WYSIWYG toolbar. For more information <a href=""@url"">read the documentation</a>.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:16","Video","Vidéo","","False","","",""
"src/Plugin/Field/FieldFormatter/LazyLoad.php:14","Video (lazy load)","","","False","","",""
"src/Plugin/Field/FieldType/VideoEmbedField.php:11","Video Embed","","","False","","",""
"modules/video_embed_wysiwyg/video_embed_wysiwyg.info.yml:0","Video Embed Field","","","False","","",""
"modules/video_embed_media/video_embed_media.info.yml:0","Video Embed Media","","","False","","",""
"modules/video_embed_media/modules/vem_migrate_oembed/vem_migrate_oembed.info.yml:0","Video Embed Media - Migrate to core oEmbed","","","False","","",""
"modules/video_embed_wysiwyg/src/Plugin/Filter/VideoEmbedWysiwyg.php:15","Video Embed WYSIWYG","","","False","","",""
"modules/video_embed_wysiwyg/config/install/image.style.video_embed_wysiwyg_preview.yml:0","Video Embed Wysiwyg: Thumbnail Preview","","","False","","",""
"modules/video_embed_wysiwyg/video_embed_wysiwyg.routing.yml:0","Video Form","","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:147","Video ID.","","","False","","",""
"src/Plugin/Field/FieldWidget/VideoTextfield.php:9","Video Textfield","","","False","","",""
"modules/video_embed_wysiwyg/src/Form/VideoEmbedDialog.php:73","Video URL","URL de la vidéo","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:15","Video embed field","","","False","","",""
"config/schema/video_embed_field.schema.yml:0","Video field settings.","","","False","","",""
"config/schema/video_embed_field.schema.yml:0","Video formatter settings.","","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:149","Video source human name.","","","False","","",""
"modules/video_embed_media/src/Plugin/media/Source/VideoEmbedField.php:148","Video source machine name.","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:166","Video thumbnail (@style@linked).","","","False","","",""
"src/Plugin/Field/FieldType/VideoEmbedField.php:68","Video url","","","False","","",""
"src/Plugin/Validation/Constraint/VideoEmbedConstraint.php:7","VideoEmbed provider constraint","","","False","Validation","",""
"src/Plugin/video_embed_field/Provider/Vimeo.php:7","Vimeo","","","False","","",""
"src/Plugin/Field/FieldFormatter/Video.php:160","Width","Largeur","","False","","",""
"src/Plugin/video_embed_field/Provider/YouTube.php:7","YouTube","","","False","","",""
"src/Plugin/video_embed_field/Provider/YouTubePlaylist.php:7","YouTube Playlist","","","False","","",""
"src/Plugin/Field/FieldFormatter/Thumbnail.php:167","no image style","","","False","","",""
