"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Commands/ViewsBulkOperationsCommands.php:285","(any)","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:731","'-- Select action --'","'-- Sélectionner une action--'","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:122","..plus @count more..","","",FALSE,"","",""
"views_bulk_operations.install:68","'@count view configs converted.'","","",FALSE,"","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:453","Access denied","Accès refusé","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:388","Action","","",FALSE,"","",""
"config/schema/views_bulk_operations.data_types.schema.yml:0","Action label override","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Action plugin ID","","",FALSE,"","",""
"src/Commands/ViewsBulkOperationsCommands.php:251","Action processing results: @results.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:459","Action title","Titre de l'action","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:131","Action will be executed on all items in the view.","","",FALSE,"","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Actions Permissions","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:526","Add confirmation step","","",FALSE,"","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Adds access permissions on all actions allowing admins to restrict access on a per-role basis.","","",FALSE,"","",""
"views_bulk_operations.info.yml:0","Adds an ability to perform bulk operations on selected entities from view results.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:452","Always show selection info","","",FALSE,"","",""
"src/Form/ConfigureAction.php:100","Apply","Postuler","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:726","Apply to selected items","Appliquer aux éléments sélectionnés","",FALSE,"","",""
"src/Form/ConfirmAction.php:92","Are you sure you wish to perform ""%action"" action on 1 entity?","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:421","Batch size","Taille du lot","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:248","Cancel","Annuler","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:14","Cancel the selected user accounts","Annuler les comptes utilisateur sélectionnés","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:266","Canceled ""%action"".","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:800","Clear","Vider","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Clear selection when exposed filters change","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:445","Clear selection when exposed filters change.","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Configuration array for the plugin","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:431","Configuration form on new page (configurable actions)","","",FALSE,"","",""
"src/Form/ConfigureAction.php:91","Configure ""%action"" action applied to the selection","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Default","","",FALSE,"","",""
"modules/views_bulk_operations_example/views_bulk_operations_example.info.yml:0","Defines an example action with all possible options.","","",FALSE,"","",""
"src/Plugin/Action/EntityDeleteAction.php:33","Delete entities","Supprimer des entités","",FALSE,"","",""
"src/Plugin/Action/EntityDeleteAction.php:9","Delete selected entities / translations","","",FALSE,"","",""
"src/Plugin/Action/EntityDeleteAction.php:29","Delete translations","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Display action options as buttons","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Display configuration form on a separate page","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:439","Display selectable actions as buttons.","","",FALSE,"","",""
"src/Commands/ViewsBulkOperationsCommands.php:243","Entity list generation time: @time ms.","","",FALSE,"","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:444","Entity type not supported","Type d'entité non pris en charge","",FALSE,"","",""
"modules/views_bulk_operations_example/config/schema/views_bulk_operations_example.schema.yml:0","Example preliminary configuration","","",FALSE,"","",""
"modules/views_bulk_operations_example/src/Plugin/Action/ViewsBulkOperationExampleAction.php:52","Example setting","","",FALSE,"","",""
"modules/views_bulk_operations_example/src/Plugin/Action/ViewsBulkOperationExampleAction.php:75","Example setting pre-execute","","",FALSE,"","",""
"modules/views_bulk_operations_example/views_bulk_operations_example.info.yml:0","Examples","Exemples","",FALSE,"","",""
"src/Form/ConfirmAction.php:104","Execute action","Exécuter l'opération","",FALSE,"","",""
"modules/actions_permissions/src/ActionsPermissions.php:89","Execute the %action action on %type.","Exécuter l'opération %action sur %type.","",FALSE,"","",""
"src/Commands/ViewsBulkOperationsCommands.php:246","Execution time: @time ms.","Temps d'exécution : @time ms.","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:1005","Form error occurred, Unavailable action selected.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:1002","Form error occurred, please try again.","","",FALSE,"","",""
"src/Commands/ViewsBulkOperationsCommands.php:240","Initialization time: @time ms.","","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:84","Items selected:","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:517","Leave empty for the default label.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:403","NOTE","","",FALSE,"","",""
"views_bulk_operations.install:71","No conversions were required by Views Bulk Operations.","","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:116","No items","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:1016","No items selected.","Aucun élément sélectionné.","",FALSE,"","",""
"src/Form/ConfigureAction.php:87","No items selected. Go back and try again.","","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:143","Notify user when account is canceled","Notifier l'utilisateur lorsque son compte est annulé","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:425","Only applicable if results are processed in a batch operation.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:516","Override label","Supplanter l'étiquette","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:998","Please select an action to perform.","Veuillez sélectionner une opération à exécuter.","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:503","Preconfiguration for ""@action""","","",FALSE,"","",""
"views_bulk_operations.module:16","Process entities returned by the view with Views Bulk Operations' actions.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:416","Process in a batch operation","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Process selected entities in a batch operation","","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:136","Require email confirmation to cancel account","Demander un courriel de confirmation pour annuler le compte","",FALSE,"","",""
"js/adminUi.js:0","Select / deselect all","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:810","Select / deselect all results in this view (all pages, @count total)","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:783","Selected 1 item in this view","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:468","Selected actions","Actions sélectionnées","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Selected actions data array","","",FALSE,"","",""
"src/Form/ViewsBulkOperationsFormTrait.php:84","Selected all items except:","","",FALSE,"","",""
"config/schema/views_bulk_operations.data_types.schema.yml:0","Should a confirmation step be added?","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:454","Should the selection info fieldset be shown above the view even if there is only one page of results and full selection can be seen in the view itself?","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Should the selection information always be displayed?","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Size of the processing batch","","",FALSE,"","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:434","Skipped","Ignoré","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:95","The current user account cannot be canceled in a batch operation. Select your account only or cancel it from your account page.","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:461","The title shown above the actions dropdown.","Le titre affiché au-dessus du menu déroulant des actions.","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:98","The user 1 account (%label) cannot be canceled.","","",FALSE,"","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Title of the action selector form element","","",FALSE,"","",""
"modules/views_bulk_operations_example/src/Plugin/Action/ViewsBulkOperationExampleAction.php:11","VBO example action","","",FALSE,"","",""
"views_bulk_operations.info.yml:0","Views","Vues","",FALSE,"","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Views Bulk Operations","","",FALSE,"","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations batch starter","","",FALSE,"","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations configure step","","",FALSE,"","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations confirm execution","","",FALSE,"","",""
"modules/views_bulk_operations_example/views_bulk_operations_example.info.yml:0","Views Bulk Operations example","","",FALSE,"","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations multipage AJAX","","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:404","Views Bulk Operations will work only with normal entity views and contrib module views that are integrated. See \Drupal\views_bulk_operations\EventSubscriber\ViewsBulkOperationsEventSubscriber class for integration best practice.","","",FALSE,"","",""
"views_bulk_operations.module:15","Views bulk operations","","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:128","When cancelling these accounts","Lors de l'annulation de ces comptes","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:138","When enabled, the user must confirm the account cancellation via email.","Si activé, l'utilisateur doit confirmer l'annulation du compte par courriel.","",FALSE,"","",""
"src/Plugin/Action/CancelUserAction.php:146","When enabled, the user will receive an email notification after the account has been canceled.","Si activé, l'utilisateur recevra un courriel de notification après que le compte ait été annulé.","",FALSE,"","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:446","With this enabled, selection will be cleared every time exposed filters are changed, select all will select all rows with exposed filters applied and view total count will take exposed filters into account. When disabled, select all selects all results in the view with empty exposed filters and one can change exposed filters while selecting rows without the selection being lost.","","",FALSE,"","",""
"modules/actions_permissions/src/ActionsPermissions.php:79","all entity types","tous les types d'entités","",FALSE,"","",""
