"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:728","'-- Select action --'","'-- Sélectionner une action--'","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:120","..plus @count more..","","","False","","",""
"views_bulk_operations.install:70","'@count view configs converted.'","","","False","","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:448","Access denied","Accès refusé","","False","","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:457","Access denied: @reason","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:386","Action","","","False","","",""
"config/schema/views_bulk_operations.data_types.schema.yml:0","Action label override","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Action plugin ID","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:457","Action title","Titre de l'action","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:129","Action will be executed on all items in the view.","","","False","","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Actions Permissions","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:524","Add confirmation step","","","False","","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Adds access permissions on all actions allowing admins to restrict access on a per-role basis.","","","False","","",""
"views_bulk_operations.info.yml:0","Adds an ability to perform bulk operations on selected entities from view results.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:450","Always show selection info","","","False","","",""
"src/Form/ConfigureAction.php:94","Apply","Postuler","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:723","Apply to selected items","Appliquer aux éléments sélectionnés","","False","","",""
"src/Form/ConfirmAction.php:87","Are you sure you wish to perform ""%action"" action on 1 entity?","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:419","Batch size","Taille du lot","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:249","Cancel","Annuler","","False","","",""
"src/Plugin/Action/CancelUserAction.php:15","Cancel the selected user accounts","Annuler les comptes utilisateur sélectionnés","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:267","Canceled ""%action"".","","","False","","",""
"src/Plugin/Action/CancelUserAction.php:109","Cancelling user account","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:797","Clear selection","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Clear selection when exposed filters change","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:443","Clear selection when exposed filters change.","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Configuration array for the plugin","","","False","","",""
