"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/views/display/DataExport.php:333","(@export_format)","","","False","","",""
"src/Plugin/views/display/DataExport.php:327","(@filename)","","","False","","",""
"src/Plugin/views/display/DataExport.php:414","<strong>The private:// file system is not configured so the exported files will be stored in the public:// files directory. Click <a href=""@link"" target=""_blank"">here</a> for instructions on configuring the private files in the settings.php file.</strong>","","","False","","",""
"src/Plugin/views/display/DataExport.php:278","'@nr rows'","","","False","","",""
"src/Plugin/views/display/DataExport.php:151","'@percentage% complete. Time elapsed: @elapsed'","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Allow anonymous users to download this file","","","False","","",""
"src/Plugin/views/display/DataExport.php:302;488","Attach to","","","False","","",""
"src/Plugin/views/display/DataExport.php:356","Batch","","","False","","",""
"src/Plugin/views/display/DataExport.php:266","Batch (size: @size)","","","False","","",""
"src/Plugin/views/display/DataExport.php:366","Batch size","","","False","","",""
"src/Plugin/views/style/DataExport.php:79","CSV settings","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Category","","","False","","",""
"src/Plugin/views/display/DataExport.php:256","Change the way rows are processed.","","","False","","",""
"src/Plugin/views/display/DataExport.php:435","Check this if you want to configure a custom redirect path.","","","False","","",""
"src/Plugin/views/display/DataExport.php:422","Check this if you want to download the file immediately after it is created. Does <strong>NOT</strong> work for JSON data exports.","","","False","","",""
"src/Plugin/views/display/DataExport.php:478","Check this if you want to include query string parameters on redirect.","","","False","","",""
"src/Plugin/views/display/DataExport.php:406","Check this if you want to store the export files in the public:// files directory instead of the private:// files directory.","","","False","","",""
"src/Plugin/views/display/DataExport.php:525","Choose the facet source used to alter data export. This should be the display that this data export is attached to.","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Company","","","False","","",""
"src/Plugin/views/style/DataExport.php:11","Configurable row output for data exports.","","","False","","",""
"src/Plugin/views/display/DataExport.php:770;849","Could not write to temporary output file for result export (@file). Check permissions.","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Creator","","","False","","",""
"src/Plugin/views/display/DataExport.php:434;464","Custom redirect path","","","False","","",""
"src/Plugin/views/style/DataExport.php:11","Data export","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Data export display options","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Data export output format","","","False","","",""
"src/Plugin/views/style/DataExport.php:86","Delimiter","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Description","","","False","","",""
"src/Plugin/views/style/DataExport.php:117","Determines the encoding used for CSV cell values.","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Display","","","False","","",""
"src/Plugin/views/display/DataExport.php:496","Displays","","","False","","",""
"templates/export-icon.html.twig:16","Download @format","","","False","","",""
"src/Plugin/views/display/DataExport.php:421","Download immediately","","","False","","",""
"config/schema/views_data_export.views.schema.yml:0","Downloaded filename","","","False","","",""
"src/Plugin/views/style/DataExport.php:92","Enclosure","","","False","","",""
"src/Plugin/views/style/DataExport.php:116","Encoding","","","False","","",""
"src/Plugin/views/display/DataExport.php:466","Enter custom path to redirect user after batch finishes.","","","False","","",""
"src/Plugin/views/style/DataExport.php:98","Escape character","","","False","","",""
"src/Plugin/views/display/DataExport.php:901","Export complete. Download the file <a download href="":download_url""  data-download-enabled=""false"" id=""vde-automatic-download"">here</a>.","","","False","","",""
"src/Plugin/views/display/DataExport.php:907","Export complete. Download the file <a download href="":download_url"" data-download-enabled=""true"" id=""vde-automatic-download"">here</a> if file is not automatically downloaded.","","","False","","",""
"src/Plugin/views/display/DataExport.php:916","Export failed. Make sure the private file system is configured and check the error log.","","","False","","",""
