"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"admin_toolbar_search/src/SearchLinks.php:134","'@entity_type > @bundle'","","",FALSE,"","",""
"admin_toolbar_search/admin_toolbar_search.module:20","About","Informazioni","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:422","Add contact form","Aggiungi un form di contatto","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:299","Add content","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:293","Add content type","Aggiungi un tipo di contenuto","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:403","Add custom block","Aggiungere un blocco personalizzato","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:320","Add form mode","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:568","Add language","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:373","Add link","Aggiungi link","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:596","Add media","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:577","Add media type","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:342","Add menu","Aggiungi menù","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:228","Add role","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:207","Add user","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:532","Add view","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:325","Add view mode","","",FALSE,"","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:333","Add vocabulary","Aggiungi vocabolario","",FALSE,"","",""
"admin_toolbar_tools/admin_toolbar_tools.info.yml:0","Adds menu links like Flush cache, Run cron, Run updates, and Logout under Drupal icon.","","",FALSE,"","",""
"admin_toolbar.links.menu.yml:0","Admin Toolbar","","",FALSE,"","",""
"admin_toolbar_tools/admin_toolbar_tools.info.yml:0","Admin Toolbar Extra Tools","","",FALSE,"","",""
"admin_toolbar_links_access_filter/admin_toolbar_links_access_filter.info.yml:0","Admin Toolbar Links Access Filter","","",FALSE,"","",""
"admin_toolbar_search/admin_toolbar_search.links.menu.yml:0","Admin Toolbar Search","","",FALSE,"","",""
