"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:142","'- None -'","'- Nessuno -'","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:98","Available blocks","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:140","Block","Blocco","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:14","Block (plugin)","Blocco (plugin)","",FALSE,"","",""
"block_field.info.yml:0","Block Field","Campo Bloco","",FALSE,"","",""
"config/schema/block_field.yml:0","Block Field field settings","","",FALSE,"","",""
"config/schema/block_field.yml:0","Block Field selection plugin settings","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:18","Block field","Campo bloco","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/BlockFieldLabelFormatter.php:9","Block field label","Etichetta campo blocco","",FALSE,"","",""
"config/schema/block_field.yml:0","Block field selection handler settings","","",FALSE,"","",""
"config/schema/block_field.yml:0","Block field settings","Impostazioni campo blocco","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Blocks.php:50;10","Blocks","Blocchi","",FALSE,"","",""
"config/schema/block_field.yml:0","Blocks(default) selection handler settings","","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Categories.php:47;10","Categories","","",FALSE,"","",""
"config/schema/block_field.yml:0","Categories selection handler settings","","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Blocks.php:58","Category","","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:115","Change selection","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:86","Configuration form","Configurazioni form","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:103","Configuration form: @configuration_form","Configurazioni form: @configuration_form","",FALSE,"","",""
"config/schema/block_field.yml:0","Default value","Valore predefinito","",FALSE,"","",""
"block_field.info.yml:0","Field","Campo","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:89","Full","Pieno","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:90","Hidden","Nascosto","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/BlockFieldWidget.php:87","How the block configuration form will be shown.","Come sarà mostrato il blocco configurazione.","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Blocks.php:59","Label/ID","","",FALSE,"","",""
"config/schema/block_field.yml:0;0","Link format settings","Impostazioni del formato Link","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Blocks.php:65","No blocks are available.","Nessun blocco è disponibile.","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Categories.php:60","No categories are available.","","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Blocks.php:51","Please select available blocks.","Seleziona blocchi disponibili.","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Categories.php:48","Please select available categories.","","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:50","Plugin ID","ID del plugin","",FALSE,"","",""
"config/schema/block_field.yml:0","Plugin ids","Plugin ids","",FALSE,"","",""
"src/Plugin/block_field/BlockFieldSelection/Blocks.php:60","Provider","","",FALSE,"","",""
"block_field.info.yml:0","Provides a field that allows a content entity to create and configure custom block instances.","Fornisce un campo che consente a un'entità di contenuto di creare e configurare istanze di blocco personalizzate.","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:14","Reference","Referenze","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:106","Selection method","","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:54","Settings","Impostazioni","",FALSE,"","",""
"src/Plugin/Field/FieldType/BlockFieldItem.php:14","Stores an instance of a configurable or custom block.","Memorizza un'istanza di un blocco configurabile o personalizzato.","",FALSE,"","",""
