"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"coder_sniffer/Drupal/Test/good/good.php:291;308","Create @entity_type path alias","Crea l'alias del percorso @entity_type","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:292;309","Path","Percorso","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:298;315","The @entity_type for which to create a path alias.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:300;317","Path alias","Alias di percorso","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:302;319","Specify an alternative path by which the content can be accessed. For example, 'about' for an about page. Use a relative path and do not add a trailing slash.","","","False","","",""
"coder_sniffer/Drupal/Test/Arrays/disallow_long_array_d8/disallow_long_array_d8.info.yml:0","Disallow Long Array Test","","","False","","",""
"coder_sniffer/Drupal/Test/Arrays/disallow_long_array_d8/disallow_long_array_d8.info.yml:0","Test module.","","","False","","",""
"coder_sniffer/Drupal/Test/Commenting/FileCommentUnitTest.5.inc:2","You are here","","","False","","",""
"coder_sniffer/Drupal/Test/ControlStructures/ControlSignatureUnitTest.inc:7;9;12","Failed to get data ""%error"".","","","False","","",""
"coder_sniffer/DrupalPractice/Test/Objects/src/ExampleService.php:30","Test","","","False","","",""
"coder_sniffer/Drupal/Test/Semantics/FunctionTUnitTest.inc:25","This string should avoid backslashes for '","","","False","","",""
"coder_sniffer/Drupal/Test/Semantics/FunctionTUnitTest.inc:33"," Do not start with a space","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:175","Front Page","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:175","All Pages","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:175","List Pages","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:542","This module inserts funny text into posts randomly.","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:433","She's a good person.","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:434","This is a ""fancy"" string.","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:440","Number of attempts: ","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.php:738","Log message here.","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.module:44","Example Page","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.module:45","My example module page that does something.","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.install:13","The base table for nodes.","","","False","","",""
"coder_sniffer/Drupal/Test/bad/bad.install:16","The primary identifier for a node.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:164;174","xyz @url","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:746","special character: \""","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:747","special character: '","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:749","Link to Drupal's <a href=""@url"">admin pages</a>.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:753;756;758;763;765;767;769;772;774;777;779;810;818","x","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1100","Some long mulit-line 
  text is weird, but allowed.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1159","add job","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1598","Item will be removed permanently when configuration is saved.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1183","Delete any path alias","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1183","Existing system path alias","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1183","Specifies the existing path alias you wish to delete, for example 'about/team'. Use a relative path and do not add a trailing slash.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1286","Reaction Rule","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1622","Email","E-mail","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1622","Notification","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.php:1622","Sends a webform submission via an email.","","","False","","",""
"coder_sniffer/Drupal/Test/good/good.tpl.php:12;13;21;22","Home","Home","","False","","",""
"coder_sniffer/DrupalPractice/Test/FunctionDefinitions/test.module:22","Secret stuff","","","False","","",""
"coder_sniffer/DrupalPractice/Test/FunctionDefinitions/test.install:12","Message","Messaggio","","False","","",""
"coder_sniffer/DrupalPractice/Test/General/OptionsTUnitTest.inc:5","Display","Schermo","","False","","",""
"coder_sniffer/DrupalPractice/Test/General/VariableNameUnitTest.inc:6","Minimum cache refresh time","","","False","","",""
"coder_sniffer/DrupalPractice/Test/General/VariableNameUnitTest.inc:7","The minimum amount of time before cron will force a cache clear.","","","False","","",""
"coder_sniffer/DrupalPractice/Test/General/VariableNameUnitTest.inc:12","Minutes","","","False","","",""
"coder_sniffer/DrupalPractice/Test/InfoFiles/dependencies_test.info.yml:0","Node","Nodo","","False","","",""
"coder_sniffer/DrupalPractice/Test/InfoFiles/dependencies_test.info.yml:0","Allows content to be submitted to the site and displayed on pages.","Permette di inserire contenuti nel sito e di mostrarli nelle pagine.","","False","","",""
"coder_sniffer/DrupalPractice/Test/InfoFiles/dependencies_test.info.yml:0","Core","","","False","","",""
"coder_sniffer/DrupalPractice/Test/Objects/GlobalFunctionUnitTest.inc:6;12","Example text","","","False","","",""
"coder_sniffer/DrupalPractice/Test/Objects/GlobalFunctionUnitTest.inc:7","test","","","False","","",""
"coder_sniffer/DrupalPractice/Test/ProjectDetection/modules/drupal8/testmodule.info.yml:0","Test module","","","False","","",""
"coder_sniffer/DrupalPractice/Test/ProjectDetection/modules/drupal8/testmodule.info.yml:0","Test.","","","False","","",""
"coder_sniffer/DrupalPractice/Test/Yaml/routing_access_test.routing.yml:0;0;0","Reset your password","Reimposta la tua password","","False","","",""
"coder_sniffer/DrupalPractice/Test/good/good.php:12","View Mode","","","False","","",""
"coder_sniffer/DrupalPractice/Test/good/good.php:13","test description","","","False","","",""
