"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config_update_ui/src/Controller/ConfigUpdateController.php:404","'@name configuration'","'@name configurazione'","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:415;607","'@name module'","modulo @name","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:429;597","'@name profile'","profilo @name","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:424;617","'@name theme'","tema @name","","False","","",""
"config_update_ui/config_update_ui.module:18","About","Informazioni","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:464","Added configuration items","Elementi di configurazione aggiunti","","False","","",""
"config_update_ui/config_update_ui.info.yml:0","Adds an updates report and revert functionality to configuration management.","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:393","All configuration","","","False","","",""
"config_update_ui/src/Form/ConfigDeleteConfirmForm.php:99","Are you sure you want to delete the %type config %item?","","","False","","",""
"config_update_ui/src/Form/ConfigImportConfirmForm.php:101","Are you sure you want to import the %type config %item from its source configuration?","","","False","","",""
"config_update_ui/src/Form/ConfigRevertConfirmForm.php:101","Are you sure you want to revert the %type config %item to its source configuration?","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:185","Back to 'Updates report' page","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:482","Changed configuration items","","","False","","",""
"config_update_ui/config_update_ui.module:22","Checking for configuration differences","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:135","Config difference for @type @name","","","False","","",""
"config_update_ui/src/Commands/ConfigUpdateUiCommands.php:247","Config is missing, cannot diff.","","","False","","",""
"config_update.info.yml:0","Configuration Update Base","","","False","","",""
"config_update_ui/config_update_ui.info.yml:0","Configuration Update Reports","","","False","","",""
"config_update_ui/config/schema/config_update_ui.schema.yml:0","Configuration Update Reports settings","","","False","","",""
"config_update_ui/config_update_ui.module:35","Configuration items are normalized and formatted before computing differences. The normalization step alphabetizes the components at each level of the hierarchy, and removes a few components whose differences should be ignored, such as the UUID. The formatting step shows the full hierarchy of each configuration value with :: separators for the hierarchy levels, and a : separator between the lowest-level setting name and the value, so that in a line-by-line diff you can always see which values are actually different. Green lines with + signs have been added, and yellow lines with - signs have been removed.","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:442","Configuration updates report for @label","","","False","","",""
"config_update_ui/src/Form/ConfigImportConfirmForm.php:115","Configuration will be added to your site. This action cannot be undone.","","","False","","",""
"config_update_ui/src/Form/ConfigRevertConfirmForm.php:115","Customizations will be lost. This action cannot be undone.","","","False","","",""
"config_update_ui/src/Form/ConfigDeleteConfirmForm.php:120","Delete","Elimina","","False","","",""
"config_update_ui/config_update_ui.permissions.yml:0","Delete any configuration","","","False","","",""
"config_update_ui/config_update_ui.routing.yml:0","Differences","","","False","","",""
"config_update_ui/config_update_ui.module:31","Differences, including missing and added configuration, can be due to either an updated module or theme providing different configuration from when you installed it, or to changes made by site administrators. This report does not differentiate between these two sources for differences, and note that an install profile can also silently override module/theme configuration. Overrides (such as those in your settings.php file) and translations are not considered when looking at differences.","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:263","Everything","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:167;636","Export","Esporta","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:267","Full report","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:226","Generate new report","","","False","","",""
"config_update_ui/config/schema/config_update_ui.schema.yml:0","Ignored configuration items","","","False","","",""
"config_update_ui/src/Form/ConfigImportConfirmForm.php:122","Import","Importa","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:637","Import from source","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:455","Inactive optional items","","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:361","Installation profile","Profilo di installazione","","False","","",""
"config_update_ui/src/Controller/ConfigUpdateController.php:527","Label (if any)","","","False","","",""
