"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/optional/views.view.locked_content.yml:0;0;0",", ",", ","","False","","",""
"config/optional/views.view.locked_content.yml:0","'- All -'","'- Tutto -'","","False","","",""
"content_lock.module:189","'@entity cannot be deleted because it was locked by @user since @time.'","","","False","","",""
"content_lock.module:248;254","'@type locked'","","","False","","",""
"content_lock.module:27","About","Informazioni","","False","","",""
"js/content_lock_form.js:0","Action not available because content is locked.","","","False","","",""
"src/Form/ContentLockSettingsForm.php:188","Activating this options activates the lock when the user is on the form. This helps if modules interacting with form without a user interacting with the form, like the prefetch_cache module.","","","False","","",""
"src/Form/ContentLockSettingsForm.php:204","Activating this options allows users to edit different entity forms concurrently","","","False","","",""
"src/Form/ContentLockSettingsForm.php:170","Activating this options allows users to edit multiple translations concurrently","","","False","","",""
"content_lock.permissions.yml:0","Administer Content Lock settings","","","False","","",""
"content_lock.links.menu.yml:0","Administer content locking settings.","","","False","","",""
"src/Form/ContentLockSettingsForm.php:142","All","Tutto","","False","","",""
"config/optional/views.view.locked_content.yml:0","Apply","Applica","","False","","",""
"config/optional/views.view.locked_content.yml:0","Asc","Asc","","False","","",""
"src/Plugin/Action/BreakLock.php:12","Break Lock","","","False","","",""
"src/Form/EntityBreakLockForm.php:125","Break Lock for content @label","","","False","","",""
"content_lock.permissions.yml:0","Break a lock on content so that it may be edited.","","","False","","",""
"content_lock.permissions.yml:0","Break content lock","","","False","","",""
"config/schema/content_lock.views.schema.yml:0","Break link","","","False","","",""
"src/ContentLock/ContentLock.php:437","Break lock","Interrompi il blocco","","False","","",""
"config/schema/content_lock.schema.yml:0","Break lock action","","","False","","",""
"modules/content_lock_timeout/config/schema/content_lock_timeout.schema.yml:0","Break lock on edit","","","False","","",""
"modules/content_lock_timeout/config/schema/content_lock_timeout.schema.yml:0","Break lock stale","","","False","","",""
"modules/content_lock_timeout/src/Form/SettingsForm.php:56","Break stale locks on edit","","","False","","",""
"modules/content_lock_timeout/content_lock_timeout.module:92","Breaking existing lock by @name so that you may edit this node. (This lock was set @date ago and was stale since @stale_time.)","","","False","","",""
"config/schema/content_lock.schema.yml:0","Bundle type","","","False","","",""
"modules/content_lock_timeout/src/Form/SettingsForm.php:57","By default, stale locks will be broken when cron is run. This option enables checking for stale locks when a user clicks a node's Edit link, enabling lower lock timeout values without having to run cron every few minutes.","","","False","","",""
"src/ContentLock/ContentLock.php:448","Click here to @link","","","False","","",""
"content_lock.module:411","Configuration","Configurazione","","False","","",""
"modules/content_lock_timeout/src/Form/SettingsForm.php:42","Configure automatic stale lock breaking.","","","False","","",""
"src/Form/EntityBreakLockForm.php:144","Confirm break lock","","","False","","",""
"content_lock.info.yml:0","Content","Contenuto","","False","","",""
"content_lock.links.menu.yml:0","Content Lock","","","False","","",""
"modules/content_lock_timeout/content_lock_timeout.info.yml:0","Content Lock Timeout","","","False","","",""
"content_lock.module:213","Content lock","","","False","","",""
"content_lock.routing.yml:0","Content lock settings","","","False","","",""
"config/schema/content_lock.views.schema.yml:0","Content lock sort","","","False","","",""
"modules/content_lock_timeout/content_lock_timeout.routing.yml:0","Content lock timeout settings","","","False","","",""
"config/optional/views.view.locked_content.yml:0;0","Content type","Tipologia di contenuto","","False","","",""
"modules/content_lock_timeout/content_lock_timeout.info.yml:0","Custom","Personalizzato","","False","","",""
"config/optional/views.view.locked_content.yml:0","Desc","Desc","","False","","",""
"src/Form/ContentLockSettingsForm.php:201","Disable lock for selected form operations","","","False","","",""
"src/Form/ContentLockSettingsForm.php:199","Disabled","Disattivato","","False","","",""
"config/schema/content_lock.schema.yml:0","Disabled / blacklist / whitelist mode per entity type","","","False","","",""
"config/schema/content_lock.schema.yml:0","Display content lock messages","","","False","","",""
"src/Form/ContentLockSettingsForm.php:200","Enable lock for selected form operations","","","False","","",""
"src/Form/ContentLockSettingsForm.php:88","Enable this option to display a message to the user when they lock a content item by editing it.","","","False","","",""
"config/schema/content_lock.schema.yml:0","Entity type","Tipo di entità","","False","","",""
"src/Form/ContentLockSettingsForm.php:97","Entity type protected","","","False","","",""
"config/schema/content_lock.schema.yml:0","Entity types","","","False","","",""
"config/schema/content_lock.schema.yml:0","Entity types with JS lock on","","","False","","",""
"config/schema/content_lock.schema.yml:0","Entity types with translation lock on","","","False","","",""
"content_lock.module:305","Form operation of the lock","","","False","","",""
"src/Form/ContentLockSettingsForm.php:211","Form operations","","","False","","",""
"content_lock.links.task.yml:0","General","Generale","","False","","",""
"config/schema/content_lock.views.schema.yml:0","Is Locked","","","False","","",""
"config/optional/views.view.locked_content.yml:0","Items per page","Elementi per pagina","","False","","",""
"content_lock.module:287","Language of the lock","","","False","","",""
"config/optional/views.view.locked_content.yml:0","Last »","Ultimo »","","False","","",""
"content_lock.module:339","Link to break the content lock.","","","False","","",""
