"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Validation/Constraint/ValidDynamicReferenceConstraint.php:73","'%property should not be null.'","'%property non può essere vuoto.'","","False","","",""
"dynamic_entity_reference.views.inc:78","'@entity using @field_name'","'@entity che usa @field_name'","","False","","",""
"src/Plugin/Field/FieldFormatter/DynamicEntityReferenceEntityFormatter.php:88","'@entity view mode: @mode'","","","False","","",""
"dynamic_entity_reference.views.inc:79","'@field_name'","","","False","","",""
"dynamic_entity_reference.views.inc:182","'@field_name to @target_label entities'","","","False","","",""
"dynamic_entity_reference.views.inc:48","'@field_name: @label'","","","False","","",""
"dynamic_entity_reference.views.inc:183","'@field_name: @target_label'","","","False","","",""
"src/Plugin/diff/Field/DynamicEntityReferenceFieldBuilder.php:33","'@id (@type)'","","","False","","",""
"dynamic_entity_reference.views.inc:47","'@label referenced from @field_name'","'@label referenziato da @field_name'","","False","","",""
"src/Plugin/Field/FieldWidget/DynamicEntityReferenceWidget.php:21","An autocomplete text field.","Un campo di testo con autocompletamento.","","False","","",""
"src/Plugin/Field/FieldType/DynamicEntityReferenceItem.php:19","An entity field containing a dynamic entity reference.","","","False","","",""
"dynamic_entity_reference.views.inc:50","Appears in: @bundles.","Appare in: @bundles.","","False","","",""
"src/Plugin/Field/FieldWidget/DynamicEntityReferenceWidget.php:21","Autocomplete","Autocompletamento","","False","","",""
"src/Plugin/Field/FieldType/DynamicEntityReferenceItem.php:342","Change handler","Cambia handler","","False","","",""
"src/Plugin/Field/FieldWidget/DynamicEntityReferenceOptionsButtonsWidget.php:7","Check boxes/radio buttons","Caselle/pulsanti di opzione","","False","","",""
"src/Plugin/Field/FieldType/DynamicEntityReferenceItem.php:59;202;242;653","Content","","","False","Entity type group","",""
"help_topics/dynamic_entity_reference.overview.html.twig:21","Core field module.","","","False","","",""
"help_topics/dynamic_entity_reference.overview.html.twig:15","Create a single field to hold references to Users and Nodes. Or Terms and Nodes, or all three.","","","False","","",""
"config/schema/dynamic_entity_reference.schema.yml:0","Default value","Valore predefinito","","False","","",""
