"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/views/row/EntityReferenceRevisions.php:41","<strong>Note:</strong> In 'Entity Reference' displays, all fields will be displayed inline unless an explicit selection of inline fields is made here.","","",FALSE,"","",""
"entity_reference_revisions.views.inc:51","'@entity using @field_name'","'@entity che usa @field_name'","",FALSE,"","",""
"entity_reference_revisions.views.inc:52","'@field_name'","","",FALSE,"","",""
"entity_reference_revisions.views.inc:33","'@field_name: @label'","","",FALSE,"","",""
"entity_reference_revisions.views.inc:32","'@label referenced from @field_name'","'@label referenziato da @field_name'","",FALSE,"","",""
"src/Plugin/Field/FieldType/EntityReferenceRevisionsItem.php:113","'@label revision ID'","","",FALSE,"","",""
"src/EntityReferenceRevisionsOrphanPurger.php:281","'@label: Deleted @revision_count revisions (@entity_count entities) in @interval.'","","",FALSE,"","",""
"entity_reference_revisions.module:29","About","Informazioni","",FALSE,"","",""
"entity_reference_revisions.info.yml:0","Adds a Entity Reference field type with revision support.","","",FALSE,"","",""
"src/Plugin/DataType/EntityRevisionsAdapter.php:8","All kind of entities with revision information, e.g. nodes, comments or users.","","",FALSE,"","",""
"entity_reference_revisions.permissions.yml:0","Allow to access to the Entity Reference Revisions orphan deletion form.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/EntityReferenceRevisionsAutocompleteWidget.php:8","An autocomplete text field.","Un campo di testo con autocompletamento.","",FALSE,"","",""
"src/Plugin/Field/FieldType/EntityReferenceRevisionsItem.php:20","An entity field containing an entity reference to a specific revision.","","",FALSE,"","",""
"entity_reference_revisions.module:40","An entity reference can be displayed as a simple label with or without a link to the entity. Alternatively, the referenced entity can be displayed as a teaser (or any other available view mode) inside the referencing entity.","","",FALSE,"","",""
"src/EntityReferenceRevisionsOrphanPurger.php:293","An error occurred while processing @operation with arguments : @args","","",FALSE,"","",""
"entity_reference_revisions.views.inc:35","Appears in: @bundles.","Appare in: @bundles.","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/EntityReferenceRevisionsAutocompleteWidget.php:8","Autocomplete","Autocompletamento","",FALSE,"","",""
"src/EntityReferenceRevisionsOrphanPurger.php:218","Checked @entity_type revisions for orphans: @current of @total in @interval (@deletions deleted)","","",FALSE,"","",""
"src/Commands/EntityReferenceRevisionsCommands.php:57","Choose the entity type to clear","","",FALSE,"","",""
"config/schema/entity_reference_revisions.schema.yml:0","Create referenced entities if they don't already exist","Crea le entità messe in relazione se non esistono","",FALSE,"","",""
"config/schema/entity_reference_revisions.schema.yml:0","Default value","Valore predefinito","",FALSE,"","",""
