"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/BulkFormEntityListBuilder.php:217","'%action was applied to @count item.'","'%action eseguita su @count elemento.'","",FALSE,"","",""
"src/EntityViewsData.php:217","'- No value -'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:205","'@bundle: Create @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:267","'@bundle: Delete @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:239","'@bundle: Delete any @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:245","'@bundle: Delete own @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:260","'@bundle: Duplicate @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:226","'@bundle: Duplicate any @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:232","'@bundle: Duplicate own @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:253","'@bundle: Update @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:213","'@bundle: Update any @type'","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:219","'@bundle: Update own @type'","","",FALSE,"","",""
"src/UncacheableEntityPermissionProvider.php:137","'@bundle: View @type'","","",FALSE,"","",""
"src/UncacheableEntityPermissionProvider.php:123","'@bundle: View any @type'","","",FALSE,"","",""
"src/UncacheableEntityPermissionProvider.php:129","'@bundle: View own @type'","","",FALSE,"","",""
"src/EntityViewsData.php:375","'@entity revision using @field_name'","","",FALSE,"","",""
"src/EntityViewsData.php:359;386","'@entity using @field_name'","","",FALSE,"","",""
"src/EntityViewsData.php:134","'@group (historical data)'","","",FALSE,"","",""
"src/EntityViewsData.php:207","'@label (@name:delta)'","","",FALSE,"","",""
"src/EntityViewsData.php:208","'@label:delta'","","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:139","'@type %info has been created.'","'@type %info è stato creato.'","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:143","'@type %info has been updated.'","'@type %info è stato aggiornato.'","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:129","'@type %title has been reverted'","","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:122","'@type %title has been reverted to the revision from %revision-date.'","'@type %title è stato ripristinato alla revisione del %revision-date.'","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:138","'@type: added %info.'","'@type: aggiunto %info.'","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:137","'@type: reverted %title revision %revision.'","'@type: ripristinata revisione %revision del contenuto %title.'","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:142","'@type: updated %info.'","'@type: aggiornato %info.'","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:63","Access the @type overview page","","",FALSE,"","",""
"src/BulkFormEntityListBuilder.php:150","Action","Azione","",FALSE,"","",""
"src/Menu/EntityCollectionLocalActionProvider.php:54","Add @entity","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:58","Administer @type","","",FALSE,"","",""
"src/BulkFormEntityListBuilder.php:134","Apply to selected items","","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:74","Are you sure you want to revert the revision?","","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:72","Are you sure you want to revert to the revision from %revision-date?","Sei sicuro di voler ripristinare la revisione da %revision-date?","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:115","Briefly describe the changes you have made.","Descrivere brevemente le modifiche apportate.","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:121","Copy of the revision from %date.","Copia della revisione del %date.","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:124","Create @type","","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:94","Create new revision","Crea una nuova revisione","",FALSE,"","",""
"src/Controller/RevisionControllerTrait.php:137","Current revision","Revisione attuale","",FALSE,"","",""
"src/Controller/RevisionOverviewController.php:83","Delete","Elimina","",FALSE,"","",""
"src/Plugin/Action/Derivative/DeleteActionDeriver.php:50","Delete @entity_type (Deprecated)","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:176","Delete @type","Elimina @type","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:152","Delete any @type","","",FALSE,"","",""
"src/Plugin/Action/DeleteAction.php:9","Delete entity","Eliminazione entità","",FALSE,"","",""
"config/schema/entity.schema.yml:0","Delete entity configuration","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:157","Delete own @type","","",FALSE,"","",""
"src/Menu/DefaultEntityLocalTaskProvider.php:57","Duplicate","Duplicata","",FALSE,"","",""
"src/Controller/EntityDuplicateController.php:107","Duplicate %label","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:170","Duplicate @type","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:141","Duplicate any @type","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:146","Duplicate own @type","","",FALSE,"","",""
"src/Menu/DefaultEntityLocalTaskProvider.php:56","Edit","Modifica","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:67","Edit %bundle_label @label","","",FALSE,"","",""
"entity.info.yml:0","Entity","","",FALSE,"","",""
"config/schema/entity.schema.yml:0","Entity revision link","","",FALSE,"","",""
"config/schema/entity.schema.yml:0","Entity revision revert link","","",FALSE,"","",""
"entity.views.inc:35","Link to revert revision","","",FALSE,"","",""
"entity.views.inc:25","Link to revision","","",FALSE,"","",""
"src/BulkFormEntityListBuilder.php:189","No access to execute %action on the @entity_type_label %entity_label.","Nessun accesso per eseguire l'azione %action sull'entità @entity_type_label %entity_label.","",FALSE,"","",""
"src/BulkFormEntityListBuilder.php:172","No items selected.","Nessun elemento selezionato.","",FALSE,"","",""
"src/Controller/RevisionControllerTrait.php:125","Operations","Operazioni","",FALSE,"","",""
"entity.views.inc:36","Provide a simple link to revert to the revision.","","",FALSE,"","",""
"entity.views.inc:26","Provide a simple link to the revision.","","",FALSE,"","",""
"entity.info.yml:0","Provides expanded entity APIs, which will be moved to Drupal core one day.","","",FALSE,"","",""
"src/EntityViewsData.php:376","Relate each @entity revision with a @field_name field set to the @label.","","",FALSE,"","",""
"src/EntityViewsData.php:360;387","Relate each @entity with a @field_name field set to the @label.","","",FALSE,"","",""
"src/Form/RevisionRevertForm.php:91","Revert","Ripristina","",FALSE,"","",""
"src/Controller/RevisionControllerTrait.php:125","Revision","Revisione","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:84","Revision information","Informazione sulla revisione","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:112","Revision log message","Messaggio di revisione per il log","",FALSE,"","",""
"src/Menu/DefaultEntityLocalTaskProvider.php:58","Revisions","Revisioni","",FALSE,"","",""
"src/Form/RevisionableContentEntityForm.php:160","The entity could not be saved.","","",FALSE,"","",""
"src/BulkFormEntityListBuilder.php:119","There are no @label yet.","","",FALSE,"","",""
"src/BundlePlugin/BundlePluginUninstallValidator.php:65","There is data for the bundle @bundle on the entity type @entity_type. Please remove all content before uninstalling the module.","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:164","Update @type","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:130","Update any @type","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:135","Update own @type","","",FALSE,"","",""
"src/Menu/DefaultEntityLocalTaskProvider.php:55","View","Visualizza","",FALSE,"","",""
"src/UncacheableEntityPermissionProvider.php:75;114","View @type","","",FALSE,"","",""
"src/UncacheableEntityPermissionProvider.php:63;102","View any @type","","",FALSE,"","",""
"src/UncacheableEntityPermissionProvider.php:68;107","View own @type","","",FALSE,"","",""
"src/EntityPermissionProviderBase.php:68","View own unpublished @type","","",FALSE,"","",""
"src/Plugin/views/field/EntityLinkRevisionRevert.php:36","revert","","",FALSE,"","",""
