"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/EuCookieComplianceConfigForm.php:244","""Accept all categories"" button label","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:230","""Save preferences"" button label","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:607","""Thank you"" banner message","","","False","","",""
"eu_cookie_compliance.module:653","'%name must be a HEX value (without leading #) or empty.'","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<front>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>Thank you for accepting cookies</h2><p>You can now hide this message or find out more about cookies.</p>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>By clicking the Accept button, you agree to us doing so.</p>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>By tapping the Accept button, you agree to us doing so.</p>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>You have given your consent for us to set cookies.</p>","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:293","<span class='eu-cookie-compliance-word-break'>Include the full path of JavaScripts, each on a separate line. When using the opt-in or opt-out consent options, you can block certain JavaScript files from being loaded when consent isn't given. The on-site JavaScripts should be written as root relative paths <strong>without the leading slash</strong>, you can use public://path/to/file.js and private://path/to/file.js, and off-site JavaScripts should be written as complete URLs <strong>with the leading http(s)://</strong>. Note that after the user gives consent, the scripts will be executed in the order you enter here.<br /><br />Libraries and scripts that attach to Drupal.behaviors are supported. To indicate a behavior that needs to be loaded on consent, append the behavior name after the script with a | (vertical bar). If you also want to conditionally load a library, place that as the third parameter, following another | (vertical bar). <strong>Example: modules/custom/custom_module/js/custom.js|customModule|custom_module/custom_module</strong>.<br />If your script file does not attach to Drupal.attributes, you may skip the second parameter. <strong>Example: modules/custom/custom_module/js/custom.js||custom_module/custom_module</strong><br /><strong>Note that Drupal behavior name and library parameters are both optional</strong>, but may be required to achieve your objective.</span>","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:1008;1012;1016","'@name field is required'","","","False","","",""
"eu_cookie_compliance.module:30","About","Informazioni","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","Accept","Accetta","","False","","",""
"config/schema/eu_cookie_compliance.schema.yml:0","Accept all categories action button label","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","Accept all cookies","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:902","Add","Aggiungi","","False","","",""
"eu_cookie_compliance.links.action.yml:0","Add Cookie category","","","False","","",""
"config/schema/eu_cookie_compliance.schema.yml:0","Add/Remove banner on specified domains","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:908","Add/remove banner on specified domains","","","False","","",""
"eu_cookie_compliance.permissions.yml:0","Administer EU Cookie Compliance banner","","","False","","",""
"eu_cookie_compliance.permissions.yml:0","Administer EU Cookie Compliance categories","","","False","","",""
"eu_cookie_compliance.links.menu.yml:0","Administer cookie categories.","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:814","Advanced","Avanzate","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:438","Agree button label","","","False","","",""
"config/schema/eu_cookie_compliance.schema.yml:0","Agree button message","","","False","","",""
"config/schema/eu_cookie_compliance.schema.yml:0","Allow the cookie to be set for all sites on the same domain","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:967","Allow the cookie to be set for all sites on the same domain.","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:316","Allowed cookies","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:683","Appearance","Aspetto","","False","","",""
"src/Form/CookieCategoryDeleteForm.php:18","Are you sure you want to delete %name?","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:202","Automatic. Respect the DNT (Do not track) setting in the browser, if present. Uses opt-in when DNT is 1 or not set, and consent by default when DNT is 0.","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:744","Background color","Colore dello sfondo","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:757","Banner height","","","False","","",""
"config/schema/eu_cookie_compliance.schema.yml:0","Banner height in pixels","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:826","Banner sliding animation time","","","False","","",""
"config/schema/eu_cookie_compliance.schema.yml:0","Banner sliding animation time in milliseconds","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:773","Banner width in pixels or a percentage value","","","False","","",""
