"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/FacetSettingsForm.php:207","'%plugin settings'","","","False","","",""
"src/Form/FacetForm.php:301","'%processor settings'","","","False","","",""
"src/Form/FacetForm.php:139","'%widget settings'","","","False","","",""
"src/Form/FacetForm.php:131","'%widget widget needs no configuration.'","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:363","0 days ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:357","0 days hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:384","0 hours ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:378","0 hours hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:406","0 minutes ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:400","0 minutes hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:343","0 months ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:337","0 months hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:429","0 seconds ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:423","0 secondss hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:374;395;417","1 day","1 giorno","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:362","1 day ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:356","1 day hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:396;418","1 hour","1 ora","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:383","1 hour ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:377","1 hour hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:419","1 minute","1 minuto","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:405","1 minute ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:399","1 minute hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:353;373;394;416","1 month","1 mese","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:342","1 month ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:336","1 month hence","","","False","","",""
"modules/facets_summary/templates/facets-summary-count.html.twig:11","1 result found","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:428","1 second ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:422","1 second hence","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:333;352;372;393;415","1 year","1 anno","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:324","1 year ago","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:320","1 year hence","","","False","","",""
"src/Plugin/facets/widget/DropdownWidget.php:9","A configurable widget that shows a dropdown.","","","False","","",""
"src/Plugin/facets/widget/CheckboxWidget.php:5","A configurable widget that shows a list of checkboxes","","","False","","",""
"modules/facets_searchbox_widget/src/Plugin/facets/widget/SearchboxCheckboxWidget.php:7","A configurable widget that shows a searchable list of checkboxes","","","False","","",""
"modules/facets_summary/config/schema/facets_summary.facets_summary.schema.yml:0","A processor","","","False","","",""
"src/Plugin/facets/widget/LinksWidget.php:11","A simple widget that shows a list of links","","","False","","",""
"modules/facets_searchbox_widget/src/Plugin/facets/widget/SearchboxLinksWidget.php:7","A simple widget that shows a searchable list of links","","","False","","",""
"src/Plugin/facets/widget/ArrayWidget.php:9","A widget that builds an array with results. This widget is not supposed to display any results, but it is needed for rest integration.","","","False","","",""
"modules/facets_range_widget/src/Plugin/facets/widget/RangeSliderWidget.php:7","A widget that shows a range slider.","","","False","","",""
"modules/facets_range_widget/src/Plugin/facets/widget/SliderWidget.php:9","A widget that shows a slider.","","","False","","",""
"src/Form/FacetForm.php:437","AND","","","False","","",""
"src/Form/FacetForm.php:438","AND filters are exclusive and narrow the result set. OR filters are inclusive and widen the result set.","","","False","","",""
"facets.module:30","About","Informazioni","","False","","",""
"config/schema/facets.processor.schema.yml:0;0","Active widget order","","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:60","Actual date with granularity","","","False","","",""
"src/Form/FacetSettingsForm.php:82","Add facet","","","False","","",""
"modules/facets_summary/facets_summary.links.action.yml:0","Add facet summary","","","False","","",""
"modules/facets_summary/src/Form/FacetsSummarySettingsForm.php:134","Add facets summary","","","False","","",""
"modules/facets_range_widget/src/Plugin/facets/processor/RangeSliderProcessor.php:9","Add range results for all the steps between min and max range.","","","False","","",""
"modules/facets_range_widget/src/Plugin/facets/processor/SliderProcessor.php:10","Add results for all the steps between min and max range.","","","False","","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:108","Add that facet's results to this facet's results (union).","","","False","","",""
"modules/facets_rest/facets_rest.info.yml:0","Adds facets to rest views based on a Search API index.","","","False","","",""
"modules/facets_summary/src/Plugin/facets_summary/processor/ResetFacetsProcessor.php:12","Adds reset facets link.","","","False","","",""
"facets.permissions.yml:0","Administer Facets","","","False","","",""
"src/Form/FacetForm.php:559","Advanced settings","Impostazioni avanzate","","False","","",""
"src/Form/FacetForm.php:512","Always expand hierarchy","","","False","","",""
"src/Form/FacetSourceEditForm.php:104","Append active facets to breadcrumb","","","False","","",""
"src/Form/FacetDeleteConfirmForm.php:18","Are you sure you want to delete the facet %name?","","","False","","",""
"src/Plugin/facets/widget/ArrayWidget.php:9","Array with raw results","","","False","","",""
"src/Processor/SortProcessorPluginBase.php:24","Ascending","Crescente","","False","","",""
"modules/facets_range_widget/src/Plugin/facets/widget/SliderWidget.php:114;136","Based on search result","","","False","","",""
"facets.module:36","Below is a list of facets grouped by facetsources they are associated with. A facetsource is the instance where the facet does the actual filtering, for example a View on a Search API index.","","","False","","",""
"config/schema/facets.blocks.schema.yml:0","Block ID","","","False","","",""
"src/Plugin/facets/processor/BooleanItemProcessor.php:12","Boolean item label","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Boolean processor","","","False","","",""
"src/Form/FacetSourceEditForm.php:100","Breadcrumb","Briciole di pane","","False","","",""
"src/Plugin/facets/processor/HierarchyProcessor.php:9","Build hierarchy tree","","","False","","",""
"src/Processor/ProcessorPluginManager.php:54","Build stage","","","False","","",""
"src/Plugin/facets/processor/HierarchyProcessor.php:9","Build the tree for facets that use hierarchy..","","","False","","",""
"src/Form/FacetSettingsForm.php:310","Caching of view %view has been disabled.","","","False","","",""
"src/Form/FacetForm.php:386","Check this to ensure that only <em>one</em> result at a time can be selected for this facet.","","","False","","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:112","Check whether the facet is present.","","","False","","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:113","Check whether the facet is selected / not empty.","","","False","","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:114","Check whether the facet is set to specific values.","","","False","","",""
"src/FacetListBuilder.php:50","Clone facet","","","False","","",""
"src/Form/FacetCloneForm.php:104","Clone the facet to this facet source:","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Combination mode","","","False","","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:99","Combine","","","False","","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:14","Combine facets","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Combine facets processor","","","False","","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:14","Combine the results of two or more facets. The raw value of a result item is used to identify a resuls item. It is up to you to ensure that the combination of the result sets makes sense. As the combination bases on the raw calues it makes sense to place this processor on an early position, especially before the URL handler","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Combine this facet","","","False","","",""
"src/Plugin/facets/processor/ExcludeSpecifiedItemsProcessor.php:74","Comma separated list of titles or values that should be excluded, matching either an item's title or value.","","","False","","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:109","Condition mode","","","False","","",""
"config/schema/facets.facet.schema.yml:0;0","Configuration","Configurazione","","False","","",""
"src/FacetListBuilder.php:208","Configure","Configura","","False","","",""
"src/Form/FacetSettingsForm.php:142","Configure facet source","","","False","","",""
"src/Form/FacetForm.php:215","Configure widget","","","False","","",""
"src/FacetListBuilder.php:304","Core search facets has been moved to a separate project. You need to download and enable this module from @project_link to continue using your core search facets.","","","False","","",""
"src/Plugin/facets/processor/CountLimitProcessor.php:10","Count limit","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Count limit widget","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Count widget order","","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:76","Create a hierarchical facet instead of a flat list. It is important to also activate ""use hierarchy"" and to select ""date item hierarchy"" as hierarchy type.","","","False","","",""
"facets.permissions.yml:0","Create and configure Facets for your Search pages.","","","False","","",""
"facets.links.menu.yml:0","Create and configure facets and configure existing facet sources.","","","False","","",""
"src/Plugin/facets/query_type/SearchApiDate.php:8","Date","Data","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:57","Date display","","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:81","Date format","Formato data","","False","","",""
"src/Plugin/facets/hierarchy/DateItems.php:7","Date item hierarchy","","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:11","Date item processor","","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:42","Day","Giorno","","False","","",""
"src/Plugin/facets/widget/DropdownWidget.php:56","Default option label","","","False","","",""
"config/schema/facets.widgets.schema.yml:0","Default widget configuration","","","False","","",""
"src/Form/FacetDeleteConfirmForm.php:32","Delete","Elimina","","False","","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:14","Dependent facet","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Dependent facet processor","","","False","","",""
"src/Processor/SortProcessorPluginBase.php:25","Descending","Decrescente","","False","","",""
"js/index-active-formatters.js:0","Disabled","Disattivato","","False","","",""
"src/Plugin/facets/processor/BooleanItemProcessor.php:12","Display configurable On/Off labels instead 1/0 values for boolean fields.","","","False","","",""
"src/Plugin/facets/processor/DateItemProcessor.php:11","Display dates with granularity options for date fields.","","","False","","",""
"src/Plugin/facets/hierarchy/DateItems.php:7","Display hierarchical dates.","","","False","","",""
"src/Form/FacetForm.php:448","Display no more than this number of facet items.","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Display term widget order","","","False","","",""
"src/Form/FacetForm.php:413","Display text","","","False","","",""
"src/Plugin/facets/processor/TranslateEntityAggregatedFieldProcessor.php:20","Display the entity label instead of its ID (for example the term name instead of the taxonomy term ID) in aggregated fields.","","","False","","",""
"src/Plugin/facets/processor/TranslateEntityProcessor.php:17","Display the entity label instead of its ID (for example the term name instead of the taxonomy term ID). This only works when an actual entity is indexed, not for the entity id or aggregated fields.","","","False","","",""
"src/Plugin/facets/processor/ListItemProcessor.php:19","Display the label instead of the key of fields that are a list (such as <em>List (integer)</em>) or <em>List (text)</em>) or a bundle field. Keep in mind that transformations on the source of this field (such as transliteration or ignore characters) may break this functionality.","","","False","","",""
"src/Plugin/facets/processor/UidToUserNameCallbackProcessor.php:12","Display the user name if the source field is a user ID.","","","False","","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:14","Display this facet depending on the state of another facet.","","","False","","",""
"config/schema/facets.processor.schema.yml:0","Display value widget order","","","False","","",""
"src/Form/FacetForm.php:412","Do not display facet","","","False","","",""
"src/Plugin/facets/processor/HideActiveItemsProcessor.php:9","Do not display items that are active.","","","False","","",""
"src/Plugin/facets/widget/DropdownWidget.php:9","Dropdown","Menu a discesa","","False","","",""
"config/schema/facets.widgets.schema.yml:0","Dropdown widget configuration","","","False","","",""
"src/Form/FacetCloneForm.php:137","Duplicate","Duplicata","","False","","",""
"src/Form/FacetCloneForm.php:113","Duplicate of @label","Duplicato di @label","","False","","",""
