"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Commands/FeaturesCommands.php:198","@methods","@methods","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:653","(missing from active)","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:660","(not exported)","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:232","'--New--'","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesExportForm.php:204","'@name'","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:284","A description of the bundle.","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:253","A unique human-readable name of this bundle.","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:272","A unique machine-readable name of this bundle.  Used to prefix exported packages. It must only contain lowercase letters, numbers, and underscores.","","",FALSE,"","",""
"features.module:17","About","Informazioni","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:635","Active config matches stored config for @module.","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesDiffForm.php:225","Active site config","","",FALSE,"","",""
"drush/features.drush8.inc:531","Active:  drush features-export will update the exported feature with the displayed active config","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:647","Active: drush features-export will update the exported feature with the displayed active config","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentProfileForm.php:32","Add commonly-needed configuration","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentNamespace.php:7","Add config to packages that contain that package's machine name.","","",FALSE,"","",""
"config/schema/features.schema.yml:0","Add configuration and files from Standard profile","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentProfile.php:9","Add configuration and other files to the optional install profile from the Drupal core Standard install profile. Without these additions, a generated install profile will be missing some important initial setup.","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentExisting.php:9","Add exported config to existing packages.","","",FALSE,"","",""
"config/schema/features.schema.yml:0","Add module and theme dependencies from Standard profile","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentDependency.php:7","Add to packages configuration dependent on items already in that package.","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentForwardDependency.php:8","Add to packages configuration on which items in the package depend.","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesEditForm.php:562","Added","Aggiunto","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesDiffForm.php:127","All differences","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesDiffForm.php:127","All differences in bundle: @bundle","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesEditForm.php:303","Allow configuration to be exported to more than one feature.","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesEditForm.php:301","Allow conflicts","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentAlter.php:8","Alter","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentAlter.php:8","Alter configuration items before they are exported. Altering includes options such as removing permissions from roles.","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:960","Ambiguous component ""@component"", matches @matches","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:929","Ambiguous source ""@source"", matches @matches","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentCoreType.php:7","Assign designated types of configuration to a core configuration package module. For example, if image styles are selected as a core type, a core package will be generated and image styles will be assigned to it.","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentSiteType.php:7","Assign designated types of configuration to a site configuration package module. For example, if image styles are selected as a site type, a site package will be generated and image styles will be assigned to it.","","",FALSE,"","",""
