"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"formatters/tabs/horizontal-tabs.js:0","(active tab)","(scheda attiva)","","False","","",""
"src/Form/FieldGroupAddForm.php:156","'- Select a field group type -'","'- Seleziona una tipologia di gruppo di campi -'","","False","","",""
"includes/field_ui.inc:387","<p class=""fieldgroup-help"">Fields can be dragged into groups with unlimited nesting. Each fieldgroup format comes with a configuration form, specific for that format type.<br />Note that some formats come in pair. These types have a html wrapper to nest its fieldgroup children. E.g. Place accordion items into the accordion, vertical tabs in vertical tab group and horizontal tabs in the horizontal tab group. There is one exception to this rule, you can use a vertical tab without a wrapper when the additional settings tabs are available. E.g. node forms.</p>","<p class=""fieldgroup-help"">I campi possono essere trascinati in gruppi con annidamento illimitato. Ogni formato di fieldgroup viene fornito con un modulo di configurazione, specifico per quel tipo di formato. <br /> Nota che alcuni formati sono disponibili in coppia. Questi tipi hanno un wrapper html per nidificare i propri figli del fieldgroup. Per esempio. Posiziona gli elementi a fisarmonica nella fisarmonica, le linguette verticali nel gruppo di linguette verticali e le linguette orizzontali nel gruppo di linguette orizzontali. C'è un'eccezione a questa regola, puoi usare una scheda verticale senza un wrapper quando sono disponibili le schede delle impostazioni aggiuntive. Per esempio. forme del nodo.</p>","","False","","",""
"contrib/field_group_migrate/src/Plugin/migrate/D7FieldGroupDeriver.php:59","'@label of @entity_type (bundle: @bundle)'","","","False","","",""
"config/schema/field_group.entity_display.schema.yml:0;0","A field group","Un campo di gruppo","","False","","",""
"src/Form/FieldGroupAddForm.php:182","A unique machine-readable name containing letters, numbers, and underscores.","Un nome ad uso interno composto esclusivamente da lettere, numeri e underscore (_).","","False","","",""
"field_group.module:27","About","Informazioni","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/Accordion.php:10","Accordion","Accordion","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/AccordionItem.php:8","Accordion Item","Elemento Accordion","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/Details.php:8","Add a details element","Aggiungi dettagli","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/DetailsSidebar.php:5","Add a details sidebar element","Aggiungi una barra di dettagli","","False","","",""
"src/Form/FieldGroupAddForm.php:154","Add a new group","Aggiungi un nuovo gruppo","","False","","",""
"src/Plugin/Derivative/FieldGroupLocalAction.php:66","Add field group","Aggiungi un campo gruppo","","False","","",""
"src/Form/FieldGroupDeleteForm.php:109","Are you sure you want to delete the group %group?","Sei sicuro di voler cancellare il gruppo %group?","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:166","Attributes","Attributi","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:226","Attributes: @attributes","Attributi: @attributes","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/Tabs.php:107","Auto-disable the Tabs widget if the window width is equal or smaller than this breakpoint.","","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:179","Blind","Tendina","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/Accordion.php:69","Bounce slide","","","False","","",""
"contrib/field_group_migrate/src/Plugin/migrate/source/d7/FieldGroup.php:110","Bundle","Bundle","","False","","",""
"includes/field_ui.inc:270","Cancel","Annulla","","False","","",""
"config/schema/field_group.field_group_formatter_plugin.schema.yml:0","Classes of the fieldgroup","Classi del gruppo di campo","","False","","",""
