"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0",", ",", ","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0","'- All -'","'- Tutto -'","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers.yml:0","1","1","","False","","",""
"flag.views.inc:67","'@entity_label flag'","","","False","","",""
"flag.tokens.inc:85","'@flag flag count'","","","False","","",""
"flag.tokens.inc:89","'@flag flag link'","","","False","","",""
"src/FlaggingViewsData.php:65","A boolean field to show whether the flag is set or not.","","","False","","",""
"src/Entity/Flagging.php:136","A boolean indicating whether the flagging is global.","","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:111","A flag confirmation message is required when using the ""@label"" link type.","","","False","","",""
"src/Plugin/ActionLink/Reload.php:10","A normal non-JavaScript request will be made and the current page will be reloaded.","","","False","","",""
"src/Form/FlagFormBase.php:84","A short, descriptive title for this flag. It will be used in administrative interfaces to refer to this flag, and in page titles and menu items of some views this module provides (these are customizable, though). Some examples could be <em>Bookmarks</em>, <em>Favorites</em>, or <em>Offensive</em>.","","","False","","",""
"src/Plugin/ActionLink/AJAXactionLink.php:11","AJAX link","","","False","","",""
"modules/flag_bookmark/config/install/views.view.flag_bookmark.yml:0","Action","Azione","","False","","",""
"flag.routing.yml:0;0","Add flag","","","False","","",""
"modules/flag_bookmark/config/install/flag.flag.bookmark.yml:0","Add this post to your bookmarks","","","False","","",""
"flag.permissions.yml:0","Administer Flaggings","","","False","","",""
"flag.permissions.yml:0","Administer Flags","","","False","","",""
"src/Plugin/views/filter/FlagViewsFilter.php:35","All","Tutto","","False","","",""
"src/Form/FlagResetForm.php:78","All flaggings created with Flag %label will be deleted.","","","False","","",""
"src/Plugin/ActionLink/AJAXactionLink.php:11","An AJAX JavaScript request will be made without reloading the page.","","","False","","",""
"src/Plugin/ActionLink/FieldEntry.php:89","An edit flagging details message is required when using the field entry link type.","","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:114","An unflag confirmation message is required when using the ""@label"" link type.","","","False","","",""
"src/Plugin/views/relationship/FlagViewsRelationship.php:112","Any user","","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0","Apply","Applica","","False","","",""
"src/Form/FlagResetForm.php:69","Are you sure you want to reset the Flag %label?","","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0","Asc","Asc","","False","","",""
"modules/flag_bookmark/config/install/views.view.flag_bookmark.yml:0","Author","Autore/Autrice","","False","","",""
"modules/flag_bookmark/config/install/flag.flag.bookmark.yml:0","Bookmark","","","False","","",""
"modules/flag_bookmark/config/install/flag.flag.bookmark.yml:0","Bookmark this","","","False","","",""
"modules/flag_bookmark/config/install/views.view.flag_bookmark.yml:0","Bookmarked","","","False","","",""
"modules/flag_bookmark/config/install/views.view.flag_bookmark.yml:0","Bulk update","Aggiornamento di massa","","False","","",""
"src/Plugin/views/relationship/FlagViewsRelationship.php:111","By","Da","","False","","",""
"src/Plugin/views/filter/FlagViewsFilter.php:40","By choosing <em>Not flagged</em>, it is possible to create a list of content <a href=""@unflagged-url"">that is specifically not flagged</a>.","","","False","","",""
"src/Form/FlagFormBase.php:192","Check any bundles that this flag may be used on. Leave empty to apply to all bundles.","","","False","","",""
"flag.module:282","Checkboxes for toggling flags","","","False","","",""
"modules/flag_follower/config/install/flag.flag.following.yml:0","Click the link to follow this user","","","False","","",""
"modules/flag_follower/config/install/flag.flag.following.yml:0","Click the link to unfollow this user","","","False","","",""
"src/Plugin/Flag/CommentFlagType.php:7","Comment","Commento","","False","","",""
"config/schema/flag.schema.yml:0","Configuration for flag actions","","","False","","",""
"flag.links.menu.yml:0","Configure flags for marking content with arbitrary information (such as <em>offensive</em> or <em>bookmarked</em>).","Configura spunte per marcare un contenuto con informazioni arbitrarie (ad esempio <em>offensivo</em> o <em>preferito</em>). ","","False","","",""
"src/Plugin/ActionLink/ConfirmForm.php:9","Confirm Form","","","False","","",""
"config/schema/flag.schema.yml:0","Confirm Form link type","","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0","Content","Contenuto","","False","","",""
"src/Form/FlagAddPageForm.php:89","Continue","Continua","","False","","",""
"modules/flag_count/src/Plugin/ActionLink/CountLink.php:9","Count link","","","False","","",""
"src/Form/FlagAddForm.php:52","Create Flag","","","False","","",""
"src/Form/FlaggingForm.php:34","Create Flagging","","","False","","",""
"flag.info.yml:0","Create customized flags that users can set on entities.","","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:25","Create flagging","","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:72","Create flagging button text","","","False","","",""
"src/Entity/Flagging.php:151","Created","Creato","","False","","",""
"src/Plugin/views/relationship/FlagViewsRelationship.php:112","Current user","Utente corrente","","False","","",""
"flag.permissions.yml:0","Define and manage Flags and Flag settings.","","","False","","",""
"flag.routing.yml:0","Delete Flag","","","False","","",""
"src/Form/FlaggingForm.php:54","Delete Flagging","","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:26","Delete flagging","","","False","","",""
"src/Plugin/Action/DeleteFlaggingAction.php:9","Delete flagging (unflag)","","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:81","Delete flagging button text","","","False","","",""
"config/schema/flag.schema.yml:0","Delete flagging entities","","","False","","",""
"flag.permissions.yml:0","Delete flaggings for all users.","","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0","Desc","Desc","","False","","",""
"src/Plugin/ActionLink/FormEntryTypeBase.php:93","Dialog","","","False","","",""
"src/Form/FlagDisableConfirmForm.php:71","Disable","Disattiva","","False","","",""
"flag.routing.yml:0","Disable Flag?","","","False","","",""
"src/Form/FlagDisableConfirmForm.php:42","Disable flag @name?","","","False","","",""
"src/Controller/FlagListBuilder.php:135","Disabled","Disattivato","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:112","Display checkbox on entity edit form","","","False","","",""
"src/FlaggingViewsData.php:53","Display flag/unflag link.","","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:129","Display in contextual links","Mostra fra i link contestuali","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:159","Display in entity links","","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:100","Display link as field","","","False","","",""
"src/Plugin/Flag/UserFlagType.php:50","Display link on user profile page","Mostra il link sul profilo utente.","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:151","Display on @name view mode","","","False","","",""
"src/Form/FlagFormBase.php:207","Display options","Opzioni di visualizzazione","","False","","",""
"config/schema/flag.views.schema.yml:0","Display options for flag relationship","","","False","","",""
"src/Form/FlagFormBase.php:115","Each user has individual flags on entities.","","","False","","",""
"src/Form/FlagFormBase.php:325","Edit","Modifica","","False","","",""
"flag.routing.yml:0","Edit Flag","","","False","","",""
"config/schema/flag.schema.yml:0","Edit flagging","","","False","","",""
"src/Plugin/ActionLink/FieldEntry.php:48","Edit flagging details","","","False","","",""
"src/Plugin/ActionLink/FieldEntry.php:62","Edit flagging details message","","","False","","",""
"src/Form/FlagDisableConfirmForm.php:74","Enable","Abilita","","False","","",""
"flag.routing.yml:0","Enable Flag?","","","False","","",""
"src/Form/FlagDisableConfirmForm.php:45","Enable flag @name?","","","False","","",""
"src/Controller/FlagListBuilder.php:135","Enabled","Attivato","","False","","",""
"src/Plugin/ActionLink/FieldEntry.php:47","Enter flagging details","","","False","","",""
"src/Entity/Flagging.php:128","Entity","","","False","","",""
"src/Controller/FlagListBuilder.php:33","Entity Bundles","","","False","","",""
"src/Entity/Flagging.php:123","Entity ID","ID Entità","","False","","",""
"src/Entity/Flagging.php:119","Entity Type","","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:168","Expose additional permissions","","","False","","",""
"src/Plugin/views/sort/FlagViewsSortFlagged.php:31","Exposed","Esposto","","False","","",""
"config/schema/flag.schema.yml:0","Extra permission option","","","False","","",""
"config/schema/flag.schema.yml:0","Extra permissions","","","False","","",""
"src/Plugin/ActionLink/FieldEntry.php:10","Field Entry Form","","","False","","",""
"config/schema/flag.schema.yml:0","Field Entry link type","","","False","","",""
"src/FlaggingViewsData.php:70","Filter to ensure content has or has not been flagged.","","","False","","",""
"src/Plugin/views/relationship/FlagViewsRelationship.php:100","Flag","","","False","","",""
"src/FlagType/FlagTypeBase.php:158","Flag %flag_title","","","False","","",""
"src/Plugin/Flag/CommentFlagType.php:41","Flag %flag_title comments on own parent entities","","","False","","",""
"src/Plugin/Flag/CommentFlagType.php:53","Flag %flag_title on others' parent entities","","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:297","Flag %flag_title others' items","","","False","","",""
"src/Plugin/Flag/UserFlagType.php:107","Flag %flag_title others' profiles","","","False","","",""
"src/Plugin/Flag/EntityFlagType.php:285","Flag %flag_title own items","","","False","","",""
"src/Plugin/Flag/UserFlagType.php:95","Flag %flag_title own profile","","","False","","",""
"src/Form/FlagFormBase.php:333;334","Flag %label has been added.","","","False","","",""
"src/Form/FlagFormBase.php:329;330","Flag %label has been updated.","","","False","","",""
"src/Form/FlagResetForm.php:102","Flag %label was reset.","","","False","","",""
"modules/flag_bookmark/flag_bookmark.info.yml:0","Flag Bookmark","","","False","","",""
"modules/flag_bookmark/config/install/views.view.flag_bookmark.yml:0","Flag Bookmark list","","","False","","",""
"flag.routing.yml:0;0","Flag Content","","","False","","",""
"modules/flag_count/flag_count.info.yml:0","Flag Count","","","False","","",""
"modules/flag_follower/flag_follower.info.yml:0","Flag Follower","","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers.yml:0","Flag Followers","","","False","","",""
"modules/flag_follower/config/install/views.view.flag_followers_content.yml:0","Flag Followers Content","","","False","","",""
