"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/GeocoderProviderCreationForm.php:89","'- Select -'","","","False","","",""
"modules/geocoder_geofield/src/Plugin/Geocoder/Field/GeofieldField.php:31","<b>Geocode</b> from an existing field","<b>Geocode</b> da un campo esistente","","False","","",""
"modules/geocoder_field/src/Plugin/Geocoder/Field/DefaultField.php:270","<b>Reverse Geocode</b> from a Geofield type existing field","","","False","","",""
"modules/geocoder_field/src/Plugin/Geocoder/Field/DefaultField.php:289","<b>Skip Geocode/Reverse Geocode</b> if target value is not empty","","","False","","",""
"modules/geocoder_field/src/Plugin/Geocoder/Field/DefaultField.php:185","<b>The Geocoder and Reverse Geocoding operations are disabled, and won't be processed.</b> (@geocoder_settings_link)","","","False","","",""
"modules/geocoder_field/src/Plugin/Geocoder/Field/DefaultField.php:299","<strong>Disable</strong> this field in the Content Edit Form","","","False","","",""
"modules/geocoder_field/src/Plugin/Geocoder/Field/DefaultField.php:310","<strong>Hide</strong> this field in the Content Edit Form","","","False","","",""
"modules/geocoder_field/src/GeocoderFieldPluginManager.php:85","'@label (@name) [@type]'","","","False","","",""
"src/Form/GeocoderProviderCreationForm.php:125","A Geocoder Provider to add should be selected.","","","False","","",""
"src/Form/GeocoderProviderFormBase.php:42","A unique name for this provider. It must only contain lowercase letters, numbers and underscores.","","","False","","",""
"config/schema/geocoder.schema.yml:0","API Key","","","False","","",""
"config/schema/geocoder.schema.yml:0;0;0;0;0;0;0;0","API key","","","False","","",""
"geocoder.permissions.yml:0","Access Geocoder Api Url Enpoints","","","False","","",""
"config/schema/geocoder.schema.yml:0","Access Token","","","False","","",""
"src/GeocoderProviderListBuilder.php:77","Active providers","","","False","","",""
"src/Form/GeocoderProviderCreationForm.php:98","Add","","","False","","",""
"src/Form/GeocoderProviderCreationForm.php:76","Add a Geocoder provider","","","False","","",""
"src/Plugin/GeofieldProximitySource/GeocodeOrigin.php:292","Address Format","","","False","","",""
"modules/geocoder_address/src/Plugin/Geocoder/Field/AddressField.php:9","Address field plugin","","","False","","",""
"src/Plugin/GeofieldProximitySource/GeocodeOrigin.php:203","Address, City, Zip-Code, Country that would be set as Default Geocoded Address in the Exposed Filter","","","False","","",""
"src/Plugin/GeofieldProximitySource/GeocodeOrigin.php:194","Address, City, Zip-Code, Country, ...","","","False","","",""
"geocoder.info.yml:0","An API to geocode and reverse geocode data into other GIS data types.","","","False","","",""
"modules/geocoder_field/src/Plugin/Field/FieldFormatter/FileGeocodeFormatter.php:165","Any ""@plugin"" Geocoder Provider available for this Formatter.","","","False","","",""
