"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/optional/views.view.my_invitations.yml:0;0;0;0;0",",","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","'- All -'","","",FALSE,"","",""
"src/Form/BulkGroupInvitationConfirm.php:179","'@err'","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0;0","Accept","","",FALSE,"","",""
"ginvite.routing.yml:0","Accept invitation and join group","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:282","Accept invitations immediately","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","All","","",FALSE,"","",""
"ginvite.info.yml:0","Allows group managers to invite people into their group","","",FALSE,"","",""
"src/Form/BulkGroupInvitationConfirm.php:141","An error occurred during processing","","",FALSE,"","",""
"src/Form/BulkGroupInvitationConfirm.php:185","An error occurred while processing @operation with arguments : @args","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","Apply","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","Asc","","",FALSE,"","",""
"src/Form/BulkGroupInvitation.php:140","Back to group","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:306;324","Body","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:17","Creates invitations to group.","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0;0","Decline","","",FALSE,"","",""
"ginvite.routing.yml:0","Decline invitation","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","Desc","","",FALSE,"","",""
"config/optional/views.view.group_invitations.yml:0","Email","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","Group","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:17","Group Invitation","","",FALSE,"","",""
"config/optional/views.view.group_invitations.yml:0;0","Group invitations","","",FALSE,"","",""
"ginvite.info.yml:0","Group invite","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:294","Invitation e-mail","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:313","Invitation e-mail for registered users","","",FALSE,"","",""
"ginvite.module:73","Invitation has been created.","","",FALSE,"","",""
"src/Form/BulkGroupInvitationConfirm.php:122","Invitation recipients: <br /> @email_list","","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupInvitation.php:194","Invitation status","","",FALSE,"","",""
"src/Plugin/Validation/Constraint/PreventDuplicatedConstraintValidator.php:79","Invitation to this user already sent.","","",FALSE,"","",""
"config/optional/views.view.my_invitations.yml:0","Invitations","","",FALSE,"","",""
"ginvite.links.action.yml:0","Invite member","","",FALSE,"","",""
"src/Controller/InvitationOperations.php:200","Invite members","","",FALSE,"","",""
"src/Controller/InvitationOperations.php:203","Invite members to group: @group_title","","",FALSE,"","",""
"ginvite.module:70","Invite sent to %invitee","","",FALSE,"","",""
"ginvite.module:78","Invite sent to %mail","","",FALSE,"","",""
