"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/BatchService.php:174","'@count results processed.'","","",FALSE,"","",""
"src/BatchService.php:182","An error occurred while processing @operation with arguments : @args","Si è verificato un errore durante l'esecuzione di @operation con argomenti: @args","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:131","Batch has encountered an error","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:141","Batch operations end.","","",FALSE,"","",""
"gpde_orchestrator.install:194","Could not set Sky as default style, please do so manually.","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:89;94","Error found @e","","",FALSE,"","",""
"gpde_orchestrator.info.yml:0","GPDE Orchestrator","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:124","No user data found","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:110","Preparing batch: @space","","",FALSE,"","",""
"gpde_orchestrator.info.yml:0","Provides a list of dependencies that represent the features that are enabled on Open Social","","",FALSE,"","",""
"src/BatchService.php:154","Sanitized user information for user uid: @id","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:129","Sanitizing @num users(s) data","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:118","Sanitizing @user_count in this batch","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:72;73","Sanitizing user data batch operations start","","",FALSE,"","",""
"src/Commands/UserSanitizationCommands.php:143","Update batch operations end.","","",FALSE,"","",""
"gpde_orchestrator.info.yml:0","gpde","gpit","",FALSE,"","",""
