"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Access/GroupPermissions.php:48","'%type_name: Create new group'","'%type_name: Crea un nuovo gruppo'","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0;0;0;0",",",",","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","'- All -'","'- Tutto -'","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","<a href=""/group/{{ gid }}/content/{{ id }}/approve-membership?destination=/group/{{ gid }}/members-pending"">Approve membership</a>","<a href=""/group/{{ gid }}/content/{{ id }}/approve-membership?destination=/group/{{ gid }}/members-pending"">Approva iscrizione</a>","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","<a href=""/group/{{ gid }}/content/{{ id }}/reject-membership?destination=/group/{{ gid }}/members-pending"">Reject Membership</a>","<a href=""/group/{{ gid }}/content/{{ id }}/reject-membership?destination=/group/{{ gid }}/members-pending"">Rifiuta iscrizione</a>","",FALSE,"","",""
"src/Entity/Controller/GroupTypeController.php:102","<em>* These plugins are set to be always on by their providing module.</em>","<em>* Questi plugin sono impostati per essere sempre attivi dal loro modulo di provenienza.</em>","",FALSE,"","",""
"src/Form/GroupPermissionsTypeSpecificForm.php:66","<strong>Anonymous:</strong> This is the same as the global Anonymous role, meaning the user has no account.","<strong>Anonimo:</strong> Questo è lo stesso ruolo Anonimo, significa che l'utente non ha un profilo.","",FALSE,"","",""
"src/Form/GroupPermissionsTypeSpecificForm.php:68","<strong>Member:</strong> The default role for anyone in the group. Behaves like the ""Authenticated user"" role does globally.","<strong>Membro:</strong> Il ruolo di default per ciascuno che entra in un gruppo. Si comporta come il ruolo ""Utente autenticato"" a livello globale.","",FALSE,"","",""
"src/Form/GroupPermissionsTypeSpecificForm.php:67","<strong>Outsider:</strong> This means the user has an account on the site, but is not a member of the group.","<strong>Outsider:</strong> Significa che l'utente ha un profilo sul sito, ma non è un membro del gruppo.","",FALSE,"","",""
"src/Entity/Views/GroupContentViewsData.php:96","'@entity_type from group content'","'@entity_type dal contenuto del gruppo'","",FALSE,"","",""
"group.views.inc:48","'@entity_type group content'","'@entity_type contenuto del gruppo'","",FALSE,"","",""
"modules/ginvite/src/Form/BulkGroupInvitationConfirm.php:179","'@err'","'@err'","",FALSE,"","",""
"src/Entity/Form/GroupForm.php:109","'@type %title has been created.'","'@type %title è stato creato.'","",FALSE,"","",""
"src/Entity/Form/GroupDeleteForm.php:48","'@type %title has been deleted.'","'@type %title è stato eliminato.'","",FALSE,"","",""
"src/Entity/Form/GroupForm.php:108","'@type %title has been updated.'","Il @type %title è stato aggiornato.","",FALSE,"","",""
"src/Entity/Form/GroupDeleteForm.php:47","'@type: deleted %title.'","'@type: cancellato %title.'","",FALSE,"","",""
"group.module:235;254","A list of all the groups referencing this entity.","Una lista di gruppo che fanno riferimento a questa entità.","",FALSE,"","",""
"group.tokens.inc:121","A prettier way of labeling group content of the same plugin type.","Un modo più grazioso di etichettare i contenuti del gruppo dello stesso tipo di plugin.","",FALSE,"","",""
"src/Entity/Form/GroupRoleForm.php:73","A unique machine-readable name for this group role. It must only contain lowercase letters, numbers, and underscores.","Un nome univoco leggibile automaticamente per questo ruolo di gruppo. Deve contenere solo lettere minuscole, numeri e caratteri di sottolineatura.","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:77","A unique machine-readable name for this group type. It must only contain lowercase letters, numbers, and underscores. This name will be used for constructing the URL of the %group-add page, in which underscores will be converted into hyphens.","Un nome univoco leggibile automaticamente per questo tipo di gruppo. Deve contenere solo lettere minuscole, numeri e caratteri di sottolineatura. Questo nome verrà utilizzato per costruire l'URL della pagina %group-add, in cui i trattini bassi verranno convertiti in trattini.","",FALSE,"","",""
"modules/ginvite/config/optional/views.view.my_invitations.yml:0;0","Accept","Accetta","",FALSE,"","",""
"modules/ginvite/ginvite.routing.yml:0","Accept invitation and join group","Accetta l'invito e entra nel gruppo","",FALSE,"","",""
"group.group.permissions.yml:0","Access all entities overview","Accesso riservato ai soli amministratori del sito.","",FALSE,"","",""
"modules/gnode/gnode.group.permissions.yml:0","Access group node overview","Lingua di accesso @language","",FALSE,"","",""
"group.permissions.yml:0","Access the Group overview page","Accedi alla pagina di panoramica dei caratteri","",FALSE,"","",""
"modules/gnode/gnode.group.permissions.yml:0","Access the overview of all group nodes, regardless of node type","Accesso a visualizzare tutti i profili e i campi nascosti","",FALSE,"","",""
"src/Plugin/views/access/GroupPermission.php:16","Access will be granted to users with the specified group permission string.","L'accesso sarà garantito agli utenti con la stringa di permesso specificata.","",FALSE,"","",""
"src/Entity/Controller/GroupController.php:137","Add @group_type_label","Aggiungi @group_type_label","",FALSE,"","",""
"src/Entity/Controller/GroupContentController.php:255;379","Add @name","Aggiungi @name","",FALSE,"","",""
"modules/gnode/src/Plugin/GroupContentEnabler/GroupNode.php:49","Add @type","Aggiungi @type","",FALSE,"","",""
"modules/gnode/gnode.links.action.yml:0","Add existing content","Aggiungi contenuto esistente","",FALSE,"","",""
"modules/gnode/src/Controller/GroupNodeController.php:79","Add existing content of type %node_type to the group.","Aggiungi contenuto esistente di tipo %node_type al gruppo.","",FALSE,"","",""
"group.links.action.yml:0","Add existing entity","Aggiungi una entità esistente","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:63;78","Add group","Aggiungi gruppo","",FALSE,"","",""
"group.links.action.yml:0","Add group role","Aggiungi un ruolo al gruppo","",FALSE,"","",""
"group.links.action.yml:0","Add group type","Aggiungi un tipo di gruppo","",FALSE,"","",""
"group.links.action.yml:0","Add member","Aggiungi utente","",FALSE,"","",""
"src/Entity/Form/GroupContentForm.php:107","Add new @entity_type to @group","Aggiungi nuovo @entity_type a @group","",FALSE,"","",""
"modules/gnode/gnode.links.action.yml:0","Add new content","Aggiungi un nuovo contenuto","",FALSE,"","",""
"modules/gnode/src/Controller/GroupNodeController.php:78","Add new content of type %node_type to the group.","Aggiungi un nuovo contenuto di tipo %node_type al gruppo.","",FALSE,"","",""
"group.links.action.yml:0","Add new entity","Aggiungi una nuova entità","",FALSE,"","",""
"src/Entity/Form/GroupRoleForm.php:128","Added group role %label.","Aggiungi al gruppo il ruolo %label.","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:220","Added group type %label.","Aggiunto al gruppo il %label.","",FALSE,"","",""
"modules/gnode/src/Plugin/GroupContentEnabler/GroupNodeDeriver.php:20","Adds %type content to groups both publicly and privately.","Aggiunge un contenuto di tipo %type ai gruppi, sia pubblico che privato.","",FALSE,"","",""
"modules/gnode/src/Plugin/GroupContentEnabler/GroupNode.php:11","Adds nodes to groups both publicly and privately.","Aggiunge nodi ai gruppi sia pubblicamente che privatamente.","",FALSE,"","",""
"modules/grequest/src/Plugin/GroupContentEnabler/GroupMembershipRequest.php:17","Adds users as requesters for the group.","Aggiunge utenti come richiedenti per il gruppo.","",FALSE,"","",""
"src/Plugin/GroupContentEnabler/GroupMembership.php:18","Adds users to groups as members.","Aggiungi gli utenti come membri del gruppo.","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:229","Admin","Admin","",FALSE,"","",""
"group.group.permissions.yml:0","Administer group","Amministra il gruppo","",FALSE,"","",""
"group.permissions.yml:0","Administer group settings","Amministra le impostazioni del gruppo","",FALSE,"","",""
"group.group.permissions.yml:0","Administer the group, its content and members","Amministra il gruppo, i suoi contenuti e membri","",FALSE,"","",""
"src/Breadcrumb/GroupContentTypeBreadcrumbBuilder.php:38","Administration","Amministrazione","",FALSE,"","",""
"group.links.task.yml:0","Advanced outsider permissions","Autorizzazioni avanzate per membri non iscritti al gruppo","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","All","Tutto","",FALSE,"","",""
"group.links.task.yml:0","All entities","Tutti gli elementi","",FALSE,"","",""
"src/Entity/Controller/GroupContentController.php:289","All entities for @group","Tutti gli elementi per @group","",FALSE,"","",""
"group.module:335","All of your groups will be assigned to the super administrator.","Tutti i tuoi gruppi saranno assegnati al super amministratore.","",FALSE,"","",""
"modules/ginvite/ginvite.info.yml:0","Allows group managers to invite people into their group","Permetti agli amministratori del gruppo di invitare persone nel loro gruppo","",FALSE,"","",""
"modules/grequest/grequest.info.yml:0","Allows users to request access to Groups","Abilita gli utenti a richiedere l'accesso ai Gruppi","",FALSE,"","",""
"group.info.yml:0","Allows you to group users, content and other entities","Consente di raggruppare utenti, contenuti e altre entità","",FALSE,"","",""
"modules/gnode/gnode.tokens.inc:34","An array of all the node parent groups.","Un array di tutti i gruppi parent del nodo.","",FALSE,"","",""
"modules/ginvite/src/Form/BulkGroupInvitationConfirm.php:141","An error occurred during processing","Si è verificato un errore durante l'elaborazione","",FALSE,"","",""
"modules/ginvite/src/Form/BulkGroupInvitationConfirm.php:185","An error occurred while processing @operation with arguments : @args","Si è verificato un errore durante l'esecuzione di @operation con argomenti: @args","",FALSE,"","",""
"src/Entity/Storage/GroupRoleStorage.php:173","Anonymous","Anonim@","",FALSE,"","",""
"src/Entity/Controller/GroupTypeController.php:98","Applies to","Applica a","",FALSE,"","",""
