"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/optional/views.view.group_media.yml:0;0;0;0",", ","","","False","","",""
"config/optional/views.view.group_media.yml:0","'- All -'","","","False","","",""
"groupmedia.group.permissions.yml:0","Access group media overview","","","False","","",""
"groupmedia.group.permissions.yml:0","Access the overview of all group media, regardless of media bundle","","","False","","",""
"src/Plugin/Action/AssignMediaToGroup.php:106","Add to Group","","","False","","",""
"src/Plugin/Group/Relation/GroupMediaDeriver.php:32","Adds %type content to groups both publicly and privately.","","","False","","",""
"src/Plugin/Group/Relation/GroupMedia.php:8","Adds media items to groups both publicly and privately.","","","False","","",""
"src/Plugin/Group/Relation/GroupMediaType.php:7","Adds media type to groups both publicly and privately.","","","False","","",""
"modules/groupmedia_paragraphs/groupmedia_paragraphs.info.yml:0","Adds media used in paragraphs to corresponding group","","","False","","",""
"groupmedia.permissions.yml:0","Administer group media settings","","","False","","",""
"config/optional/views.view.group_media.yml:0","All","","","False","","",""
"groupmedia.tokens.inc:34","An array of all the media parent groups.","","","False","","",""
"config/optional/views.view.group_media.yml:0","Apply","","","False","","",""
"config/optional/views.view.group_media.yml:0","Asc","","","False","","",""
"config/schema/groupmedia.schema.yml:0","Assign media to Group","","","False","","",""
"src/Plugin/Action/AssignMediaToGroup.php:14","Assign media to a Group","","","False","","",""
"config/optional/views.view.group_media.yml:0","Bundle","","","False","","",""
"groupmedia.permissions.yml:0","Configure group media settings.","","","False","","",""
"src/Plugin/Group/RelationHandler/GroupMediaOperationProvider.php:75","Create @type","","","False","","",""
"groupmedia.links.action.yml:0","Create media","","","False","","",""
"config/optional/views.view.group_media.yml:0","Delete","","","False","","",""
"config/optional/views.view.group_media.yml:0","Delete Media","","","False","","",""
"config/optional/views.view.group_media.yml:0","Delete relation","","","False","","",""
"config/optional/views.view.group_media.yml:0","Delete relation link","","","False","","",""
"config/optional/views.view.group_media.yml:0","Desc","","","False","","",""
"config/optional/views.view.group_media.yml:0","Dropbutton","","","False","","",""
"config/optional/views.view.group_media.yml:0","Edit","","","False","","",""
