"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/ImageEffect/ContrastImageEffect.php:50","'%'","'%'","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:291","&deg;","","","False","","",""
"src/Plugin/ImageEffect/AspectSwitcherImageEffect.php:78","'Convert' effects included in the image style specified will not be effective. It is not possible to change the image format based on the aspect. If you need to change the image format, you will have to add a 'Convert' effect in this image style.","","","False","","",""
"src/Plugin/ImageEffect/AspectSwitcherImageEffect.php:41;47","(none)","(nessuno)","","False","","",""
"templates/image-effects-watermark-summary.html.twig:27;29","(scaled)","","","False","","",""
"templates/image-effects-contrast-summary.html.twig:19","'+@data.level%'","","","False","","",""
"templates/image-effects-set-canvas-summary.html.twig:34;34","100%","","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:580","<b>Crop text.</b> Only the part of the text fitting in the image is rendered.","","","False","","",""
"src/Plugin/ImageEffect/RotateImageEffect.php:178","<b>Exact.</b> The image will be rotated exactly by the degrees indicated.","","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:579","<b>Extend image.</b> The underlying image will be extended to fit the text.","","","False","","",""
"src/Plugin/ImageEffect/RotateImageEffect.php:179","<b>Pseudo-random.</b> The image will be rotated within a range +/- the degrees indicated, based on a pseudo-random algorithm that uses the image source URI for input.","","","False","","",""
"src/Plugin/ImageEffect/RotateImageEffect.php:180","<b>Random.</b> The image will be rotated randomly within a range +/- the degrees indicated.","","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:581","<b>Scale text.</b> The text will be scaled to fit the underlying image.","","","False","","",""
"src/Plugin/ImageEffect/AutoOrientImageEffect.php:88","<p>Certain cameras can embed <em>orientation</em> information into image
        files when they save them. This information is embedded in an EXIF tag
        and can be used to rotate images to their correct position for display.
        <em>Not all cameras or images contain this information.</em>
        This process is only useful for images that contain this information,
        whereas for other images it is harmless.
        </p>
        <p>Although most modern browsers do support the orientation tag, the
        information may get lost or become incorrect by other operations.
        So, to support all browsers and prevent rotation errors, it is better to
        start each image style with this effect.
        </p>
        <p>The expected/supported values are:<br/>
        <strong>Tag</strong>: <code>0x0112  Orientation</code>
        </p>
        <ul>
        <li>1 = Horizontal (normal)</li>
        <li>3 = Rotate 180</li>
        <li>6 = Rotate 90 CW</li>
        <li>8 = Rotate 270 CW</li>
        </ul>
        <p>Wikipedia: <a href='https://en.wikipedia.org/wiki/Exchangeable_image_file_format'>Exchangeable image file format</a></p>
      ","","","False","","",""
"src/Plugin/ImageEffect/ImagemagickArgumentsImageEffect.php:51","<strong>Enter the command line <em>arguments</em> only.</strong><br/>Remember to escape parenthesis (and remember escaping is platform specific, use \ on *nix and ^ on Windows).<br />Do not add an input or output file. Drupal ImageAPI will add ""convert"" before and a ""-quality"" option after based on the toolkit configuration settings.","","","False","","",""
"src/Plugin/ImageEffect/ImagemagickArgumentsImageEffect.php:62","<strong>Keep dimensions.</strong> Pass through the current image dimensions. Use if the arguments specified above do not change image size.","","","False","","",""
"src/Plugin/ImageEffect/ImagemagickArgumentsImageEffect.php:63","<strong>Manual input.</strong> If you know the size of the image that the arguments specified above will produce, specify them below, either in pixels or as % of the current image dimensions.","","","False","","",""
"src/Plugin/ImageEffect/ImagemagickArgumentsImageEffect.php:64","<strong>Strip dimensions.</strong> This won't pass on any image dimensions. Images will have no HTML <em>width</em> and <em>height</em> attributes if this effect is the last in the image style. Use this if you have another dimension altering effect after this.","","","False","","",""
"templates/image-effects-contrast-summary.html.twig:23","'@data.level%'","","","False","","",""
"src/Plugin/ImageEffect/GaussianBlurImageEffect.php:49","A Gaussian blur is generated by replacing each pixel's color values with the average of the surrounding pixels' colors. This region is a circle whose radius is given by the 'radius' argument. Thus, a larger 'radius' will yield a blurrier image. This average is not a simple mean of the values. Instead, values are weighted using the Gaussian function (roughly a bell curve centered around the destination pixel) giving it much more influence on the result than its neighbours. Thus, a fatter curve will give the center pixel more weight and make the image less  blurry; lower 'sigma' values will yield flatter curves.","","","False","","",""
"src/Plugin/ImageEffect/ConvolutionImageEffect.php:91","A label to identify this filter effect.","","","False","","",""
"src/Plugin/ImageEffect/SmartCropImageEffect.php:117","A percentage crop can not be higher than the source image.","","","False","","",""
"src/Plugin/ImageEffect/SmartCropImageEffect.php:114","A percentage crop can not be wider than the source image.","","","False","","",""
"src/Plugin/image_effects/FontSelector/Dropdown.php:8","Access a list of fonts stored in the directory specified in configuration.","","","False","","",""
"src/Plugin/image_effects/ImageSelector/Dropdown.php:14","Access a list of images stored in the directory specified in configuration.","","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:583","Action to take if text overflows the underlying image.","","","False","","",""
"config/schema/image_effects.schema.yml:0","Action when text wrapper overflows canvas","","","False","","",""
"src/Plugin/ImageToolkit/Operation/imagemagick/Watermark.php:8","Add watermark image effect.","","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:559","Additional horizontal offset from placement.","","","False","","",""
"src/Plugin/ImageEffect/MaskImageEffect.php:153","Additional horizontal offset from placement. Enter a value, and specify if pixels or percent of the canvas width. '+' or no sign shifts the mask rightward, '-' sign leftward.","","","False","","",""
"src/Plugin/ImageEffect/WatermarkImageEffect.php:152","Additional horizontal offset from placement. Enter a value, and specify if pixels or percent of the canvas width. '+' or no sign shifts the watermark rightward, '-' sign leftward.","","","False","","",""
"src/Plugin/ImageEffect/TextOverlayImageEffect.php:568","Additional vertical offset from placement.","","","False","","",""
"src/Plugin/ImageEffect/MaskImageEffect.php:161","Additional vertical offset from placement. Enter a value, and specify if pixels or percent of the canvas height. '+' or no sign shifts the mask downward, '-' sign upward.","","","False","","",""
"src/Plugin/ImageEffect/WatermarkImageEffect.php:160","Additional vertical offset from placement. Enter a value, and specify if pixels or percent of the canvas height. '+' or no sign shifts the watermark downward, '-' sign upward.","","","False","","",""
"config/schema/image_effects.schema.yml:0","Adjust image brightness","","","False","","",""
"src/Plugin/ImageToolkit/Operation/imagemagick/Brightness.php:8","Adjust image brightness.","","","False","","",""
"config/schema/image_effects.schema.yml:0","Adjust image contrast","","","False","","",""
"src/Plugin/ImageToolkit/Operation/imagemagick/Contrast.php:8","Adjust image contrast.","","","False","","",""
