"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/EntityInlineForm.php:102","'@entity_type entities'","","","False","","",""
"inline_entity_form.module:91","'@label'","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:178","'@label can be duplicated.'","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:181","'@label can not be duplicated.'","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:973","'@name field is required.'","Il campo @name è obbligatorio.","","False","","",""
"inline_entity_form.module:105","Add @type_singular","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:527","Add existing @type_singular","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:512","Add new @type_singular","","","False","","",""
"config/schema/inline_entity_form.schema.yml:0","Allow duplicate","","","False","","",""
"config/schema/inline_entity_form.schema.yml:0;0","Allow existing","","","False","","",""
"config/schema/inline_entity_form.schema.yml:0;0","Allow new","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:128","Allow users to add existing @label.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:123","Allow users to add new @label.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:145","Allow users to duplicate @label.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:809","Are you sure you want to remove %label?","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:812","Are you sure you want to remove this %entity_type?","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:133","Autocomplete matching","Riscontro autocompletamento","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:740;850","Cancel","Annulla","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:279","Collapsed by default","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:274;321","Collapsible","Richiudibile","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:321","Collapsible, collapsed by default","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:196","Contains","Contiene","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:712","Create @type_singular","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:244;317","Create new revision","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:300","Default","Predefinito","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:313","Default labels are used.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:823","Delete this @type_singular from the system.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:385","Duplicate","Duplicata","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:715","Duplicate @type_singular","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:368","Edit","Modifica","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:168","Existing @label can be referenced and are matched with the %operator operator.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:174","Existing @label can not be referenced.","","","False","","",""
"inline_entity_form.info.yml:0","Fields","Campi","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:237","Form mode","Modalità modulo","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:302","Form mode: @mode","Modalità modulo: @mode","","False","","",""
"inline_entity_form.info.yml:0","Inline Entity Form","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:21","Inline entity form - Complex","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormSimple.php:14","Inline entity form - Simple","","","False","","",""
"config/schema/inline_entity_form.schema.yml:0;0","Inline entity reference display format settings","","","False","","",""
"src/Form/EntityInlineForm.php:119","Label","Etichetta","","False","","",""
"config/schema/inline_entity_form.schema.yml:0;0","Label (plural)","","","False","","",""
"config/schema/inline_entity_form.schema.yml:0;0","Label (singular)","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:666","Many entities are called %value. Specify the one you want by appending the id in parentheses, like ""@value (@id)"".","","","False","","",""
"config/schema/inline_entity_form.schema.yml:0;0","Match operator","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:675","Multiple entities match this reference; ""%multiple"". Specify the one you want by appending the id in parentheses, like ""@value (@id)"".","","","False","","",""
"inline_entity_form.module:421","N/A","N/D","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:160","New @label can be added.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:163","New @label can not be created.","","","False","","",""
"inline_entity_form.module:369","Operations","Operazioni","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:249","Override labels","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:304","Overriden labels are used: %singular and %plural","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:264","Plural label","","","False","","",""
"inline_entity_form.info.yml:0","Provides a widget for inline management (creation, modification, removal) of referenced entities. ","","","False","","",""
"src/Form/NodeInlineForm.php:39","Published","Pubblicato","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:404;837","Remove","Elimina","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:136","Select the method used to collect autocomplete suggestions. Note that <em>Contains</em> can cause performance issues on sites with thousands of nodes.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormBase.php:254","Singular label","","","False","","",""
"inline_entity_form.module:351","Sort order","Ordinamento","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:195","Starts with","Inizia con","","False","","",""
"src/Form/NodeInlineForm.php:33","Status","Status","","False","","",""
"inline_entity_form.module:165","The selected @label has already been added.","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:661","There are no entities matching ""%value"".","","","False","","",""
"src/Form/EntityInlineForm.php:124","Type","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormSimple.php:53","Unable to load the referenced entity.","","","False","","",""
"src/Form/NodeInlineForm.php:38","Unpublished","Non pubblicato","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:719","Update @type_singular","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineEntityFormComplex.php:432","You have added @entities_count out of @cardinality_count allowed @label.","","","False","","",""
"src/Form/NodeInlineForm.php:19","node","nodo","","False","","",""
"src/Form/NodeInlineForm.php:20","nodes","nodi","","False","","",""
