"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"jquery_ui_datepicker.module:18","About","","","False","","",""
"js/locale.js:0","Apr","","","False","","",""
"js/locale.js:0","April","","","False","Long month name","",""
"js/locale.js:0","Aug","","","False","","",""
"js/locale.js:0","August","","","False","Long month name","",""
"js/locale.js:0","Dec","","","False","","",""
"js/locale.js:0","December","","","False","Long month name","",""
"js/locale.js:0","Done","","","False","","",""
"jquery_ui_datepicker.module:19","Drupal 8 includes jQuery UI in core, however it is no longer actively maintained and has been marked deprecated. This module provides the jQuery UI Datepicker library for any themes and modules that require it.","","","False","","",""
"js/locale.js:0","Feb","","","False","","",""
"js/locale.js:0","February","","","False","Long month name","",""
"jquery_ui_datepicker.module:20","For more information about the deprecation of jQuery UI, see this <a href="":change-record"">change record</a>","","","False","","",""
"js/locale.js:0","Fr","","","False","","",""
"js/locale.js:0","Fri","","","False","","",""
"js/locale.js:0","Friday","","","False","","",""
"js/locale.js:0","Jan","","","False","","",""
"js/locale.js:0","January","","","False","Long month name","",""
"js/locale.js:0","Jul","","","False","","",""
"js/locale.js:0","July","","","False","Long month name","",""
"js/locale.js:0","Jun","","","False","","",""
"js/locale.js:0","June","","","False","Long month name","",""
"js/locale.js:0","Mar","","","False","","",""
"js/locale.js:0","March","","","False","Long month name","",""
"js/locale.js:0","May","","","False","","",""
"js/locale.js:0","May","","","False","Long month name","",""
"js/locale.js:0","Mo","","","False","","",""
"js/locale.js:0","Mon","","","False","","",""
"js/locale.js:0","Monday","","","False","","",""
"js/locale.js:0","Next","","","False","","",""
"js/locale.js:0","Nov","","","False","","",""
"js/locale.js:0","November","","","False","Long month name","",""
"js/locale.js:0","Oct","","","False","","",""
"js/locale.js:0","October","","","False","Long month name","",""
"js/locale.js:0","Prev","","","False","","",""
"jquery_ui_datepicker.info.yml:0","Provides jQuery UI Datepicker library.","","","False","","",""
"js/locale.js:0","Sa","","","False","","",""
"js/locale.js:0","Sat","","","False","","",""
"js/locale.js:0","Saturday","","","False","","",""
"js/locale.js:0","Sep","","","False","","",""
"js/locale.js:0","September","","","False","Long month name","",""
"js/locale.js:0","Su","","","False","","",""
"js/locale.js:0","Sun","","","False","","",""
"js/locale.js:0","Sunday","","","False","","",""
"js/locale.js:0","Th","","","False","","",""
"js/locale.js:0","Thu","","","False","","",""
"js/locale.js:0","Thursday","","","False","","",""
"js/locale.js:0","Today","","","False","","",""
"js/locale.js:0","Tu","","","False","","",""
"js/locale.js:0","Tue","","","False","","",""
"js/locale.js:0","Tuesday","","","False","","",""
"jquery_ui_datepicker.module:21","Visit the <a href="":project_link"">jQuery UI Datepicker project page</a> on Drupal.org for more information on this module.","","","False","","",""
"js/locale.js:0","We","","","False","","",""
"js/locale.js:0","Wed","","","False","","",""
"js/locale.js:0","Wednesday","","","False","","",""
"jquery_ui_datepicker.info.yml:0","jQuery UI","","","False","","",""
"jquery_ui_datepicker.info.yml:0","jQuery UI Datepicker","","","False","","",""
"js/locale.js:0","mm/dd/yy","","","False","","",""
