"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"login_tracker.permissions.yml:0","Assign this permission to roles, and any logins by users of that role will not be tracked.","","","False","","",""
"login_tracker.views.inc:17","Contains data about user logins.","Contiene dati in merito ai login utenti","","False","","",""
"login_tracker.permissions.yml:0","Excluded from login tracking","","","False","","",""
"login_tracker.info.yml:0","Login Tracker","","","False","","",""
"login_tracker.views.inc:78","Login data","","","False","","",""
"login_tracker.views.inc:27","Login record ID","","","False","","",""
"login_tracker.views.inc:79","Login record information.","","","False","","",""
"login_tracker.views.inc:65","Login timestamp","","","False","","",""
"login_tracker.views.inc:36","Record ID","","","False","","",""
"login_tracker.views.inc:66","The timestamp that the user logged in at.","","","False","","",""
"login_tracker.views.inc:28","The unique ID referring to this login record.","","","False","","",""
"login_tracker.views.inc:55","The user associated with the login record.","","","False","","",""
"login_tracker.views.inc:42","The user's UID.","","","False","","",""
"login_tracker.info.yml:0","Track user logins","","","False","","",""
"login_tracker.views.inc:41;50","UID","","","False","","",""
"login_tracker.views.inc:13;16","User logins","","","False","","",""
"login_tracker.views.inc:54;60","User who logged in","","","False","","",""
