"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:487","'- Please select -'","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginConfigForm.php:95","<em>Save</em> will simply save this configuration. <em>Save and request token</em> will save this configuration and then request and store a token for future use.","","",FALSE,"","",""
"src/Plugin/KeyType/Oauth2ClientKey.php:7","A key type to store oauth credentials for the Oauth2 Client module. Store as JSON:<br><pre>{<br>&quot;client_id&quot;: &quot;client_id value&quot;,<br>&quot;client_secret&quot;: &quot;client_secret value&quot;<br>}</pre>","","",FALSE,"","",""
"oauth2_client.permissions.yml:0","Administer OAuth2 Clients","","",FALSE,"","",""
"oauth2_client.permissions.yml:0","Allows administrators to view OAuth2 Client Report pages","","",FALSE,"","",""
"oauth2_client.routing.yml:0","Capture Oauth2 Authorization Code","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:199","Client ID","","",FALSE,"","",""
"src/Plugin/KeyType/Oauth2ClientKey.php:7","Client Secret","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:204","Client secret","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginConfigForm.php:118","Configuration saved for <em>@label</em>","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginList.php:64","Configure","","",FALSE,"","",""
"oauth2_client.links.menu.yml:0","Configure and initialize Oauth2 clients.","","",FALSE,"","",""
"config/schema/oauth2_client.schema.yml:0","Credential data","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:446","Credential provider","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/oauth2_client_example_plugins.info.yml:0","Demonstrate some uses of Oauth2Client plugins","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeExample.php:8","Example for Authorization Code grant","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeAccessExample.php:12","Example for code capture access override","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeRedirectExample.php:12","Example for post code capture redirect override.","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginList.php:50","Grant Type","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:450","Key module","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:449","Local storage","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:471","Managed by the Key module","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginList.php:45","Name","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginList.php:78","No clients available.","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeExample.php:38","OAuth token stored.","","",FALSE,"","",""
"oauth2_client.info.yml:0","OAuth2","","",FALSE,"","",""
"oauth2_client.info.yml:0","OAuth2 Client","","",FALSE,"","",""
"src/Plugin/KeyType/Oauth2ClientKey.php:7","Oauth2 Client","","",FALSE,"","",""
"oauth2_client.routing.yml:0","Oauth2 Client Configuration","","",FALSE,"","",""
"config/schema/oauth2_client.schema.yml:0","Oauth2 Client Credentials","","",FALSE,"","",""
"oauth2_client.routing.yml:0","Oauth2 Client Plugins","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginList.php:55","Operations","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:217;500","Password","","",FALSE,"","",""
"config/schema/oauth2_client.schema.yml:0","Plugin ID","","",FALSE,"","",""
"oauth2_client.info.yml:0","Provides OAuth2 client functionality.","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/ResourceOwnerExample.php:8","Resource Owner Example","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginConfigForm.php:91","Save and request token","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginConfigForm.php:86","Save configuration","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:485","Select a stored Key","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:489","Select the key you have configured to hold the Oauth credentials.","","",FALSE,"","",""
"config/schema/oauth2_client.schema.yml:0","Storage identifier","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:196","Stored locally","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:213;496","The username and password entered here are not saved, but are only used to request the token.","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginList.php:88","To configure a client, click the ""Configure"" button.","","",FALSE,"","",""
"config/schema/oauth2_client.schema.yml:0","UUID","","",FALSE,"","",""
"src/Form/Oauth2ClientPluginConfigForm.php:150","Unable to obtain an OAuth token. The error message is: @message","","",FALSE,"","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:212;495","Username","","",FALSE,"","",""
"examples/oauth2_client_example_plugins/oauth2_client_example_plugins.info.yml:0","oauth2_client_example_plugins","","",FALSE,"","",""
