"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:487","'- Please select -'","","","False","","",""
"src/Form/Oauth2ClientPluginConfigForm.php:95","<em>Save</em> will simply save this configuration. <em>Save and request token</em> will save this configuration and then request and store a token for future use.","","","False","","",""
"src/Plugin/KeyType/Oauth2ClientKey.php:7","A key type to store oauth credentials for the Oauth2 Client module. Store as JSON:<br><pre>{<br>&quot;client_id&quot;: &quot;client_id value&quot;,<br>&quot;client_secret&quot;: &quot;client_secret value&quot;<br>}</pre>","","","False","","",""
"oauth2_client.permissions.yml:0","Administer OAuth2 Clients","","","False","","",""
"oauth2_client.permissions.yml:0","Allows administrators to view OAuth2 Client Report pages","","","False","","",""
"oauth2_client.routing.yml:0","Capture Oauth2 Authorization Code","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:199","Client ID","","","False","","",""
"src/Plugin/KeyType/Oauth2ClientKey.php:7","Client Secret","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:204","Client secret","","","False","","",""
"src/Form/Oauth2ClientPluginConfigForm.php:118","Configuration saved for <em>@label</em>","","","False","","",""
"src/Form/Oauth2ClientPluginList.php:64","Configure","","","False","","",""
"oauth2_client.links.menu.yml:0","Configure and initialize Oauth2 clients.","","","False","","",""
"config/schema/oauth2_client.schema.yml:0","Credential data","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:446","Credential provider","","","False","","",""
"examples/oauth2_client_example_plugins/oauth2_client_example_plugins.info.yml:0","Demonstrate some uses of Oauth2Client plugins","","","False","","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeExample.php:8","Example for Authorization Code grant","","","False","","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeAccessExample.php:12","Example for code capture access override","","","False","","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeRedirectExample.php:12","Example for post code capture redirect override.","","","False","","",""
"src/Form/Oauth2ClientPluginList.php:50","Grant Type","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:450","Key module","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:449","Local storage","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:471","Managed by the Key module","","","False","","",""
"src/Form/Oauth2ClientPluginList.php:45","Name","","","False","","",""
"src/Form/Oauth2ClientPluginList.php:78","No clients available.","","","False","","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/AuthCodeExample.php:38","OAuth token stored.","","","False","","",""
"oauth2_client.info.yml:0","OAuth2","","","False","","",""
"oauth2_client.info.yml:0","OAuth2 Client","","","False","","",""
"src/Plugin/KeyType/Oauth2ClientKey.php:7","Oauth2 Client","","","False","","",""
"oauth2_client.routing.yml:0","Oauth2 Client Configuration","","","False","","",""
"config/schema/oauth2_client.schema.yml:0","Oauth2 Client Credentials","","","False","","",""
"oauth2_client.routing.yml:0","Oauth2 Client Plugins","","","False","","",""
"src/Form/Oauth2ClientPluginList.php:55","Operations","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:217;500","Password","","","False","","",""
"config/schema/oauth2_client.schema.yml:0","Plugin ID","","","False","","",""
"oauth2_client.info.yml:0","Provides OAuth2 client functionality.","","","False","","",""
"examples/oauth2_client_example_plugins/src/Plugin/Oauth2Client/ResourceOwnerExample.php:8","Resource Owner Example","","","False","","",""
"src/Form/Oauth2ClientPluginConfigForm.php:91","Save and request token","","","False","","",""
"src/Form/Oauth2ClientPluginConfigForm.php:86","Save configuration","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:485","Select a stored Key","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:489","Select the key you have configured to hold the Oauth credentials.","","","False","","",""
"config/schema/oauth2_client.schema.yml:0","Storage identifier","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:196","Stored locally","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:213;496","The username and password entered here are not saved, but are only used to request the token.","","","False","","",""
"src/Form/Oauth2ClientPluginList.php:88","To configure a client, click the ""Configure"" button.","","","False","","",""
"config/schema/oauth2_client.schema.yml:0","UUID","","","False","","",""
"src/Form/Oauth2ClientPluginConfigForm.php:150","Unable to obtain an OAuth token. The error message is: @message","","","False","","",""
"src/Plugin/Oauth2Client/Oauth2ClientPluginBase.php:212;495","Username","","","False","","",""
"examples/oauth2_client_example_plugins/oauth2_client_example_plugins.info.yml:0","oauth2_client_example_plugins","","","False","","",""
