"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Controller/OpenApiUiController.php:26","'%generator OpenApi Documentation'","","",FALSE,"","",""
"src/Controller/ApiSpecificationController.php:22","'%label OpenApi Schema Download'","","",FALSE,"","",""
"openapi.permissions.yml:0","Access API Docs","","",FALSE,"","",""
"openapi.permissions.yml:0","Access documentation page for the REST API","","",FALSE,"","",""
"openapi.links.menu.yml:0","Available OpenAPI Documentation.","","",FALSE,"","",""
"openapi.info.yml:0","Connects Drupal to the OpenAPI Javascript Library","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:74","Explore","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:143","Explore with %interface","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:72","Module","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:161","No OpenApi generator plugins are currently available.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:148","No UI available.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:91","No UI plugins available","","",FALSE,"","",""
"openapi.links.menu.yml:0","OpenAPI","","",FALSE,"","",""
"openapi.routing.yml:0","OpenAPI Documentation","","",FALSE,"","",""
"openapi.routing.yml:0","OpenAPI Resources","","",FALSE,"","",""
"openapi.routing.yml:0","OpenAPI Schema Download","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:82","Please visit the <a href=':openapi_ui_link'>OpenAPI UI module</a> for information on these interfaces and to discover others.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:73","Specification","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:59","The specifications provide the documentation on some of Drupal's apis following <a href=':openapi_spec'>OpenAPI (aka Swagger)</a> standards.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:92","There are no plugins available for exploring the OpenAPI documentation.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:60","These json files can be used in tools such as the <a href="":swagger_editor"">Swagger Editor</a> to provide a more detailed version of the API documentation or <a href="":swagger_codegen"">Swagger Codegen</a> to create an api client.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:119","View/Download","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:93","You can install one of the below projects to view the API Specifications from with your site.","","",FALSE,"","",""
"src/Controller/OpenApiListController.php:162","You must enable a REST or API module which supports OpenApi Downloads, such as the <a href="":rest_link"">Core Rest</a> and <a href="":jsonapi_link"">JSON:API</a> modules.","","",FALSE,"","",""
