"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1973"," to %type"," to %type","","False","","",""
"modules/paragraphs_library/src/Form/LibraryItemRevisionRevertForm.php:111","'%title has been reverted to the revision from %revision-date.'","'%title è stata ripristinata la versione del %revision-date.'","","False","","",""
"src/Form/ParagraphsTypeDeleteConfirm.php:24","'%type Paragraphs type is used by 1 piece of content on your site. You can not remove this %type Paragraphs type until you have removed all from the content.'","","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:64","'%type_name: Create content'","'%type_name: Crea contenuto'","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:72","'%type_name: Delete content'","'%type_name: Elimina contenuto'","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:68","'%type_name: Edit content'","'%type_name: Modifica contenuto'","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:60","'%type_name: View content'","'%type_name: Visualizza contenuto'","","False","","",""
"paragraphs.module:242","(* unsupported) Paragraphs fields do not support translation. See the <a href="":documentation"">online documentation</a>.","","","False","","",""
"modules/paragraphs_library/config/optional/views.view.paragraphs_library_browser.yml:0;0;0;0",", ",", ","","False","","",""
"modules/paragraphs_library/config/optional/views.view.paragraphs_library_browser.yml:0","'- All -'","'- Tutto -'","","False","","",""
"src/Entity/Paragraph.php:565","1 child","1 figlio","","False","","",""
"modules/paragraphs_library/config/install/views.view.paragraphs_library.yml:0","1 place","1 posto","","False","","",""
"paragraphs.module:30","<em>Paragraphs types</em> can be created by clicking <em>Add Paragraphs type</em> on the <a href="":paragraphs"">Paragraphs types page</a>. By default a new Paragraphs type does not contain any fields.","","","False","","",""
"src/Feeds/Target/Paragraphs.php:107","<strong>Note:</strong> Field options do not appear until a type has been chosen and saved.","","","False","","",""
"modules/paragraphs_library/src/Controller/LibraryItemController.php:1","'@date: @label by @author'","'@date: @label da @author'","","False","","",""
"paragraphs.module:274","'@field_label (* unsupported)'","'@field_label (*non supportato)'","","False","","",""
"src/Plugin/migrate/D7ParagraphsItemDeriver.php:75","'@label (@type)'","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineParagraphsWidget.php:292","'@messages'","'@messages'","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:2586","'@name field is required.'","Il campo @name è obbligatorio.","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1943","'@title type'","'@title tipo'","","False","","",""
