"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"private_message.module:353","1 day","","",FALSE,"","",""
"private_message.module:349","1 hour","","",FALSE,"","",""
"private_message.module:344","1 minute","","",FALSE,"","",""
"private_message.module:347","10 minutes","","",FALSE,"","",""
"private_message.module:352","12 hours","","",FALSE,"","",""
"private_message.module:345","3 minutes","","",FALSE,"","",""
"private_message.module:348","30 minutes","","",FALSE,"","",""
"private_message.module:350","4 hours","","",FALSE,"","",""
"private_message.module:346","5 minutes","","",FALSE,"","",""
"private_message.module:351","6 hours","","",FALSE,"","",""
"private_message.module:484","<p>A private message system for users to send messages to each other. It has been written to be fully extendable using Drupal 8 APIs.</p>
        <p>See the <a href="":project_page"">project page on Drupal.org</a> for more details.</p>","","",FALSE,"","",""
"private_message.install:242","'@current/@total threads processed.'","","",FALSE,"","",""
"private_message.install:181","'@total threads processed.'","","",FALSE,"","",""
"private_message.info.yml:0","A private message system for users to send messages to each other","","",FALSE,"","",""
"config/optional/block.block.privatemessageactions.yml:0","Actions","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:241","Add separator after prefix","","",FALSE,"","",""
"private_message.permissions.yml:0","Administer private message module","","",FALSE,"","",""
"private_message.permissions.yml:0","Administer private messages","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:205","Ajax refresh rate","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:175","Ajax refresh rate: @count seconds","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:178","Ajax refresh rate: Ajax refresh disabled","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Ajax thread load count","","",FALSE,"","",""
"src/Commands/PrivateMessageCommands.php:86","All private message content deleted.","","",FALSE,"","",""
"private_message.permissions.yml:0","Allows administrators to administer private messages","","",FALSE,"","",""
"private_message.permissions.yml:0","Allows administrators to manage all parts of the One Page Private Message module","","",FALSE,"","",""
"private_message.permissions.yml:0","Allows users to delete thread completely for all it members","","",FALSE,"","",""
"private_message.permissions.yml:0","Allows users to send and receive private messages","","",FALSE,"","",""
"private_message.module:365","Amount of time after leaving a thread that the system starts sending notifications of new messages","","",FALSE,"","",""
"src/Form/PrivateMessageThreadClearPersonalHistoryForm.php:29","Are you sure you want to clear chat history between you and the following users: @others?","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:53","Are you sure you want to delete all private message content from the system?","","",FALSE,"","",""
"src/Form/PrivateMessageThreadDeleteForm.php:29","Are you sure you want to delete the thread between you and the following users: @others?","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:312","Ascending","Crescente","",FALSE,"","",""
"private_message.tokens.inc:45","Author","Autore/Autrice","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Autocomplete matching","Riscontro autocompletamento","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Block thread load count","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:81","Cancel","Annulla","",FALSE,"","",""
"src/Form/PrivateMessageThreadClearPersonalHistoryForm.php:43","Clear history","","",FALSE,"","",""
"private_message.module:53","Clear history link","","",FALSE,"","",""
"private_message.routing.yml:0","Clear personal history in thread","","",FALSE,"","",""
"private_message.links.menu.yml:0","Configuration","Configurazione","",FALSE,"","",""
"private_message.links.menu.yml:0","Configuration settings for private messages","","",FALSE,"","",""
"private_message.links.menu.yml:0","Configure private message entities","Configura entità del messaggio privato","",FALSE,"","",""
"private_message.links.menu.yml:0","Configure private message thread entities","Configura entità per la sequenza dei messaggi privati","",FALSE,"","",""
"private_message.links.menu.yml:0","Configure private messages","Configura messaggi privati","",FALSE,"","",""
"config/install/private_message.settings.yml:0","Create Private Message","Crea un messaggio privato","",FALSE,"","",""
"src/Entity/PrivateMessage.php:149","Created","Creato","",FALSE,"","",""
"private_message.tokens.inc:55","Creation date","Data di creazione","",FALSE,"","",""
"src/Form/ConfigForm.php:97","Default action","Azione predefinita","",FALSE,"","",""
"private_message.routing.yml:0","Delete Thread","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:74","Delete all private message content","","",FALSE,"","",""
"private_message.module:46","Delete link","Link elimina","",FALSE,"","",""
"private_message.permissions.yml:0","Delete private message thread for all participants","","",FALSE,"","",""
"src/Form/PrivateMessageThreadDeleteForm.php:43","Delete thread","","",FALSE,"","",""
"src/Commands/PrivateMessageCommands.php:83","Deleted thread: @id","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:98","Deleting private message data","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:105","Deleting private message data. Completed: @percentage% (@current of @total).","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:313","Descending","Decrescente","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Display Mode","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:179","Display Type","Tipo di visualizzazione","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:248","Display current user","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Display type","Tipo di display","",FALSE,"","",""
"private_message.module:98;108","Displays a link to send a private message to the node author","","",FALSE,"","",""
"private_message.module:118","Displays a link to send a private message to the profile owner","","",FALSE,"","",""
"private_message.module:81","Displays a link to send a private message to the user","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:128","Displays members using the %display_mode display mode of the user entity","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:125","Displays members using their username, linked to the user account if the viewer has permission to access user profiles","","",FALSE,"","",""
"private_message.module:26","Displays the last message in the thread","","",FALSE,"","",""
"private_message.module:74","Displays the username, linked to the user profile if the viewer has permission to access user profiles","","",FALSE,"","",""
"src/Form/ConfigForm.php:99","Do not send notifications (users can opt-in)","","",FALSE,"","",""
"src/Form/ConfigForm.php:155","Enable autofocus","","",FALSE,"","",""
"src/Form/ConfigForm.php:91","Enable notifications","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:183","Entity","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:229","Field prefix","","",FALSE,"","",""
"src/Form/ConfigForm.php:114","For every private message","","",FALSE,"","",""
"private_message.module:32","Form","","",FALSE,"","",""
"src/Plugin/RulesAction/SendPrivateMessage.php:11","From","Da","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Global settings for the Private Message module","","",FALSE,"","",""
"src/Form/ConfigForm.php:141","Hide filter tips","","",FALSE,"","",""
"src/Form/ConfigForm.php:148","Hide recipient field when recipient is in the URL","","",FALSE,"","",""
"private_message.tokens.inc:35;62","ID","ID","",FALSE,"","",""
"src/Form/ConfigForm.php:142","If this box is checked, the text formats description on the private message form will be removed","","",FALSE,"","",""
"modules/private_message_notify/private_message_notify.info.yml:0","Implements new message notifications.","","",FALSE,"","",""
"config/install/core.entity_view_mode.private_message_thread.inbox.yml:0","Inbox","Posta in arrivo","",FALSE,"","",""
"src/Form/ConfigForm.php:162","Key that sends the message when pressed","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:182","Label","Etichetta","",FALSE,"","",""
"private_message.module:25","Last Message","","",FALSE,"","",""
"private_message.tokens.inc:72","Last update","Ultimo aggiornamento","",FALSE,"","",""
"src/Form/ConfigForm.php:149","Links can be created to the private message page, passing the recipient in the URL. If this box is checked, the recipient field will be hidden when the recipient is passed in the URL.","","",FALSE,"","",""
"js/private_message_thread.js:0","Load Previous","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:198","Load Previous Ajax Count","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Maximum number of autocomplete suggestions.","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Maximum number of members that can be added.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/PrivateMessageThreadMemberWidget.php:173","Maximum number of thread members","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/PrivateMessageThreadMemberWidget.php:157","Maximum thread members: @count","","",FALSE,"","",""
"src/Entity/PrivateMessageThread.php:323","Member(s)","Membro(i)","",FALSE,"","",""
"private_message.module:63","Members","Membri","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Members list prefix","","",FALSE,"","",""
"config/install/core.entity_form_display.private_message.private_message.default.yml:0","Message","Messaggio","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:191","Message Count","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:213","Message direction","","",FALSE,"","",""
"src/Entity/PrivateMessageThread.php:352","Messages","Messaggi","",FALSE,"","",""
"private_message.module:39","No active users","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:143","No separator between the members list.","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:242","No separator will be shown if the prefix is empty.","","",FALSE,"","",""
"src/Form/ConfigForm.php:85","Notifications","","",FALSE,"","",""
"src/Plugin/Block/PrivateMessageInboxBlock.php:230","Number of threads to load with ajax","","",FALSE,"","",""
"src/Plugin/Block/PrivateMessageInboxBlock.php:222","Number of threads to show","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:171","Number of threads to show on load: @count","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:172","Number of threads to show when clicking load previous: @count","","",FALSE,"","",""
"private_message.module:332","Only when not viewing the thread","","",FALSE,"","",""
"src/Form/ConfigForm.php:115","Only when the user is not viewing the thread","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:173","Order of messages: @order","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Placeholder","Segnalibro","",FALSE,"","",""
"private_message.links.menu.yml:0","Prepare the private message module for uninstallation","","",FALSE,"","",""
"src/Plugin/Block/PrivateMessageNotificationBlock.php:17","Private Message","Messaggio privato","",FALSE,"","",""
"src/Plugin/Block/PrivateMessageActionsBlock.php:13","Private Message Actions","","",FALSE,"","",""
"config/install/core.entity_view_mode.user.private_message_author.yml:0","Private Message Author","","",FALSE,"","",""
"private_message.routing.yml:0","Private Message Configuration","","",FALSE,"","",""
"config/optional/block.block.privatemessageinbox.yml:0","Private Message Inbox","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:18","Private Message Messages","","",FALSE,"","",""
"config/optional/block.block.privatemessagenotification.yml:0","Private Message Notification","","",FALSE,"","",""
"modules/private_message_notify/private_message_notify.info.yml:0","Private Message Notify","","",FALSE,"","",""
"private_message.routing.yml:0","Private Message Settings","","",FALSE,"","",""
"src/Entity/PrivateMessageThread.php:13","Private Message Thread","","",FALSE,"","",""
"src/Plugin/Validation/Constraint/PrivateMessageThreadMemberConstraint.php:7","Private Message Thread Member","","",FALSE,"Validation","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:17","Private Message Thread Members","","",FALSE,"","",""
"private_message.routing.yml:0","Private Message Thread Settings","","",FALSE,"","",""
"src/Controller/PrivateMessageController.php:144","Private Message Threads","","",FALSE,"","",""
"private_message.routing.yml:0","Private Message Uninstallation Preparation","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:181","Private Message View Mode: @view_mode","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMessageFormatter.php:224","Private Message view mode","","",FALSE,"","",""
"private_message.routing.yml:0;0","Private Messages","Messaggi privati","",FALSE,"","",""
"src/Entity/PrivateMessage.php:103","Private message ID","","",FALSE,"","",""
"src/Form/ConfigForm.php:79","Private message core","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:109","Private message data has been deleted.","","",FALSE,"","",""
"src/Form/ConfigForm.php:181","Private message labels","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/PrivateMessageThreadMemberWidget.php:19","Private message members autocomplete","","",FALSE,"","",""
"src/Entity/PrivateMessageThread.php:311","Private message thread ID","","",FALSE,"","",""
"private_message.module:80;97;107;117","Private message thread link","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Private message thread member widget settings","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Private message thread members formatter settings","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Private message thread message formatter settings","","",FALSE,"","",""
"private_message.module:87","Private messages","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/PrivateMessageThreadMemberWidget.php:246","Private messages threads cannot have more than @count members","","",FALSE,"","",""
"src/Commands/PrivateMessageCommands.php:65","Proceeding will delete all private messages and private message threads in your system. They cannot be recovered. Do you wish to proceed?","","",FALSE,"","",""
"private_message.module:320","Receive notification of private messages","","",FALSE,"","",""
"src/Form/ConfigForm.php:174","Remove the default CSS of the module","","",FALSE,"","",""
"config/install/private_message.settings.yml:0","Send","","",FALSE,"","",""
"src/Form/ConfigForm.php:100","Send notifications (users can opt-out)","","",FALSE,"","",""
"src/Form/ConfigForm.php:112","Send notifications of new messages in a thread","","",FALSE,"","",""
"src/Service/PrivateMessageService.php:356;366;378","Send private message","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/PrivateMessageThreadMemberFormatter.php:235","Separator","","",FALSE,"","",""
"private_message.links.task.yml:0;0","Settings","Impostazioni","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Settings for the private message inbox block","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Settings for the private message notifications block","","",FALSE,"","",""
"private_message.module:88","Settings related to private messages","","",FALSE,"","",""
"config/schema/private_message.schema.yml:0","Size of textfield","Dimensione del campo di testo","",FALSE,"","",""
"src/Plugin/RulesAction/SendPrivateMessage.php:11","System","","",FALSE,"","",""
"src/Form/AdminUninstallForm.php:67","THIS ACTION CANNOT BE REVERSED","","",FALSE,"","",""
"src/Form/ConfigForm.php:187","Text To Create Private Message","","",FALSE,"","",""
"src/Form/ConfigForm.php:193","Text to submit a new message","","",FALSE,"","",""
