"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"scheduler.module:525","'%title is scheduled to be published @publish_time and unpublished @unpublish_time.'","","","False","","",""
"scheduler.module:532","'%title is scheduled to be published @publish_time.'","","","False","","",""
"scheduler.module:538","'%title is scheduled to be unpublished @unpublish_time.'","","","False","","",""
"scheduler_rules_integration/scheduler_rules_integration.rules_defaults.inc:28","'[node:title]' has been published on [site:name]","","","False","","",""
"scheduler_rules_integration/scheduler_rules_integration.rules_defaults.inc:43","'[node:title]' has been unpublished on [site:name]","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0;0;0;0;0;0",",","","","False","","",""
"src/SchedulerManager.php:252;427","'@label settings'","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SetUnpublishingDate.php:62","'@type settings'","","","False","","",""
"src/SchedulerManager.php:269;444","'@type: scheduled processing of %title completed by calls to @hook.'","","","False","","",""
"src/SchedulerManager.php:274","'@type: scheduled publishing of %title.'","","","False","","",""
"src/SchedulerManager.php:449","'@type: scheduled unpublishing of %title.'","","","False","","",""
"scheduler.module:27","About","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Action","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SetPublishingDate.php:63","Action ""%action_label"" is not valid because scheduled publishing is not enabled for %type content. Add the condition ""%condition"" to your Reaction Rule, or enable scheduled publishing via the %type settings.","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SetPublishingDate.php:66","Action ""%action_label"" is not valid because scheduled publishing is not enabled for %type content. Add the condition ""%condition"" to your Reaction Rule, or enable scheduled publishing via the <a href=""@url"">%type</a> settings.","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SetUnpublishingDate.php:63","Action ""%action_label"" is not valid because scheduled unpublishing is not enabled for %type content. Add the condition ""%condition"" to your Reaction Rule, or enable scheduled unpublishing via the %type settings.","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SetUnpublishingDate.php:66","Action ""%action_label"" is not valid because scheduled unpublishing is not enabled for %type content. Add the condition ""%condition"" to your Reaction Rule, or enable scheduled unpublishing via the <a href=""@url"">%type</a> settings.","","","False","","",""
"config/schema/scheduler.schema.yml:0","Action to be taken for publication dates in the past","","","False","","",""
"scheduler.permissions.yml:0","Administer scheduler","","","False","","",""
"scheduler.admin.inc:77","Advanced options","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","All","","","False","","",""
"src/Plugin/views/access/Scheduler.php:11","All Scheduler users can see their own scheduled content via their user page. In addition, if they have 'view scheduled content' permission they will be able to see all scheduled content by all authors.","","","False","","",""
"config/schema/scheduler.schema.yml:0","Allow date-only input with time taken from default time setting","","","False","","",""
"src/Form/SchedulerAdminForm.php:67","Allow users to enter only a date and provide a default time.","","","False","","",""
"scheduler.permissions.yml:0","Allows users to see all content which is scheduled.","","","False","","",""
"scheduler.permissions.yml:0","Allows users to set a start and end time for content publication","","","False","","",""
"scheduler.admin.inc:178","Always open the fieldset or vertical tab","","","False","","",""
"src/Plugin/Field/FieldWidget/TimestampDatetimeNoDefaultWidget.php:11","An optional datetime field. Does not fill in the current datetime if left blank. Defined by Scheduler module.","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Asc","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Author","","","False","","",""
"config/schema/scheduler.schema.yml:0","Change content creation date for past dates to avoid ""changed"" being earlier than ""created""","","","False","","",""
"scheduler.admin.inc:97","Change content creation time to match the published time for dates before the content was created","","","False","","",""
"config/schema/scheduler.schema.yml:0","Change content creation time to match the scheduled publish time","","","False","","",""
"config/schema/scheduler.schema.yml:0","Conditions under which to expand the date input fieldset or vertical tab","","","False","","",""
"scheduler.permissions.yml:0","Configure scheduler date formats, pop-up calendar, default times, lightweight cron","","","False","","",""
"scheduler.links.menu.yml:0","Configure settings for scheduled publishing and unpublishing.","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0;0","Content","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Content Overview","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Content Type","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Content scheduled for publishing and unpublishing","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Content type","","","False","","",""
"scheduler.module:347","Content type '@type' - Translatable settings for status field '@status' and Scheduler field '@scheduler_field' should match, either both on or both off","","","False","","",""
"config/schema/scheduler.schema.yml:0","Create a new revision on publishing","","","False","","",""
"config/schema/scheduler.schema.yml:0","Create a new revision on unpublishing","","","False","","",""
"src/Form/SchedulerAdminForm.php:62","Date only","","","False","","",""
"config/schema/scheduler.schema.yml:0","Date part of the full format","","","False","","",""
"src/Plugin/Field/FieldWidget/TimestampDatetimeNoDefaultWidget.php:11","Datetime Timestamp for Scheduler","","","False","","",""
"scheduler_rules_integration/scheduler_rules_integration.rules_defaults.inc:30","Dear [node:author:name],
Your [node:type] '[node:title]' has been published on [site:name].
The link is [node:url]
","","","False","","",""
"scheduler_rules_integration/scheduler_rules_integration.rules_defaults.inc:44","Dear [node:author:name],
Your [node:type] '[node:title]' has been unpublished on [site:name].
The link is [node:url]
","","","False","","",""
"config/schema/scheduler.schema.yml:0","Default Scheduling Time. This is used with the option to allow date only","","","False","","",""
