"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/SchedulerManager.php:1185","'%entity entity type updated with %publish_on and %unpublish_on fields.'","","","False","","",""
"src/SchedulerManager.php:1327","'%field field removed from %entityType entity type'","","","False","","",""
"scheduler.module:990","'%title is scheduled to be published @publish_time and unpublished @unpublish_time.'","","","False","","",""
"scheduler.module:997","'%title is scheduled to be published @publish_time.'","","","False","","",""
"scheduler.module:1003","'%title is scheduled to be unpublished @unpublish_time.'","","","False","","",""
"scheduler.install:253","'%updated.'","","","False","","",""
"src/SchedulerManager.php:1260","'%view view loaded from source.'","","","False","","",""
"src/SchedulerManager.php:1254","'%view view updated.'","","","False","","",""
"scheduler_rules_integration/scheduler_rules_integration.rules_defaults.inc:31","'[node:title]' has been published on [site:name]","","","False","","",""
"scheduler_rules_integration/scheduler_rules_integration.rules_defaults.inc:46","'[node:title]' has been unpublished on [site:name]","","","False","","",""
"config/optional/views.view.scheduler_scheduled_taxonomy_term.yml:0;0;0;0;0",", ","","","False","","",""
"config/optional/views.view.scheduler_scheduled_taxonomy_term.yml:0","'- All -'","","","False","","",""
"scheduler.install:234","1 reaction rule updated with entity context","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionBase.php:63","'@bundle_label is enabled for @activity'","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionDeriver.php:116;123","'@entity_type_label'","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionDeriver.php:130","'@entity_type_label for publishing'","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionDeriver.php:97;107","'@entity_type_label for scheduling'","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionDeriver.php:137","'@entity_type_label for unpublishing'","","","False","","",""
"scheduler_rules_integration/src/Plugin/Condition/ConditionDeriver.php:105","'@entity_type_label is scheduled for publishing'","","","False","","",""
"scheduler_rules_integration/src/Plugin/Condition/ConditionDeriver.php:112","'@entity_type_label is scheduled for unpublishing'","","","False","","",""
"scheduler_rules_integration/src/Plugin/Condition/ConditionDeriver.php:91","'@entity_type_label type is enabled for scheduled publishing'","","","False","","",""
"scheduler_rules_integration/src/Plugin/Condition/ConditionDeriver.php:98","'@entity_type_label type is enabled for scheduled unpublishing'","","","False","","",""
"src/SchedulerManager.php:385;603","'@label settings'","","","False","","",""
"scheduler.module:499","'@type edit page'","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionBase.php:80","'@type settings'","","","False","","",""
"src/SchedulerManager.php:409","'@type: scheduled ""publish"" processing of %title completed by @successful_hooks.'","","","False","","",""
"src/SchedulerManager.php:627","'@type: scheduled ""unpublish"" processing of %title completed by @successful_hooks.'","","","False","","",""
"src/SchedulerManager.php:414","'@type: scheduled publishing of %title.'","","","False","","",""
"src/SchedulerManager.php:632","'@type: scheduled unpublishing of %title.'","","","False","","",""
"scheduler.module:36","About","","","False","","",""
"config/install/views.view.scheduler_scheduled_content.yml:0","Access to the user view is controlled via SchedulerRouteSubscriber::alterRoutes(). The high-level permission ""access content"" is added to satisfy the security_review module","","","False","","",""
"config/optional/views.view.scheduler_scheduled_media.yml:0","Access to the user view is controlled via SchedulerRouteSubscriber::alterRoutes(). The high-level permission ""view media"" is added to satisfy the security_review module","","","False","","",""
"config/optional/views.view.scheduler_scheduled_taxonomy_term.yml:0","Action","","","False","","",""
"scheduler_rules_integration/src/Plugin/RulesAction/SchedulerRulesActionBase.php:81","Action %action is not valid because @activity is not enabled for %type @group. Add the condition %condition to your Reaction Rule, or enable @activity via the %type settings.","","","False","","",""
