"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Element/Select2.php:208","'- None -'","","",FALSE,"","",""
"src/Element/Select2.php:208","'- Select -'","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2Widget.php:83","'@name field is required.'","","",FALSE,"","",""
"modules/select2_facets/src/Plugin/facets/widget/Select2Widget.php:15","A configurable widget that shows a select2.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:75","Autocomplete","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:81","Autocomplete matching","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:144","Autocomplete matching: @match_operator","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:146","Autocomplete suggestion list size: @size","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:142","Autocomplete: @autocomplete","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:309","Contains","","",FALSE,"","",""
"modules/select2_facets/src/Plugin/facets/widget/Select2Widget.php:138","Define a width for the select2 field. It can be either 'element', 'computedstyle', 'style', 'resolve' or any possible CSS unit. E.g. 500px, 50%, 200em. See the <a href='https://select2.org/appearance#container-width'>select2 documentation</a> for further explanations.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2Widget.php:42","Define a width for the select2 field. It can be either 'element', 'computedstyle', 'style', 'resolve' or any possible CSS value. E.g. 500px, 50%, 200em. See the <a href='https://select2.org/appearance#container-width'>select2 documentation</a> for further explanations.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:175","Drag to re-order @entity_types.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2Widget.php:40","Field width","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2Widget.php:55","Field width: @width","","",FALSE,"","",""
"modules/select2_publish/select2_publish.info.yml:0","Indicates the status of referenced entities.","","",FALSE,"","",""
"select2.install:40","Make sure that the select2 lib is placed in the library folder. You can download the release of your choice from <a href="":link"" target=""_blank"">GitHub</a>.","","",FALSE,"","",""
"select2.info.yml:0","Makes entity reference fields more user-friendly using <a href=""https://github.com/select2/select2"">Select2</a>.","","",FALSE,"","",""
"config/schema/select2.schema.yml:0","Maximum number of autocomplete suggestions.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:93","Number of results","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:142","Off","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:142","On","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:77","Options will be lazy loaded. This is recommended for lists with a lot of values.","","",FALSE,"","",""
"modules/select2_facets/select2_facets.info.yml:0","Provides a Select2 Facet widget.","","",FALSE,"","",""
"modules/select2_facets/select2_facets.info.yml:0","Search","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:84","Select the method used to collect autocomplete suggestions. Note that <em>Contains</em> can cause performance issues on sites with thousands of entities.","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2Widget.php:9","Select2","","",FALSE,"","",""
"modules/select2_facets/select2_facets.info.yml:0","Select2 Facets","","",FALSE,"","",""
"modules/select2_publish/select2_publish.info.yml:0","Select2 Publish","","",FALSE,"","",""
"config/schema/select2.schema.yml:0","Select2 entity reference widget","","",FALSE,"","",""
"select2.install:39","Select2 library doesn't exists","","",FALSE,"","",""
"select2.install:18","Select2 library found","","",FALSE,"","",""
"config/schema/select2.schema.yml:0","Select2 simple widget","","",FALSE,"","",""
"modules/select2_facets/config/schema/select2_facets.schema.yml:0","Select2 widget configuration","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:308","Starts with","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:96","The number of suggestions that will be listed. Use <em>0</em> to remove the limit.","","",FALSE,"","",""
"modules/select2_publish/select2_publish.info.yml:0","User interface","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/Select2EntityReferenceWidget.php:145","unlimited","","",FALSE,"","",""
