"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/views.view.birthday.yml:0","'- All -'","'- Tutto -'","","False","","",""
"config/install/views.view.birthday.yml:0","All","Tutto","","False","","",""
"social_birthday.info.yml:0","Allows for the module to select a birthday field on the profile and use the widgets","","","False","","",""
"config/install/views.view.birthday.yml:0;0","Apply","Applica","","False","","",""
"config/install/views.view.birthday.yml:0;0","Asc","Asc","","False","","",""
"src/Plugin/UserExportPlugin/UserBirthday.php:24;9","Birthday","","","False","","",""
"src/Plugin/Block/BirthdayFilterBlock.php:13","Birthday Filter","","","False","","",""
"config/install/core.entity_view_mode.profile.birthday_normal.yml:0","Birthday normal","","","False","","",""
"config/install/core.entity_view_mode.profile.birthday_small.yml:0","Birthday small","","","False","","",""
"config/install/views.view.birthday.yml:0;0","Desc","","","False","","",""
"config/install/views.view.birthday.yml:0","Displays birthdays from today into the future ","","","False","","",""
"templates/block--birthday-filter.html.twig:56","Filter","Filtro","","False","","",""
"config/install/views.view.birthday.yml:0","Items per page","Elementi per pagina","","False","","",""
"config/install/views.view.birthday.yml:0","Last »","Ultimo »","","False","","",""
"config/install/views.view.birthday.yml:0","Master","Originale","","False","","",""
"src/Form/BirthdayFilter.php:34","Month","Mese","","False","","",""
"config/install/views.view.birthday.yml:0","Next ›","Prossimo ›","","False","","",""
"config/install/views.view.birthday.yml:0","Offset","Posizionamento","","False","","",""
"social_birthday.module:119","Post a birthday wish","","","False","","",""
"config/install/views.view.birthday.yml:0;0","Reset","","","False","","",""
"config/install/views.view.birthday.yml:0;0","See more","","","False","","",""
"social_birthday.info.yml:0","Social","Social","","False","","",""
"social_birthday.info.yml:0","Social Birthday","","","False","","",""
"config/install/views.view.birthday.yml:0;0","Sort by","","","False","","",""
"social_birthday.module:133","Today","Oggi","","False","","",""
"src/SocialBirthdayOverride.php:60","Upcoming Birthdays","","","False","","",""
"config/install/views.view.birthday.yml:0;0;0","Upcoming birthdays","","","False","","",""
"config/install/views.view.birthday.yml:0","Upcoming birthdays in the current year","","","False","","",""
"config/install/views.view.birthday.yml:0","User","","","False","","",""
"config/install/views.view.birthday.yml:0","block_upcoming_birthdays","","","False","","",""
"config/install/views.view.birthday.yml:0","contextual_month","","","False","","",""
"config/install/views.view.birthday.yml:0","filter_birthday_next_greater_than_today","","","False","","",""
"config/install/views.view.birthday.yml:0","filter_birthday_next_no_empty","","","False","","",""
"config/install/views.view.birthday.yml:0","filter_profiletype","","","False","","",""
"social_birthday.module:198","in the community","","","False","","",""
"config/install/views.view.birthday.yml:0","msg_noresult","","","False","","",""
"config/install/views.view.birthday.yml:0","page_currentyear","","","False","","",""
"config/install/views.view.birthday.yml:0","sort_birthday_next","","","False","","",""
"config/install/views.view.birthday.yml:0","« First","« Primo","","False","","",""
"config/install/views.view.birthday.yml:0","‹ Previous","‹ Precedente","","False","","",""
