"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:126","Accept","Accetta","","False","","",""
"social_collaboration.module:111","Add another editor","","","False","","",""
"social_collaboration.permissions.yml:0","Administer Collaboration Settings","Amministra le impostazioni di collaborazione","","False","","",""
"social_collaboration.links.menu.yml:0","Administer collaborative editing settings.","Amministrare le impostazioni di modifica collaborativa.","","False","","",""
"social_collaboration.info.yml:0","Allows content creators to permit other users to collaboratively edit the content.","Consente ai creatori di contenuti di consentire ad altri utenti di modificare il contenuto in modo collaborativo.","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Allows to request a co-authorship for the content.","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Approve co-authorship","Approva la co-creazione","","False","","",""
"config/schema/social_collaboration.schema.yml:0","Bundle ID","Bundle ID","","False","","",""
"config/optional/block.block.socialblue_coauthors_block.yml:0","Co-authors","Co-autori/trici","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:253","Co-authorship request was accepted. Your response has been sent to the requester as a private message.","Una richiesta di co-creazione è stata accettata. La tua risposta è stata inviata al richiedente come messaggio privato.","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:280","Co-authorship request was declined. Your response has been sent to the requester as a private message.","La richiesta di co-creazione è stata rifiutata. La tua risposta è stata inviata al richiedente come messaggio privato.","","False","","",""
"social_collaboration.routing.yml:0","Collaboration settings","Impostazioni di collaborazione","","False","","",""
"social_collaboration.permissions.yml:0","Configure which content types can have collaborative editing","Configura i tipi di contenuto che possono avere la modifica collaborativa","","False","","",""
"src/Form/SocialCollaborationSettingsForm.php:78","Content types","Tipi di contenuto","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:132","Decline","Rifiuta","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Decline co-authorship","Rifiuta co-creazione","","False","","",""
"src/Plugin/Block/SocialCollaborationBlock.php:16","Editors","Editori","","False","","",""
"src/Plugin/EntityReferenceSelection/SocialCollaborationGroupSelection.php:9","Group selection","","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:134","Hello :content_owner, <br><br> I would like to contribute to the content @node_link. Please let me know if it's OK. <br><br> @accept_link | @decline_link","Ciao :content_owner, <br><br> vorrei contribuire alla creazione di questo contenuto @node_link. Per favore, fammi sapere se va bene. <br><br> @accept_link | @decline_link","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:152","Hello :requester, <br><br> Thank you for your interest. Unfortunately, your request is declined. <br><br> Please feel free to participate by voting for this content or leave your comments.","Ciao :requester, <br><br> Grazie per il tuo interesse. Sfortunatamente la tua richiesta è stata rifiutata.<br><br> Per favore sentiti liber@ di partecipare votando o lasciando commenti su questo contenuto.","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:144","Hello :requester, <br><br> Thank you for your interest. You have been added as a coauthor of the content @node_link. <br><br> Look forward to collaborating with you.","Ciao :requester, <br><br> Grazie per il tuo interesse. Sei stato aggiunto come co-creatore del contenuto @node_link. <br><br> Non vedo l'ora di collaborare con te.","","False","","",""
"modules/social_collaboration_request/src/Plugin/Block/CollaborationRequestCoauthorship.php:158","I want to contribute","Vorrei contribuire","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Request co-authorship","Richiedi la co-creazione","","False","","",""
"modules/social_collaboration_request/config/optional/block.block.socialblue_collaboration_request_coauthorship.yml:0","Request co-authorship of content","Richiedi la co-creazione del contenuto","","False","","",""
"modules/social_collaboration_request/src/Plugin/Block/CollaborationRequestCoauthorship.php:160","Request sent","Richiesta inviata","","False","","",""
"src/Form/SocialCollaborationSettingsForm.php:79","Select which content types can have collaborative editing.","Seleziona i tipi di contenuto che possono avere la modifica collaborativa.","","False","","",""
"social_collaboration.links.menu.yml:0","Settings for collaboration and multiple editors","","","False","","",""
"src/Form/SocialCollaborationSettingsForm.php:93","Show co-authors block","Visualizza il blocco di co-creazione","","False","","",""
"config/schema/social_collaboration.schema.yml:0","Show co-authors block.","Visualizza il blocco di co-creazione.","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Social","Social","","False","","",""
"social_collaboration.info.yml:0","Social Collaboration","Collaborazione Social","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Social Collaboration Request","Richiesta di collaborazione Social","","False","","",""
"config/schema/social_collaboration.schema.yml:0","Social Collaboration Settings","Impostazioni collaborazione social","","False","","",""
"config/schema/social_collaboration.schema.yml:0","The node entity bundles for which to enable collaborative editing.","I gruppi di entità nodo per cui abilitare la modifica collaborativa.","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.module:18","User can request co-authorship","Un utente può richiedere la co-creazione","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:79","You cannot request co-authorship for another user","Non puoi richiedere la co-creazione per un altro utente","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:93","Your request has been sent to the content author as a private message.","La tua richiesta è stata inviata all'autore del contenuto come messaggio privato.","","False","","",""
