"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_content_export.info.yml:0","Adds ability to export content to a CSV.","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAuthor.php:8","Author","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentBody.php:8","Comment","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentLink.php:8","Comment link","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAnalyticsComments.php:8","Comments","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentId.php:8","Content ID","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentId.php:9","Content Id","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentTitle.php:9","Content Title","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentType.php:10","Content Type","","","False","","",""
"src/Plugin/Action/ExportContent.php:189","Could not save the export file on: %name.","","","False","","",""
"src/Plugin/Action/ExportContent.php:188","Could not save the export file.","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentCreateDate.php:12","Created","","","False","","",""
"src/Plugin/Action/ExportContent.php:181","Download file","","","False","","",""
"src/Plugin/Action/ExportContent.php:183","Export is complete. @link","","","False","","",""
"src/Plugin/Action/ExportComment.php:23","Export the selected comments to CSV","","","False","","",""
"src/Plugin/Action/ExportContent.php:25","Export the selected content to CSV","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentFiles.php:12","Files","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentGroup.php:12","Group","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentId.php:8","ID","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAnalyticsLikes.php:8","Likes","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentNumberOfFiles.php:8","Number of Files","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentStatus.php:8","Publication status","","","False","","",""
"social_content_export.info.yml:0","Social","","","False","","",""
"social_content_export.info.yml:0","Social Content Export","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentTitle.php:8","Title","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentType.php:8","Type of content","","","False","","",""
