"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/QuizForm.php:207","'%grade Point(s)'","'%grade Punto(i)'","","False","","",""
"social_course_quiz.module:103","'- Any -'","'- Qualsiasi -'","","False","","",""
"src/Plugin/Field/FieldFormatter/DurationFieldFormatter.php:29","1 minute per attempt","1 minuto per tentativo","","False","","",""
"modules/social_course_quiz_import/src/SocialCourseQuizImportBatch.php:271","1 question successfully imported:","1 domanda importata con successo:","","False","","",""
"src/Form/QuestionForm.php:110","'@type answers'","'@type risposte'","","False","","",""
"src/Controller/QuizStatisticsController.php:343","Action","Azione","","False","","",""
"src/Form/AttemptsForm.php:142","Add","Aggiungi","","False","","",""
"src/Service/SocialCourseQuizHelper.php:294","Add extra attempts","Aggiungi tentativi extra","","False","","",""
"social_course_quiz.routing.yml:0","Add question","Aggiungi una domanda","","False","","",""
"social_course_quiz.permissions.yml:0","Administer questions","Amministrazione domande","","False","","",""
"modules/social_course_quiz_import/src/Form/SocialCourseQuizImportForm.php:30","Allowed types: @extensions.","Consenti tipologie:@extensions.","","False","","",""
"src/Plugin/views/filter/QuizFilter.php:56","Allowed values","Abilita valori","","False","","",""
"modules/social_course_quiz_import/src/SocialCourseQuizImportBatch.php:266","An error occurred and processing did not complete.","E' avvenuto un errore e il processo non è stato completato.","","False","","",""
"src/Entity/Answer.php:10","Answer","Risposta","","False","","",""
"src/Entity/Answer.php:81","Answer text","Testo della risposta","","False","","",""
"src/Entity/Question.php:180","Answers","Risposte","","False","","",""
"src/Entity/Attempt.php:14","Attempt","Tentativo","","False","","",""
"social_course_quiz.module:298","Attempt @attempt/@attempts","Tentativo @attempt/@attempts","","False","","",""
"src/Plugin/Field/FieldFormatter/AttemptsFieldFormatter.php:13","Attempts","Tentativi","","False","","",""
"src/Controller/QuizStatisticsController.php:346","Attempts are absent.","Tentativi assenti.","","False","","",""
"src/QuestionListBuilder.php:82","Author","Autore/Autrice","","False","","",""
"src/EntityOwnerTrait.php:50","Authored by","Creato da","","False","","",""
"src/Form/QuestionPreviewForm.php:90","Back to question editing","Torna all'editing della domanda","","False","","",""
"social_course_quiz.links.action.yml:0","Back to questions overview","Torna all'anteprima delle domande","","False","","",""
"src/Form/AttemptsForm.php:128","Cancel","Annulla","","False","","",""
"src/Entity/QuizEntityBase.php:39","Changed","Modificato","","False","","",""
"src/Entity/Choise.php:10","Choise","Scegli","","False","","",""
"src/Entity/Choise.php:10","Choises","Scelte","","False","","",""
"social_course_quiz.module:544","Complete on %date at %time","Completato il %date alle %time","","False","","",""
"src/Form/QuizForm.php:372","Complete quiz","Quiz completato","","False","","",""
"social_course_quiz.module:927","Complete quiz to proceed","Completa il quiz per procedere","","False","","",""
"src/Controller/QuizStatisticsController.php:244","Completion date","Data di completamento","","False","","",""
"social_course_quiz.module:769","Congratulations, you have passed!","Congratulazioni, hai superato il test!","","False","","",""
"src/Entity/QuizEntityBase.php:53","Correct","Corretto","","False","","",""
