"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Entity/ScormSco.php:199","A boolean indicating whether the Scorm SCO is published.","","","False","","",""
"templates/node--course-scorm--full.html.twig:47","Access course content","Accedi ai contenuti del corso","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:338","Action","","","False","","",""
"social_course_scorm.links.action.yml:0","Add Scorm SCO","Aggiungi Scorm SCO","","False","","",""
"social_course_scorm.permissions.yml:0","Administer Scorm SCO entities","Amministra elementi Scorm SCO","","False","","",""
"social_course_scorm.permissions.yml:0","Allow to access the administration form to configure Scorm SCO entities.","","","False","","",""
"src/CourseScorm.php:118","An error occured when saving an SCO.","","","False","","",""
"src/CourseScorm.php:125","An error occured when saving the SCORM package data.","","","False","","",""
"src/CourseScorm.php:164","An error occured when unziping the SCORM package data. Error: !error","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:291","Attempts","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:300;341","Attempts are absent.","","","False","","",""
"src/Entity/ScormSco.php:152","Authored by","Creato da","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:305","CMI data","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:314","CMI data are absent.","","","False","","",""
"src/Entity/ScormSco.php:211","Changed","Modificato","","False","","",""
"social_course_scorm.module:345","Complete external content to proceed","","","False","","",""
"social_course_scorm.links.menu.yml:0","Configure Scorm SCO entities","","","False","","",""
"src/Plugin/Field/FieldFormatter/CourseScormFieldFormatter.php:13","Course Scorm player","","","False","","",""
"social_course_scorm.routing.yml:0","Course content","","","False","","",""
"social_course_scorm.permissions.yml:0","Create new Scorm SCO entities","","","False","","",""
"src/Entity/ScormSco.php:207","Created","Creato","","False","","",""
"src/Form/ScormScoForm.php:35","Created the %label Scorm SCO.","","","False","","",""
"social_course_scorm.links.task.yml:0","Delete","Elimina","","False","","",""
"social_course_scorm.permissions.yml:0","Delete Scorm SCO entities","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:173","Deleted user","","","False","","",""
"social_course_scorm.links.task.yml:0","Edit","Modifica","","False","","",""
"social_course_scorm.permissions.yml:0","Edit Scorm SCO entities","","","False","","",""
"src/Plugin/Field/FieldWidget/CourseScormWidget.php:7","File SCORM","","","False","","",""
"modules/social_course_scorm_statistics/src/Service/CourseScormStatistics.php:117","In progress","","","False","","",""
"social_course_scorm.routing.yml:0","Integrate sco","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:310","Key","","","False","","",""
"social_course_scorm.links.menu.yml:0","List Scorm SCO entities","","","False","","",""
"src/Entity/ScormSco.php:177","Name","Nome","","False","","",""
"modules/social_course_scorm_statistics/src/Service/CourseScormStatistics.php:113","Not started","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:337","Number of attempts","","","False","","",""
"src/Plugin/Field/FieldFormatter/CourseScormFieldFormatter.php:83","Only one SCO can be launched at a time.","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:335","Participant","","","False","","",""
"modules/social_course_scorm_statistics/src/Service/CourseScormStatistics.php:122","Passed","","","False","","",""
"modules/social_course_scorm_statistics/social_course_scorm_statistics.info.yml:0","Provides Social Course SCORM statistics.","","","False","","",""
"social_course_scorm.info.yml:0","Provides possibility to add SCORM course.","","","False","","",""
"src/Entity/ScormSco.php:198","Publishing status","","","False","","",""
"src/Plugin/Field/FieldType/CourseScormPackage.php:8","Reference","Referenze","","False","","",""
"src/Form/ScormScoForm.php:41","Saved the %label Scorm SCO.","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:296","Score","","","False","","",""
"src/Entity/ScormSco.php:12","Scorm SCO","","","False","","",""
"src/ScormScoListBuilder.php:20","Scorm SCO ID","","","False","","",""
"social_course_scorm.links.menu.yml:0","Scorm SCO list","","","False","","",""
"social_course_scorm.links.menu.yml:0","Scorm SCO settings","","","False","","",""
"social_course_scorm.routing.yml:0","Scorm commit","","","False","","",""
"config/install/core.entity_view_mode.node.scorm_course.yml:0","Scorm course","","","False","","",""
"src/Plugin/Field/FieldType/CourseScormPackage.php:8","Scorm package","","","False","","",""
"social_course_scorm.routing.yml:0","Scorm score save","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:192","See more details","","","False","","",""
"social_course_scorm.links.task.yml:0","Settings","","","False","","",""
"templates/html--course-scorm--load.html.twig:51","Skip to main content","","","False","","",""
"modules/social_course_scorm_statistics/social_course_scorm_statistics.info.yml:0","Social","Social","","False","","",""
"social_course_scorm.info.yml:0","Social Course SCORM","","","False","","",""
"modules/social_course_scorm_statistics/social_course_scorm_statistics.info.yml:0","Social Course SCORM Statistics","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:336","Status","Status","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:297","Success status","","","False","","",""
"src/Entity/ScormSco.php:178","The name of the Scorm SCO entity.","","","False","","",""
"src/Entity/ScormSco.php:208","The time that the entity was created.","L'ora in cui l'elemento è stato creato.","","False","","",""
"src/Entity/ScormSco.php:212","The time that the entity was last edited.","L'ora in cui l'elemento è stato modificato.","","False","","",""
"src/Entity/ScormSco.php:153","The user ID of author of the Scorm SCO entity.","","","False","","",""
"src/Plugin/Field/FieldType/CourseScormPackage.php:8","This field stores the ID of a Scorm package file.","","","False","","",""
"modules/social_course_scorm_statistics/src/Controller/ScormStatisticsController.php:311","Value","","","False","","",""
"social_course_scorm.links.task.yml:0","View","","","False","","",""
"social_course_scorm.permissions.yml:0","View published Scorm SCO entities","","","False","","",""
"social_course_scorm.permissions.yml:0","View unpublished Scorm SCO entities","","","False","","",""
"js/scorm_player.js:0","We successfully stored your results. You can now proceed further.","","","False","","",""
"js/scorm_player.js:0","We successfully stored your score results.","","","False","","",""
"templates/node--course-scorm--full.html.twig:27","unpublished","non pubblicato","","False","","",""
