"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_course_statistics/src/CourseStatistics.php:125","'@finished_sections/@course_sections Sections finished'","","","False","","",""
"modules/social_course_statistics/social_course_statistics.module:215","'@parts_finished/@parts_count parts finished'","","","False","","",""
"social_course.module:1230","About","Informazioni","","False","","",""
"templates/group--course-basic--statistic--sky.html.twig:16","Accept","Accetta","","False","","",""
"social_course.permissions.yml:0","Access to view courses pages","Accesso per visualizzare le pagine dei corsi","","False","","",""
"social_course.routing.yml:0","Add course","Aggiungi un corso","","False","","",""
"modules/social_course_advanced/modules/social_course_advanced_invite/social_course_advanced_invite.info.yml:0","Adds ""Group Invitation"" feature to advanced course","","","False","","",""
"modules/social_course_basic/modules/social_course_basic_invite/social_course_basic_invite.info.yml:0","Adds ""Group Invitation"" feature to basic course","","","False","","",""
"social_course.install:152","All courses","Tutti i corsi","","False","","",""
"modules/social_course_basic/social_course_basic.module:23","Altering the visibility options could result in changes in access for content within this group and the group itself.","","","False","","",""
"config/install/paragraphs.paragraphs_type.attachment.yml:0","Attachment","Allegato","","False","","",""
"social_course.module:519","Author","Autore/Autrice","","False","","",""
"templates/group--course-basic--hero.html.twig:61","Cancel enrollment","Cancella l'iscrizione","","False","","",""
"templates/group--course-basic--statistic--sky.html.twig:31","Cancel request","Elimina la richiesta","","False","","",""
"src/Entity/CourseEnrollment.php:113","Changed","Modificato","","False","","",""
"config/install/image.style.content_image.yml:0","Content Image","Contenuto Immagine","","False","","",""
"social_course.module:349","Continue","Continua","","False","","",""
"config/install/core.entity_form_mode.node.course.yml:0","Course","Corso","","False","","",""
"src/Entity/CourseEnrollment.php:12","Course Enrollment","Iscrizione al corso","","False","","",""
"social_course.module:1190;1244","Course Events","Eventi del corso","","False","","",""
"social_course.module:1293","Course Leaders","Responsabili del corso","","False","","",""
"social_course.module:1186;1240","Course Topics","Argomenti del corso","","False","","",""
"config/optional/block.block.socialblue_course_add_section.yml:0","Course add section block","Aggiungi il blocco Sessioni del corso","","False","","",""
"modules/social_course_statistics/social_course_statistics.views.inc:14;15;30;31","Course enrollment","","","False","","",""
"templates/block--course-navigation.html.twig:29","Course information","Informazioni sul corso","","False","","",""
"src/Plugin/Block/CourseMaterialHeroBlock.php:13","Course material hero block","Blocco Hero dei materiali del corso","","False","","",""
"src/Plugin/Block/CourseMaterialNavigationBlock.php:14","Course material navigation block","Blocco di navigazione dei materiali del corso","","False","","",""
"config/optional/block.block.socialblue_course_material_pager.yml:0","Course material pager block","Blocco materiale del corso","","False","","",""
"social_course.module:1182","Course members","Partecipanti al corso","","False","","",""
"config/optional/block.block.socialblue_course_navigation.yml:0","Course navigation block","Blocco di navigazione del corso","","False","","",""
"social_course.module:724","Course roles","Ruoli del corso","","False","","",""
"src/Plugin/Block/CourseSectionNavigationBlock.php:21","Course section navigation block","Blocco di navigazione delle sessioni del corso","","False","","",""
"src/EventSubscriber/SocialCourseSubscriber.php:126","Course sections and other information can only be accessed after enrolling for this course.","Le sezioni del corso e altre informazioni potranno essere visibili solo dopo essersi iscritti a questo corso.","","False","","",""
"src/EventSubscriber/SocialCourseSubscriber.php:123","Course sections can only be accessed after the course starts. You can only enrol in this course before the course has started.","Le sezioni di corso saranno visibili solo dopo iniziato il corso. Puoi iscriverti a questo corso prima che il corso inizi.","","False","","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:32","Course statistics","","","False","","",""
"modules/social_course_statistics/config/optional/block.block.course_statistics_hero_block.yml:0","Course statistics hero block","","","False","","",""
"social_course.links.task.yml:0","Courses","Corsi","","False","","",""
"social_course.module:393","Create New Course","Crea un Nuovo Corso","","False","","",""
"src/Plugin/Block/CourseAddSectionBlock.php:62","Create Section","Crea una Sezione","","False","","",""
"src/Entity/CourseEnrollment.php:109","Created","Creato","","False","","",""
"templates/course-navigation.html.twig:45","Current page","Pagina attuale","","False","","",""
"templates/group--course-basic--statistic--sky.html.twig:19","Decline","Rifiuta","","False","","",""
"social_course.module:1979","Destination URL","","","False","","",""
