"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_dashboard.module:113","Create New Dashboard","Crea una nuova Dashboard","","False","","",""
"config/optional/node.type.dashboard.yml:0","Dashboard","Dashboard","","False","","",""
"config/optional/field.field.node.dashboard.layout_builder__layout.yml:0","Layout","Layout","","False","","",""
"social_dashboard.module:115","New Dashboard","Nuova Dashboard","","False","","",""
"social_dashboard.info.yml:0","Provides the ability to create dashboards using the layout builder.","Fornisce la possibilità di creare dashboard utilizzando il generatore di layout.","","False","","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:13","Restrict blocks for the Dashboard","Limita i blocchi per il dashboard","","False","","",""
"social_dashboard.info.yml:0","Social","Social","","False","","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:13","Social Block Restriction","","","False","","",""
"social_dashboard.info.yml:0","Social Dashboard","Social Dashboard","","False","","",""
"social_dashboard.permissions.yml:0","View dashboard content","Visualizza il contenuto della dashboard","","False","","",""
"social_dashboard.permissions.yml:0","View the dashboard content type.","Visualizza il tipo di contenuto del dashboard.","","False","","",""
"config/optional/field.field.node.dashboard.field_content_visibility.yml:0","Visibility","Visibilità","","False","","",""
