"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/core.entity_view_display.node.discussion.small_teaser.yml:0","'-'","'-'","","False","Date range separator","",""
"modules/social_discussion_tagging/social_discussion_tagging.module:37;55","'- Any -'","'- Qualsiasi -'","","False","","",""
"templates/node--discussion--small-teaser.html.twig:22","1 comment","1 commento","","False","","",""
"modules/social_discussion_room/src/Controller/RoomController.php:263","< Back","< Indietro","","False","","",""
"modules/social_discussion_room/src/Controller/RoomController.php:315","'@time ago by @author'","'@time fa da @author'","","False","","",""
"modules/social_discussion_content_block/social_discussion_content_block.info.yml:0","A custom block to generate a list of discussions according to specific filters.","","","False","","",""
"modules/social_discussion_highlight/src/Plugin/views/pager/HighlightInfiniteScroll.php:7","A views plugin which provides infinte scroll.","","","False","","",""
"modules/social_discussion_kpi/social_discussion_kpi.module:17","About","Informazioni","","False","","",""
"social_discussion.permissions.yml:0","Access to configuration of the Social Discussion module","Accesso alla configurazione del modulo Discussione Social","","False","","",""
"src/Plugin/ActivityAction/CreateUnpublishedComment.php:8","Action that is triggered when an unpublished comment is created","","","False","","",""
"templates/node--discussion--full.html.twig:36","Add new comment","Aggiungi un commento","","False","","",""
"social_discussion.permissions.yml:0","Administer discussions","Amministra discussioni","","False","","",""
"src/Plugin/GraphQL/DataProducer/QueryDiscussion.php:10","After","","","False","","",""
"modules/social_discussion_anonymous/src/Plugin/ActivityEntityCondition/CommentAnonymouslyAllActivityEntityCondition.php:8","All comments (anonymously)","Tutti i commenti (in modo anonimo)","","False","","",""
"src/SocialDiscussionInstallHelper.php:129","All discussions","Tutte le discussioni","","False","","",""
"modules/social_discussion_anonymous/social_discussion_anonymous.module:70","Allow post comment anonymously","Consenti il commento al post in modo anonimo","","False","","",""
"modules/social_discussion_anonymous/social_discussion_anonymous.permissions.yml:0","Allow to view anonymous member url in discussion comments","Consenti di visualizzare l'URL del membro anonimo nei commenti della discussione","","False","","",""
"modules/social_discussion_group/social_discussion_group.module:364","Allow users to create discussion in a group","Abilita gli utenti a creare discussioni in un gruppo","","False","","",""
"modules/social_discussion_tagging/social_discussion_tagging.info.yml:0","Allows adding tags to Discussions.","","","False","","",""
