"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/SocialEngagementPlugin/AmountOfCreatedCommentsByLU.php:5","Amount of created comments by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfCreatedContentByLU.php:5","Amount of created content by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfCreatedPostsByLU.php:5","Amount of created posts by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfLikesByLU.php:5","Amount of likes by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfLogins.php:7","Amount of logins","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfMentions.php:5","Amount of mentions","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfNewUsers.php:5","Amount of new users","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfPrivateMessages.php:5","Amount of private messages","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfUniqueCommentAuthors.php:5","Amount of unique comment authors","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfUniqueContentAuthors.php:5","Amount of unique content authors","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfUniqueLikers.php:5","Amount of unique likers","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfUniqueLogins.php:5","Amount of unique logins","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/AmountOfUniquePostAuthors.php:5","Amount of unique post authors","","",FALSE,"","",""
"social_engagement.drush.inc:13","Calculate values and points for a given timeperiod and stores them in the database.","","",FALSE,"","",""
"social_engagement.drush.inc:21","Calculates the values and points for June 2019","","",FALSE,"","",""
"social_engagement.drush.inc:16","End date","","",FALSE,"","",""
"social_engagement.info.yml:0","Engagement health index based on different metrics.","","",FALSE,"","",""
"social_engagement.routing.yml:0","Engagement settings","","",FALSE,"","",""
"social_engagement.drush.inc:25","Recalculate points and stores them in the database.","","",FALSE,"","",""
"social_engagement.drush.inc:28","Recalculates all the points and stores them in database.","","",FALSE,"","",""
"src/Form/SocialEngagementSettingsForm.php:50","Roles to ignore","","",FALSE,"","",""
"src/Form/SocialEngagementSettingsForm.php:51","Select the user roles to ignore when getting Engagement values.","","",FALSE,"","",""
"social_engagement.info.yml:0","Social","","",FALSE,"","",""
"social_engagement.info.yml:0","Social Engagement Health Index","","",FALSE,"","",""
"social_engagement.drush.inc:15","Start date","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/TotalAmountOfCreatedCommentsByLU.php:7","Total amount of created comments by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/TotalAmountOfCreatedContentByLU.php:7","Total amount of created content by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/TotalAmountOfLikesByLU.php:7","Total amount of created likes by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/TotalAmountOfCreatedPostsByLU.php:7","Total amount of created posts by LU","","",FALSE,"","",""
"src/Plugin/SocialEngagementPlugin/TotalAmountOfUsers.php:7","Total amount of users","","",FALSE,"","",""
