"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_gender.post_update.php:84","1 profile field value have been moved.","","",FALSE,"","",""
"social_gender.post_update.php:71","1 profile have been processed.","","",FALSE,"","",""
"social_gender.module:20","About","","",FALSE,"","",""
"social_gender.permissions.yml:0","Administer Gender Settings","","",FALSE,"","",""
"social_gender.permissions.yml:0","Allow access to the gender settings form to configure general gender options.","","",FALSE,"","",""
"social_gender.info.yml:0","Contains field configuration for profile entity for gender listing.","Contiene la configurazione del campo per l'entità profilo per l'elenco di genere.","",FALSE,"","",""
"src/Plugin/UserExportPlugin/UserGender.php:23;8","Gender","Genere","",FALSE,"","",""
"social_gender.routing.yml:0","Gender settings","","",FALSE,"","",""
"src/Form/SocialGenderSettingsForm.php:35","Genders","","",FALSE,"","",""
"social_gender.links.menu.yml:0","Manage the list of available genders.","","",FALSE,"","",""
"social_gender.post_update.php:24","No data for moving.","","",FALSE,"","",""
"social_gender.info.yml:0","Social","Social","",FALSE,"","",""
"social_gender.info.yml:0","Social Gender","Social Gender","",FALSE,"","",""
"config/schema/social_gender.schema.yml:0","Social Gender settings","","",FALSE,"","",""
