"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_grouptab_management.module:102","'- Default -'","'- Default -'","","False","","",""
"social_grouptab_management.module:145","Group members landing tab","","","False","","",""
"social_grouptab_management.module:57","Landing tab for members","","","False","","",""
"social_grouptab_management.info.yml:0","Social","Social","","False","","",""
"social_grouptab_management.info.yml:0","Social Group Tab Management","","","False","","",""
"social_grouptab_management.module:91","Tab Management","","","False","","",""
"social_grouptab_management.module:52","Tabs","","","False","","",""
"social_grouptab_management.module:53","The hidden tabs.","","","False","","",""
"social_grouptab_management.module:58","The route (tab) a member lands on when going to a group.","","","False","","",""
"social_grouptab_management.info.yml:0","This module allows site managers to manage which navigation tabs are available in a group.","","","False","","",""
