"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_kpi_lite.module:17","About","Informazioni","","False","","",""
"social_kpi_lite.permissions.yml:0","Access KPI Analytics Reports","","","False","","",""
"social_kpi_lite.links.menu.yml:0","Analytics overview.","","","False","","",""
"modules/social_kpi_lite_user_login/social_kpi_lite_user_login.info.yml:0","Custom","Personalizzato","","False","","",""
"social_kpi_lite.info.yml:0","Implements KPI Analytics for Open Social distribution.","","","False","","",""
"social_kpi_lite.links.menu.yml:0;0","KPI Analytics","KPI Analytics","","False","","",""
"modules/social_kpi_lite_tagged_content/social_kpi_lite_tagged_content.info.yml:0","Social","Social","","False","","",""
"social_kpi_lite.info.yml:0","Social KPI (Lite)","","","False","","",""
"social_kpi_lite.routing.yml:0","Social KPI Analytics","","","False","","",""
"modules/social_kpi_lite_tag_followers/social_kpi_lite_tag_followers.info.yml:0","Social KPI Tag Followers","","","False","","",""
"modules/social_kpi_lite_tagged_content/social_kpi_lite_tagged_content.info.yml:0","Social KPI Taged Content","","","False","","",""
"modules/social_kpi_lite_user_login/social_kpi_lite_user_login.info.yml:0","Social KPI User Login","","","False","","",""
"modules/social_kpi_lite_tagged_content/social_kpi_lite_tagged_content.info.yml:0","Social KPI submodule for showing a content with specific tags.","","","False","","",""
"modules/social_kpi_lite_tag_followers/social_kpi_lite_tag_followers.info.yml:0","Social KPI submodule for showing tag followers block.","","","False","","",""
"modules/social_kpi_lite_user_login/social_kpi_lite_user_login.info.yml:0","Social KPI submodule for showing user login data based on the login_tracker drupal.org module.","","","False","","",""
"social_kpi_lite.links.menu.yml:0","View KPI Analytics reports.","","","False","","",""
