"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialRealtimeCollaborationForm.php:34","API keys","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_idea/src/Plugin/ActivityAction/SuggestActivityAction.php:7","Action that is triggered when new suggestion added","","","False","","",""
"modules/social_collaboration_tab/src/Form/SocialCollaborationTabSettingsForm.php:37","Active","","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.permissions.yml:0","Administer Collaboration Tab Settings","","","False","","",""
"social_realtime_collaboration.permissions.yml:0","Administer real-time collaboration","","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.permissions.yml:0","Allow access to the collaboration tab settings form to configure comments and suggestions.","","","False","","",""
"modules/social_collaboration_tab/config/schema/social_collaboration_tab.schema.yml:0","Allow regular users to leave comments in the description by default","","","False","","",""
"modules/social_collaboration_tab/config/schema/social_collaboration_tab.schema.yml:0","Allow regular users to suggest changes in the description by default","","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:53","Allowed content types","","","False","","",""
"social_realtime_collaboration.module:45","Click <em>CKEditor</em> in the <em>Your products</em> section of the main menu.","","","False","","",""
"social_realtime_collaboration.module:46","Click <em>Manage</em> in an item of the <em>Your subscriptions</em> page.","","","False","","",""
"modules/social_collaboration_tab/config/install/core.entity_form_mode.node.collaboration.yml:0","Collaboration","","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.module:135","Collaboration settings","","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.routing.yml:0","Collaboration tab settings","","","False","","",""
"modules/social_collaboration_tab/src/Form/SocialCollaborationTabSettingsForm.php:46","Comments","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_idea/social_collaboration_tab_idea.install:94","Configuration for the idea collaboration form has been created.","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_topic/social_collaboration_tab_topic.install:130","Configuration for the topic collaboration form has been created.","","","False","","",""
"src/Plugin/Filter/SocialRealtimeCollaborationSuggestion.php:10","Delete content between the <code>&lt;suggestion&gt;</code> paired tags.","","","False","","",""
"src/Plugin/Filter/SocialRealtimeCollaborationImage.php:10","Disallows usage of &lt;img&gt; tag sources that are not hosted on this site by replacing them with a placeholder image.","","","False","","",""
"social_realtime_collaboration.module:31","Follow by steps below for navigating to a page with required values:","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_idea/src/Plugin/ActivityContext/IdeaCoauthorsActivityContext.php:8","Idea coauthors activity context","","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.links.menu.yml:0","Manage access to CKEditor 5 comments and suggestions.","","","False","","",""
"social_realtime_collaboration.module:44","Open @url page.","","","False","","",""
"modules/social_collaboration_tab/src/Access/SocialCollaborationTabAccessCheck.php:61","Please add required values in a 'Real-time collaboration settings' form.","","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:53","Please choose for which types of content can be used RTC","","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:38","Please use the settings located at <a href=""@link"" target=""_blank"">CKEditor 5 Premium Features</a>","","","False","","",""
"social_realtime_collaboration.module:47","Press the <em>View</em> button in the <em>Actions</em> column of the <em>Environments</em> table for the needed environment.","","","False","","",""
"social_realtime_collaboration.info.yml:0","Provides Social Real-time Collaboration feature.","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_book/social_collaboration_tab_book.info.yml:0","Provides the collaboration tab for books.","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_idea/social_collaboration_tab_idea.info.yml:0","Provides the collaboration tab for ideas.","","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_topic/social_collaboration_tab_topic.info.yml:0","Provides the collaboration tab for topics.","","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.info.yml:0","Provides the collaboration tab.","","","False","","",""
"config/schema/social_realtime_collaboration.schema.yml:0","RTC allowed content types list","","","False","","",""
"social_realtime_collaboration.routing.yml:0","Real-time collaboration settings","","","False","","",""
"src/Plugin/Filter/SocialRealtimeCollaborationImage.php:10","Restrict images to this site","","","False","","",""
"modules/social_collaboration_tab/src/Form/SocialCollaborationTabSettingsForm.php:44","Select CKEditor 5 tools which should be enabled on the node creation/edit page by default.","","","False","","",""
"social_realtime_collaboration.links.menu.yml:0","Settings for real-time collaboration implementation.","","","False","","",""
