"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_related_content.permissions.yml:0","Administer related content block settings","","","False","","",""
"social_related_content.links.menu.yml:0","Administer settings for the social related content module.","","","False","","",""
"social_related_content.permissions.yml:0","Allow access to the related content block settings form to configure general options.","","","False","","",""
"src/Form/SocialRelatedContentSettingsForm.php:109","Display a specified number of items.","","","False","","",""
"config/schema/social_related_content.schema.yml:0","Items to display","","","False","","",""
"src/Form/SocialRelatedContentSettingsForm.php:108","Items to display.","","","False","","",""
"config/schema/social_related_content.schema.yml:0","Minimum number of matching terms","","","False","","",""
"src/Form/SocialRelatedContentSettingsForm.php:100","Minimum number of matching terms.","","","False","","",""
"social_related_content.info.yml:0","Provides block with related content based on similar content tags.","","","False","","",""
"config/optional/block.block.related_content_block.yml:0","Related content","","","False","","",""
"src/Plugin/Block/RelatedContentBlock.php:13","Related content block","","","False","","",""
"social_related_content.routing.yml:0","Related content settings","","","False","","",""
"src/Form/SocialRelatedContentSettingsForm.php:101","Set the minimum number of matching terms.","","","False","","",""
"social_related_content.info.yml:0","Social","","","False","","",""
"social_related_content.info.yml:0","Social Related Content","","","False","","",""
"config/schema/social_related_content.schema.yml:0","Social Related Content settings","","","False","","",""
"src/Form/SocialRelatedContentSettingsForm.php:86","Type configuration","","","False","","",""
