"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialRenamerSettingsForm.php:86","A topic","","",FALSE,"","",""
"social_renamer.permissions.yml:0","Administer renamer settings","","",FALSE,"","",""
"social_renamer.info.yml:0","Allows to rename content types, groups, users profiles","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:88","E.g. ""a project"", ""an initiative"", ""a topic"".","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:94","Plural","","",FALSE,"","",""
"social_renamer.links.menu.yml:0","Rename terms in the platform","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:75","Rename topic","","",FALSE,"","",""
"social_renamer.links.menu.yml:0","Renamer settings","","",FALSE,"","",""
"social_renamer.info.yml:0","Social","","",FALSE,"","",""
"social_renamer.routing.yml:0","Social Renamer","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:116","This field should not be an empty value.","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:81","Topic","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:70","Topic settings","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:92","Topics","","",FALSE,"","",""
"src/Form/SocialRenamerSettingsForm.php:77","When enabled, all the strings with topic will be replaced according to the settings below.","","",FALSE,"","",""
