"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_saas_core.permissions.yml:0","Access administration dashboard","","","False","","",""
"src/Controller/DashboardController.php:137","Account settings","","","False","","",""
"src/Controller/DashboardController.php:147","Add new user","","","False","","",""
"src/Controller/DashboardController.php:148","Add new user.","","","False","","",""
"src/Controller/DashboardController.php:326","Add to calendar settings","","","False","","",""
"social_saas_core.permissions.yml:0","Administer SaaS social captcha settings","","","False","","",""
"social_saas_core.permissions.yml:0","Administer SaaS social sharing settings","","","False","","",""
"social_saas_core.links.menu.yml:0","Administer Social Sharing settings","","","False","","",""
"src/Controller/DashboardController.php:563","Administer Webforms settings.","","","False","","",""
"src/Controller/DashboardController.php:545","Administer data policy settings","","","False","","",""
"src/Controller/DashboardController.php:554","Administer role management settings","","","False","","",""
"social_saas_core.links.menu.yml:0","Administer spam protection settings","","","False","","",""
"src/Controller/DashboardController.php:155","Administer which profile fields are enabled.","","","False","","",""
"src/Controller/DashboardController.php:143","Administration of all the people registered on the site.","","","False","","",""
"social_saas_core.permissions.yml:0","Allows access to the administration dashboard.","","","False","","",""
"social_saas_core.permissions.yml:0","Allows access to the captcha settings form and the ability to turn the captcha for registration on or off.","","","False","","",""
"social_saas_core.permissions.yml:0","Allows access to the sharing settings form and the ability to turn the sharing buttons on or off.","","","False","","",""
"src/Controller/DashboardController.php:269","Alternative Frontpage Settings","","","False","","",""
"src/Controller/DashboardController.php:103","Analytics overview.","","","False","","",""
"src/Controller/DashboardController.php:333","Anonymous event enrollment settings","","","False","","",""
"src/Controller/DashboardController.php:240","Appearance","","","False","","",""
"src/Controller/DashboardController.php:264","Basic Site Settings","","","False","","",""
"src/Controller/DashboardController.php:410","Broadcast Push Notification","Broadcast Notifiche Push","","False","","",""
"src/Controller/DashboardController.php:242","Change colors and styling","","","False","","",""
"src/Controller/DashboardController.php:369","Change event organiser settings.","","","False","","",""
"src/Controller/DashboardController.php:118","Change or add links to the Footer menu.","","","False","","",""
"src/Controller/DashboardController.php:113","Change or add links to the Main menu.","","","False","","",""
