"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Action/SocialTagModerationAddRoleUser.php:10","Add a role to the selected users","","","False","","",""
"src/Form/SocialTagModerationSettingsForm.php:107","Allow taxonomy manager edit course section","","","False","","",""
"social_tag_moderation.module:255","At least one moderation tag should be added.","","","False","","",""
"src/Plugin/Action/SocialTagModerationAddRoleUser.php:135","At least one tag should be included.","","","False","","",""
"src/Form/SocialTagModerationSettingsForm.php:109","It allows the taxonomy manager to edit sections in the course.","","","False","","",""
"social_tag_moderation.links.menu.yml:0","Manage taxonomy manager role in the platform","","","False","","",""
"src/Plugin/Action/SocialTagModerationAddRoleUser.php:85","Moderation tags","","","False","","",""
"social_tag_moderation.info.yml:0","Provides role for moderation by specific tags.","","","False","","",""
"social_tag_moderation.info.yml:0","Social Tag Moderation","","","False","","",""
"social_tag_moderation.routing.yml:0","Tag moderation settings","","","False","","",""
"config/optional/group.role.secret_group-520260ba3.yml:0","Taxonomy manager","","","False","","",""
"src/Form/SocialTagModerationSettingsForm.php:99","Vocabularies for Tag moderation","","","False","","",""
