"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_usercentrics.permissions.yml:0","Allow to set javascript that will loaded on ALL pages.","","","False","","",""
"src/Form/SocialUserCentricsForm.php:39","Enable User Centrics JS","","","False","","",""
"src/Form/SocialUserCentricsForm.php:59","Footer","","","False","","",""
"src/Form/SocialUserCentricsForm.php:65","Footer region","","","False","","",""
"src/Form/SocialUserCentricsForm.php:66","Footer region to put the JS in.","","","False","","",""
"src/Form/SocialUserCentricsForm.php:59","Header","","","False","","",""
"src/Form/SocialUserCentricsForm.php:56","JS Location","","","False","","",""
"social_usercentrics.info.yml:0","Module to insert JS snippet from User Centrics","","","False","","",""
"social_usercentrics.permissions.yml:0","Set User Centrics Javascript","","","False","","",""
"social_usercentrics.links.menu.yml:0","Settings for User Centric.","","","False","","",""
"social_usercentrics.info.yml:0","Social","","","False","","",""
"social_usercentrics.info.yml:0","Social User Centrics","","","False","","",""
"src/Form/SocialUserCentricsForm.php:57","The output location of the User Centrics JS.","","","False","","",""
"src/Form/SocialUserCentricsForm.php:40","Turn User Centrics JS on or off.","","","False","","",""
"social_usercentrics.routing.yml:0","User Centrics","","","False","","",""
"social_usercentrics.links.menu.yml:0","User Centrics JS settings","","","False","","",""
"src/Form/SocialUserCentricsForm.php:47","User Centrics is a paid service. Register your key at <a href=""@url"">@url</a>","","","False","","",""
"src/Form/SocialUserCentricsForm.php:46","User Centrics key","","","False","","",""
"social_usercentrics.links.task.yml:0","User Centrics settings","","","False","","",""
