"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/SocialWebformSubmissionListBuilder.php:112","Add notes to @label","","",FALSE,"","",""
"src/SocialWebformSubmissionListBuilder.php:223","Anonymous","","",FALSE,"","",""
"src/SocialWebformSubmissionListBuilder.php:112","Edit @label notes","","",FALSE,"","",""
"config/schema/social_webform.schema.yml:0","Link account name to profile","","",FALSE,"","",""
"src/SocialWebformSubmissionListBuilder.php:165","No","","",FALSE,"","",""
"social_webform.info.yml:0","Provides the ability to create forms and surveys.","","",FALSE,"","",""
"social_webform.info.yml:0","Social","","",FALSE,"","",""
"social_webform.info.yml:0","Social Webform","","",FALSE,"","",""
"config/schema/social_webform.schema.yml:0","Social Webform settings","","",FALSE,"","",""
"src/SocialWebformSubmissionListBuilder.php:165","Yes","","",FALSE,"","",""
"src/SocialWebformSubmissionListBuilder.php:160","draft","","",FALSE,"","",""
