"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"includes/form.inc:122","'%time ago'","'%time fa'","",FALSE,"","",""
"templates/group/group--small-teaser.html.twig:29","1 member","1 utente","",FALSE,"","",""
"src/Plugin/Preprocess/PageTitle.php:40","<em>Configure account settings:</em> @label","<em>Configura impostazioni dell'account: </em> @label","",FALSE,"","",""
"templates/comment/comment--activity-comment--dashboard.html.twig:25","'@comment_attachments_count attachment'","","",FALSE,"","",""
"templates/like/like-and-dislike-icons.html.twig:44;47","'@count like'","'@count mi piace'","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:173","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra non ha condiviso le informazioni del profilo.'","",FALSE,"","",""
"includes/form.inc:80","'@time ago'","'@time fa'","",FALSE,"","",""
"templates/group/group--hero.html.twig:94","Accept","Accetta","",FALSE,"","",""
"src/Plugin/Preprocess/Dropdown.php:26","Actions","Azioni","",FALSE,"","",""
"templates/private_message/private-message-thread.html.twig:59;61","Actions for this thread","Azioni per questo thread","",FALSE,"","",""
"templates/file/image-widget.html.twig:64;68","Add image","Aggiungi immagine","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:98","Address","Indirizzi","",FALSE,"","",""
"templates/node/node--teaser.html.twig:134","Author name","","",FALSE,"","",""
"socialbase.info.yml:0","Base theme for Open social installations. Create your own subtheme or enable Social Blue","Tema di base per le installazioni di Open Social. Crea il tuo sottotema o abilita Social Blue","",FALSE,"","",""
"src/Plugin/Preprocess/Node.php:177","Be the first one to comment","Commenta per primo/a","",FALSE,"","",""
"templates/node/book/book-navigation.html.twig:41","Book traversal links for","Link di attraversamento del book per","",FALSE,"","",""
"templates/navigation/breadcrumb.html.twig:16","Breadcrumb","Briciole di pane","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","CDN Provider","","",FALSE,"","",""
"templates/group/group--hero.html.twig:113","Cancel request","Elimina la richiesta","",FALSE,"","",""
"templates/block/block--views-exposed-filter-block.html.twig:70","Click to close search box","","",FALSE,"","",""
"templates/block/block--views-exposed-filter-block.html.twig:52","Click to open filter","","",FALSE,"","",""
"templates/block/block--system-menu-block--main.html.twig:51","Click to open search box","Clicca per aprire la barra di ricerca","",FALSE,"","",""
"templates/system/status-messages.html.twig:69","Close","Chiudi","",FALSE,"","",""
"templates/block/block--views-exposed-filter-block.html.twig:72","Close filter","","",FALSE,"","",""
"templates/form/form.html.twig:45;47","Close search window","","",FALSE,"","",""
"templates/group/group--teaser.html.twig:84","Closed group","","",FALSE,"","",""
"templates/comment/details--comment.html.twig:24","Collapse in","","",FALSE,"","",""
"templates/comment/details--comment.html.twig:27","Collapse out","","",FALSE,"","",""
"templates/system/details--collapsible.html.twig:24","Collapsible","","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Colorize Buttons","","",FALSE,"","",""
"src/Plugin/Preprocess/Node.php:177","Comments","Commenti","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Complementary","","",FALSE,"","",""
"socialbase.info.yml:0","Complementary bottom","","",FALSE,"","",""
"socialbase.info.yml:0","Complementary top","","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:72","Contact information","Informazioni di contatto","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Content","","",FALSE,"","",""
"socialbase.info.yml:0","Content bottom","","",FALSE,"","",""
"socialbase.info.yml:0","Content top","","",FALSE,"","",""
"src/Plugin/Preprocess/GroupSettingsHelp.php:55","Content visibility","Visibilità del contenuto","",FALSE,"","",""
"templates/views/views-view-unformatted--albums--embed-album-overview.html.twig:30","Cover image","Immagine di copertina","",FALSE,"","",""
"templates/node/node--teaser.html.twig:137","Created on","Creato","",FALSE,"","",""
"templates/system/pager.html.twig:67;73","Current page","","",FALSE,"","",""
"templates/block/block--data-policy-page-title-block.html.twig:41","Data Policy","Informativa sui dati","",FALSE,"","",""
"templates/group/group--hero.html.twig:97","Decline","Rifiuta","",FALSE,"","",""
"components/03-molecules/tabledrag/tabledrag.js:0","Drag to re-order","Trascina per riordinare","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:84","E-mail","E-mail","",TRUE,"","",""
"src/Plugin/Preprocess/PageTitle.php:35","Edit @label","Modifica @label","",FALSE,"","",""
"templates/node/node--hero.html.twig:82;85","Edit content","Modifica contenuto","",FALSE,"","",""
"templates/group/group--hero.html.twig:39;41","Edit group","Modifica gruppo","",FALSE,"","",""
"templates/profile/profile--profile--hero.html.twig:32;34","Edit profile information","Modifica le informazioni del profilo","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Enable Bootstrap Modals","","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Enable Bootstrap Tooltips","","",FALSE,"","",""
"templates/system/status-messages.html.twig:31","Error message","","",FALSE,"","",""
"templates/node/event/node--event--teaser.html.twig:22;24","Event date","Data dell'evento","",FALSE,"","",""
"templates/node/event/node--event--full.html.twig:52","Event location","Luogo dell'evento","",FALSE,"","",""
"templates/node/event/node--event--teaser.html.twig:43","Event type","","",FALSE,"","",""
"templates/node/event/node--event--teaser.html.twig:4;7","Event: &nbsp;","","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:111","Expertise","Esperienze","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Favicon","","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Favicon mimetype","","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Favicon settings","","",FALSE,"","",""
"templates/node/node--full.html.twig:149","Featured","In primo piano","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Features settings","","",FALSE,"","",""
"templates/node/field--node--field-files.html.twig:3","Files","File","",FALSE,"","",""
"templates/system/pager.html.twig:45","First page","Prima pagina","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","Footer","","",FALSE,"","",""
"templates/forum/forum-list.html.twig:54","Forum","Forum","",FALSE,"","",""
"templates/private_message/private-message-thread.html.twig:48;50","Go back to your inbox","Torna indietro nella tua inbox","",FALSE,"","",""
"templates/system/pager.html.twig:44","Go to first page","Vai alla prima pagina","",FALSE,"","",""
"templates/system/pager.html.twig:94","Go to last page","Vai all'ultima pagina","",FALSE,"","",""
