"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"token.module:295","'%name is using the following invalid tokens: @invalid-tokens.'","","","False","","",""
"token.module:281","'%name must contain at least one token.'","","","False","","",""
"token.module:287","'%name must contain at most one token.'","","","False","","",""
"token.tokens.inc:1569","'@label tokens.'","","","False","","",""
"token.tokens.inc:1552","'@type field.'","Campo @type.","","False","","",""
"token.tokens.inc:1549","'@type field. Also known as %labels.'","","","False","","",""
"token.tokens.inc:1587","'@type type with delta @delta'","","","False","","",""
"token.tokens.inc:124","A date in '@type' format. (%date)","Una data in formato '@type'. (%date)","","False","","",""
"token.tokens.inc:429","A random hash. The possible hashing algorithms are: @hash-algos.","Hash casuale. I possibili algoritmi di hashing sono: @hash-algos.","","False","","",""
"token.tokens.inc:425","A random number from 0 to @max.","Numero casuale compreso tra 0 e @max.","","False","","",""
"token.module:33","About","Informazioni","","False","","",""
"token.tokens.inc:360","Absolute URL","URL assoluto","","False","","",""
"token.tokens.inc:227","Account cancellation URL","URL cancellazione account","","False","","",""
"token.tokens.inc:276","An array of all the menu link's parents, starting with the root.","Una lista di tutti i genitori dei link del menu, a cominciare dalla radice.","","False","","",""
"token.tokens.inc:1207","An array of all the node's parents, starting with the root.","","","False","","",""
"token.tokens.inc:190","An array of all the term's parents, starting with the root.","Una lista di tutti i genitori del termine, a cominciare dalla radice.","","False","","",""
"token.tokens.inc:373","Arguments","Parametri","","False","","",""
"token.tokens.inc:380","Array","","","False","","",""
"token.tokens.inc:1169","Attempting to perform token replacement for token type %type without required data","Si è tentato di effettuare la sostituzione di un token di tipo %type senza fornire i dati richiesti.","","False","","",""
"token.tokens.inc:1191","Author","Autore/Autrice","","False","","",""
"src/Controller/TokenTreeController.php:51","Available tokens","Token disponibili","","False","","",""
"token.module:364","Available variables are: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","Le variabili disponibili sono: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","","False","","",""
"token.tokens.inc:212","Base name","Nome di base","","False","","",""
"token.tokens.inc:1181;1212","Book","","","False","","",""
"token.tokens.inc:364","Brief URL","URL abbreviato","","False","","",""
"token.pages.inc:17","Browse available tokens.","Sfoglia i token disponibili.","","False","","",""
"src/Element/TokenTreeTable.php:104","Click a token to insert it into the field you've last clicked.","Clicca un token per inserirlo nel campo che hai cliccato come ultimo.","","False","","",""
"token.module:654","Computed menu link for the node (only available during node saving).","","","False","","",""
"token.tokens.inc:340","Content language","","","False","","",""
"token.tokens.inc:147","Content type","Tipologia di contenuto","","False","","",""
"token.tokens.inc:154","Content types","Tipi di contenuto","","False","","",""
"token.tokens.inc:394","Count","Numero","","False","","",""
"token.tokens.inc:40","Current date","Data corrente","","False","","",""
"token.tokens.inc:313","Current page","Pagina attuale","","False","","",""
