"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/TypedDataFormWidget/DatetimeWidget.php:16","A datetime input widget.","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeRangeWidget.php:17","A datetime range input widget, containing two datetime values, for the start and end of the range.","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:18","A multi-line text input widget.","","","False","","",""
"src/Plugin/TypedDataFormWidget/SelectWidget.php:15","A simple select box.","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextInputWidget.php:16","A simple, one-line text input widget.","","","False","","",""
"src/Plugin/TypedDataFormWidget/BrokenWidget.php:13","A widget for everything that cannot be input or if a widget for a data type is not yet implemented.","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:125","Allowed values are ""none"", ""vertical"", ""horizontal"", or ""both"".","","","False","","",""
"src/Plugin/TypedDataFormWidget/SelectWidget.php:98","Allows overriding the label of the empty option","","","False","","",""
"src/Plugin/TypedDataFilter/DefaultFilter.php:10","Applies a default value if there is no value.","","","False","","",""
"src/Commands/TypedDataCommands.php:63","Available TypedData data types:","","","False","","",""
"src/Plugin/TypedDataFormWidget/BrokenWidget.php:13","Broken widget","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:124","Controls whether the text area is resizable","","","False","","",""
"src/Plugin/TypedDataFilter/LowerFilter.php:11","Converts a string to lower case.","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeWidget.php:16","Datetime","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeRangeWidget.php:17","Datetime Range","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:116","Description","","","False","","",""
"src/Plugin/TypedDataFormWidget/SelectWidget.php:97","Empty option label","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeRangeWidget.php:75","End date","","","False","","",""
"src/Commands/TypedDataCommands.php:26","Entity machine names:","","","False","","",""
"typed_data.info.yml:0","Extends the core Typed Data API with new APIs and features.","","","False","","",""
"src/Plugin/TypedDataFilter/FormatDateFilter.php:16","Formats a date, using a configured date type or a custom date format string.","","","False","","",""
"src/Commands/TypedDataCommands.php:42","Global context variables:","","","False","","",""
"src/Plugin/TypedDataFilter/FormatDateFilter.php:121","If 'custom' is given as date type, a custom date formatting string must be provided; e.g., 'Y-m-d H:i:s'.","","","False","","",""
"src/Plugin/TypedDataFilter/FormatDateFilter.php:118","If a custom date format is supplied, 'custom' must be passed as date format.","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextInputWidget.php:102","Input field size","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:114","Label","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextInputWidget.php:104","Maximum text length","","","False","","",""
"src/DataFilterBase.php:68","Missing arguments for filter %filter_id","","","False","","",""
"src/Plugin/TypedDataFormWidget/BrokenWidget.php:46","No widget exists for this data type.","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:122","Number of columns in the text box","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:120","Number of rows in the text box","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:118","Placeholder value","","","False","","",""
"src/Plugin/TypedDataFilter/EntityUrlFilter.php:13","Provides the URL of an entity.","","","False","","",""
"src/Plugin/TypedDataFormWidget/SelectWidget.php:15","Select","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeRangeWidget.php:69","Start date","","","False","","",""
"src/Plugin/DataType/TextData.php:8","Text","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextInputWidget.php:16","Text input","","","False","","",""
"src/Plugin/TypedDataFormWidget/TextareaWidget.php:18","Textarea","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeRangeWidget.php:142","The @title end date cannot be before the start date","","","False","","",""
"src/Plugin/TypedDataFilter/CountFilter.php:11","The count filter counts the number of characters in the input string.","","","False","","",""
"src/Plugin/TypedDataFormWidget/BrokenWidget.php:62","The field %field_label consists of the data type %data_type which cannot be input or a widget for this data type is not implemented yet.","","","False","","",""
"src/Plugin/TypedDataFilter/FormatTextFilter.php:11","The format_text filter passes the text through the given filter.","","","False","","",""
"src/Plugin/TypedDataFilter/StripTagsFilter.php:11","The striptags filter strips SGML/XML tags and replace adjacent whitespace by one space.","","","False","","",""
"src/Plugin/TypedDataFilter/TrimFilter.php:11","The trim filter removes whitespace from both the beginning and the end of an input string.","","","False","","",""
"src/Plugin/TypedDataFilter/UpperFilter.php:11","The upper filter converts the entire input string to upper case.","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeWidget.php:55","Timezone : %timezone %daylight_saving.","","","False","","",""
"typed_data.info.yml:0","Typed Data","","","False","","",""
"src/Plugin/TypedDataFilter/FormatDateFilter.php:115","Unkown date format %format given.","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeWidget.php:53","currently in daylight saving mode","","","False","","",""
"src/Plugin/TypedDataFormWidget/DatetimeWidget.php:53","not in daylight saving mode","","","False","","",""
