"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:643","'-- Select action --'","'-- Seleziona una azione --'","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:91","..plus @count more..","","","False","","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:424","Access denied","Accesso negato","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:356","Action","Azione","","False","","",""
"src/ViewsBulkOperationsBatch.php:161","Action processing results: @operations.","","","False","","",""
"src/Commands/ViewsBulkOperationsCommands.php:230","Action processing results: @results.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:420","Action title","Titolo azione","","False","","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Actions Permissions","","","False","","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Adds access permissions on all actions allowing admins to restrict access on a per-role basis.","","","False","","",""
"views_bulk_operations.info.yml:0","Adds an ability to perform bulk operations on selected entities from view results.","","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:101","All view results","","","False","","",""
"src/Form/ConfigureAction.php:99","Apply","Applica","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:638","Apply to selected items","","","False","","",""
"src/Form/ConfirmAction.php:92","Are you sure you wish to perform ""%action"" action on 1 entity?","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:389","Batch size","","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:223","Cancel","Annulla","","False","","",""
"src/Plugin/Action/CancelUserAction.php:14","Cancel the selected user accounts","Elimina i profili utente selezionati","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:241","Canceled ""%action"".","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:722","Clear","Cancella","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Clear selection when exposed filters change","Cancella la selezione quando cambiano i filtri","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:413","Clear selection when exposed filters change.","Cancella la selezione quando cambiano i filtri.","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:399","Configuration form on new page (configurable actions)","","","False","","",""
"src/Form/ConfigureAction.php:90","Configure ""%action"" action applied to the selection","","","False","","",""
"modules/views_bulk_operations_example/views_bulk_operations_example.info.yml:0","Defines an example action with all possible options.","","","False","","",""
"src/Plugin/Action/EntityDeleteAction.php:25","Delete entities","","","False","","",""
"src/Plugin/Action/EntityDeleteAction.php:8","Delete selected entities","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Display action options as buttons","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Display configuration form on a separate page","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:407","Display selectable actions as buttons.","","","False","","",""
"src/Commands/ViewsBulkOperationsCommands.php:226","Entity list generation time: @time ms.","","","False","","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:415","Entity type not supported","","","False","","",""
"modules/views_bulk_operations_example/src/Plugin/Action/ViewsBulkOperationExampleAction.php:52","Example setting","","","False","","",""
"modules/views_bulk_operations_example/src/Plugin/Action/ViewsBulkOperationExampleAction.php:75","Example setting pre-execute","","","False","","",""
"modules/views_bulk_operations_example/views_bulk_operations_example.info.yml:0","Examples","Esempi","","False","","",""
"src/Form/ConfirmAction.php:104","Execute action","","","False","","",""
"modules/actions_permissions/src/ActionsPermissions.php:89","Execute the %action action on %type.","","","False","","",""
"src/Commands/ViewsBulkOperationsCommands.php:227","Execution time: @time ms.","","","False","","",""
"src/ViewsBulkOperationsBatch.php:170","Finished with an error.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:931","Form error occurred, please try again.","","","False","","",""
"src/Commands/ViewsBulkOperationsCommands.php:156","Incorrect view ID provided.","","","False","","",""
"src/Commands/ViewsBulkOperationsCommands.php:159","Incorrect view display ID provided.","","","False","","",""
"src/Commands/ViewsBulkOperationsCommands.php:225","Initialization time: @time ms.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:715","Items excluded on other pages:","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:715","Items selected on other pages:","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:474","Leave empty for the default label.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:371","NOTE","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:941","No items selected.","Nessun elemento selezionato.","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:716","No selection","","","False","","",""
"src/Plugin/Action/CancelUserAction.php:143","Notify user when account is canceled","Avvisa l'utente quando il profilo viene eleminato","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:393","Only applicable if results are processed in a batch operation.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:473","Override label","","","False","","",""
"src/ViewsBulkOperationsBatch.php:210","Performing @operation on selected entities.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:926","Please select an action to perform.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:461","Preconfiguration for ""@action""","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Preliminary configuration array","","","False","","",""
"src/ViewsBulkOperationsBatch.php:68","Prepared @count of @total entities for processing.","","","False","","",""
"src/ViewsBulkOperationsBatch.php:195","Prepopulating entity list for processing.","","","False","","",""
"src/ViewsBulkOperationsBatch.php:202","Prepopulating, estimated time left: @estimate, elapsed: @elapsed.","","","False","","",""
"views_bulk_operations.module:16","Process entities returned by the view with Views Bulk Operations' actions.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:384","Process in a batch operation","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Process selected entities in a batch operation","","","False","","",""
"src/ViewsBulkOperationsBatch.php:137","Processed @count of @total entities.","","","False","","",""
"src/ViewsBulkOperationsBatch.php:217","Processing, estimated time left: @estimate, elapsed: @elapsed.","Elaborazione, tempo stimato rimanente: @estimate, trascorso: @elapsed.","","False","","",""
"src/Plugin/Action/CancelUserAction.php:136","Require email confirmation to cancel account","Richiedere e-mail di conferma per cancellare il profilo","","False","","",""
"js/adminUi.js:0","Select / deselect all","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:732","Select / deselect all results in this view (all pages, @count total)","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:690","Selected %count items in this view","","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:105","Selected @count entities - all in the view except:","","","False","","",""
"src/Form/ViewsBulkOperationsFormTrait.php:108","Selected @count entities:","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:429","Selected actions","Azioni selezionate","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Selected actions array","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Size of the processing batch","","","False","","",""
"src/Service/ViewsBulkOperationsActionProcessor.php:405","Skipped","","","False","","",""
"src/Plugin/Action/CancelUserAction.php:95","The current user account cannot be canceled in a batch operation. Select your account only or cancel it from your account page.","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:422","The title shown above the actions dropdown.","Il titolo visualizzato sopra l'elenco a discesa delle azioni.","","False","","",""
"src/Plugin/Action/CancelUserAction.php:98","The user 1 account (%label) cannot be canceled.","","","False","","",""
"config/schema/views_bulk_operations.views.schema.yml:0","Title of the action selector form element","","","False","","",""
"modules/views_bulk_operations_example/src/Plugin/Action/ViewsBulkOperationExampleAction.php:11","VBO example action","","","False","","",""
"views_bulk_operations.info.yml:0","Views","Viste","","False","","",""
"modules/actions_permissions/actions_permissions.info.yml:0","Views Bulk Operations","","","False","","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations batch starter","","","False","","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations configure step","","","False","","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations confirm execution","","","False","","",""
"modules/views_bulk_operations_example/views_bulk_operations_example.info.yml:0","Views Bulk Operations example","","","False","","",""
"views_bulk_operations.routing.yml:0","Views Bulk Operations multipage AJAX","","","False","","",""
"src/Plugin/views/field/ViewsBulkOperationsBulkForm.php:372","Views Bulk Operations will work only with normal entity views and contrib module views that are integrated. See \Drupal\views_bulk_operations\EventSubscriber\ViewsBulkOperationsEventSubscriber class for integration best practice.","","","False","","",""
"views_bulk_operations.module:15","Views bulk operations","","","False","","",""
