"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/VoteTypeDeleteConfirm.php:50","'%type is used by 1 piece of content on your site. You can not remove this vote type until you have removed that vote.'","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0;0;0;0;0;0;0;0;0;0;0;0;0;0",",","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","'- All -'","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:24","<li>Best vote :: <code>[votingapi_ENTITY_TYPE_token:best_vote:VOTE_TYPE]</code></li>","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:23","<li>Vote average :: <code>[votingapi_ENTITY_TYPE_token:vote_average:VOTE_TYPE]</code></li>","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:25","<li>Worst vote :: <code>[votingapi_ENTITY_TYPE_token:worst_vote:VOTE_TYPE]</code></li>","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:22","<ul><li>Vote count :: <code>[votingapi_ENTITY_TYPE_token:vote_count:VOTE_TYPE]</code></li>","","","False","","",""
"src/VoteTypeForm.php:85","A unique machine-readable name for this vote type. It must only contain lowercase letters, numbers, and underscores.","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:18","About","Informazioni","","False","","",""
"src/VoteTypeForm.php:62;86","Add vote type","","","False","","",""
"src/VoteTypeForm.php:156","Added vote type %name.","","","False","","",""
"votingapi.permissions.yml:0","Administer Vote Types","","","False","","",""
"votingapi.permissions.yml:0","Administer Voting API","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","All","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","All Votes","","","False","","",""
"votingapi.permissions.yml:0","Allow access to configure Voting API.","","","False","","",""
"votingapi.permissions.yml:0","Allow access to create/edit vote types.","","","False","","",""
"votingapi.permissions.yml:0","Allow access to delete any vote.","","","False","","",""
"src/Form/SettingsForm.php:123","Allow deleting votes to someone else's entity when owner user of this votes is deleting.","","","False","","",""
"src/Form/SettingsForm.php:93","Anonymous vote rollover","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Apply","","","False","","",""
"src/Form/VoteDeleteConfirm.php:52","Are you sure you want to delete the vote?","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Asc","","","False","","",""
"src/Entity/Vote.php:216","Authored by","Creato da","","False","","",""
"src/Plugin/VoteResultFunction/Average.php:7","Average","Media","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:33","Average Result","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:35","Average result of votes.","","","False","","",""
"votingapi.module:42","Basic Concepts and Features","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:38","Best Vote","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:40","Best Vote cast.","","","False","","",""
"src/Form/SettingsForm.php:109","Calculation schedule","","","False","","",""
"votingapi.links.menu.yml:0","Configure Voting API.","","","False","","",""
"src/Plugin/VoteResultFunction/Count.php:7","Count","Numero","","False","","",""
"src/Entity/VoteResult.php:204","Created","Creato","","False","","",""
"config/schema/votingapi_widgets.schema.yml:0","Default value","Valore predefinito","","False","","",""
"votingapi.routing.yml:0;0","Delete","Elimina","","False","","",""
"src/Commands/VotingApiCommands.php:114","Delete @type voting data?","","","False","","",""
"votingapi.permissions.yml:0","Delete Votes","","","False","","",""
"src/Form/SettingsForm.php:122","Delete everywhere","","","False","","",""
"src/VoteTypeForm.php:116","Delete vote type","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Desc","","","False","","",""
"src/VoteTypeForm.php:104","Describe this vote type. The text will be displayed on administrative pages.","","","False","","",""
"src/VoteTypeListBuilder.php:24","Description","Descrizione","","False","","",""
"src/Form/SettingsForm.php:115","Do not tally results automatically: I am using a module that manages its own vote results.","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:23","Dynamic Tokens for VotingAPI.","","","False","","",""
"votingapi.links.task.yml:0","Edit","Modifica","","False","","",""
"src/VoteTypeForm.php:65","Edit %label vote type","","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:39","Entity ID","ID Entità","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:38","Entity Type","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Entity Votes","","","False","","",""
"src/Commands/VotingApiCommands.php:130","Flushed vote data for @type entities.","","","False","","",""
"src/Entity/VoteResult.php:196","Function","Funzione","","False","","",""
"src/Entity/VoteResult.php:197","Function to apply to the numbers.","","","False","","",""
"votingapi.module:40","General","","","False","","",""
"src/Commands/VotingApiCommands.php:51","Generated @vtype votes for @etype entities.","","","False","","",""
"src/Entity/VoteResult.php:159","ID","ID","","False","","",""
"src/VoteTypeListBuilder.php:20","Id","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Items per page","","","False","","",""
"src/VoteTypeListBuilder.php:21","Label","Etichetta","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Last »","","","False","","",""
"votingapi.links.task.yml:0","List","Elenco","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Lists of all votes and votes per entity.","","","False","","",""
"config/schema/votingapi.schema.yml:0","Machine-readable name","Nome ad uso interno","","False","","",""
"votingapi.links.menu.yml:0","Manage Vote Types.","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Master","","","False","","",""
"src/VoteTypeForm.php:69","Name","Nome","","False","","",""
"src/VoteTypeListBuilder.php:62","No vote types available. <a href=""@link"">Add vote type</a>.","","","False","","",""
"config/install/votingapi.vote_type.vote.yml:0","Normal vote","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:30","Number of votes.","Numero di voti.","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Offset","","","False","","",""
"src/Form/SettingsForm.php:110","On high-traffic sites, administrators can use this setting to postpone the calculation of vote results.","","","False","","",""
"votingapi.module:32","Please view the %url page for more details.","","","False","","",""
"votingapi.info.yml:0","Provides a voting API that other modules can make use of.","","","False","","",""
"src/Commands/VotingApiCommands.php:85","Rebuilt voting results for @type id: @entity_id.","","","False","","",""
"src/Commands/VotingApiCommands.php:81","Rebuilt voting results for @type votes.","","","False","","",""
"src/Form/SettingsForm.php:101","Registered user vote rollover","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Reset","","","False","","",""
"config/schema/votingapi_widgets.schema.yml:0","Result function","","","False","","",""
"src/VoteTypeForm.php:115","Save vote type","","","False","","",""
"votingapi.links.task.yml:0","Settings","Impostazioni","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Sort by","","","False","","",""
"config/schema/votingapi_widgets.schema.yml:0;0","Status","Status","","False","","",""
"src/Plugin/VoteResultFunction/Sum.php:7","Sum","Somma","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:42","Tag","Etichetta","","False","","",""
"src/Form/SettingsForm.php:114","Tally results at cron-time","","","False","","",""
"src/Form/SettingsForm.php:113","Tally results whenever a vote is cast","","","False","","",""
"src/Entity/VoteResult.php:180","The ID from the voted entity","","","False","","",""
"src/Entity/Vote.php:227","The IP address hash from the user who submitted the vote.","","","False","","",""
"src/Entity/VoteViewsData.php:22","The Vote ID.","","","False","","",""
"src/Entity/VoteResultViewsData.php:22","The Vote Result ID.","","","False","","",""
"src/Form/SettingsForm.php:94","The amount of time that must pass before two anonymous votes from the same computer are considered unique. Setting this to 'never' will eliminate most double-voting, but will make it impossible for multiple anonymous on the same computer (like internet cafe customers) from casting votes.","","","False","","",""
"src/Form/SettingsForm.php:102","The amount of time that must pass before two registered user votes from the same user ID are considered unique. Setting this to 'never' will eliminate most double-voting for registered users.","","","False","","",""
"src/Plugin/VoteResultFunction/Average.php:7","The average vote value.","","","False","","",""
"config/install/votingapi.vote_type.vote.yml:0","The default tag for votes on content. If multiple votes with different tags are being cast on a piece of content, consider casting a ""summary"" vote with this tag as well.","","","False","","",""
"src/VoteTypeForm.php:72","The human-readable name of this vote type. This text will be displayed as part of the list on the <em>Add vote type</em> page. This name must be unique.","","","False","","",""
"src/Plugin/VoteResultFunction/Count.php:7","The number of votes cast.","","","False","","",""
"src/Entity/VoteResult.php:185","The numeric value of the vote.","","","False","","",""
"src/Entity/VoteResult.php:205","The time that the entity was created.","L'ora in cui l'elemento è stato creato.","","False","","",""
"src/Plugin/VoteResultFunction/Sum.php:7","The total of all vote values.","","","False","","",""
"src/Entity/VoteResult.php:172","The type from the voted entity.","","","False","","",""
"src/VoteTypeForm.php:95","The type of value for this vote (percentage, points, etc.)","","","False","","",""
"src/Entity/Vote.php:217","The user who submitted the vote.","","","False","","",""
"src/Entity/Vote.php:172","The vote ID.","","","False","","",""
"src/Entity/Vote.php:178","The vote UUID.","","","False","","",""
"src/Form/VoteDeleteConfirm.php:65","The vote by %user on @entity-type %label has been deleted.","","","False","","",""
"src/Entity/VoteResult.php:160","The vote result ID.","","","False","","",""
"src/VoteTypeForm.php:151","The vote type %name has been added.","","","False","","",""
"src/VoteTypeForm.php:148","The vote type %name has been updated.","","","False","","",""
"src/Entity/VoteResult.php:166","The vote type.","","","False","","",""
"votingapi.views.inc:75","This includes vote result ""@result_function"" for the @plural_label","","","False","","",""
"votingapi.views.inc:95","This includes vote result ""@result_function"" for the @plural_label voted with @vote_type","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:19","This module enables tokens for all entity types that has <kbd>voting_api_field</kbd>.","","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:44","Timestamp","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.info.yml:0","Token support for Voting API","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:21","Tokens are dynamic and you have to pass <emph>vote_type</emph> as the last parameter. Module defines four tokens:","","","False","","",""
"votingapi.module:44","Two kinds of records are stored: individual votes by each user on each piece of content, and cached ""result"" records. The cached records aggregate calculated values like the average vote for a piece of content, how many people voted on it, etc. Each time a user votes, the cached result records are automatically recalculated. This means that no ""on-the-fly"" calculations have to be done when displaying content ratings.","","","False","","",""
"src/Entity/VoteResult.php:165","Type","","","False","","",""
"config/schema/votingapi.schema.yml:0","Type of vote value (percentage, points, etc.)","","","False","","",""
"src/Entity/Vote.php:177","UUID","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.module:20","Usage","","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:43","User ID","ID utente","","False","","",""
"votingapi.module:38","Uses","","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:40","Value","Valore","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:41","Value Type","","","False","","",""
"src/VoteTypeListBuilder.php:22","Value type","Tipo di valore","","False","","",""
"src/VoteTypeForm.php:154","View","Visualizza","","False","","",""
"src/Entity/VoteViewsData.php:21","Vote","Vota","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:37","Vote ID","","","False","","",""
"src/Entity/VoteResultViewsData.php:21","Vote Result","","","False","","",""
"votingapi.views.inc:74;81","Vote Result ""@result_function"" for @plural_label","","","False","","",""
"votingapi.views.inc:94;101","Vote Result ""@result_function"" for @plural_label: @vote_type_label","","","False","","",""
"src/Plugin/migrate/source/d7/Vote.php:45","Vote Source","","","False","","",""
"config/schema/votingapi.schema.yml:0","Vote Type","","","False","","",""
"votingapi.routing.yml:0","Vote Types","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:28","Vote count","","","False","","",""
"config/schema/votingapi_widgets.schema.yml:0","Vote plugin","","","False","","",""
"src/Entity/VoteResult.php:11","Vote result","","","False","","",""
"src/Entity/VoteResult.php:11","Vote results","","","False","","",""
"config/schema/votingapi.schema.yml:0","Vote tallying","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0;0;0","Vote type","","","False","","",""
"src/Entity/VoteType.php:9","Vote types","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0;0;0","Voted by","","","False","","",""
"src/Entity/VoteResult.php:179","Voted entity","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0;0","Voted on","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Voter","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0;0","Votes","Voti","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.info.yml:0","Voting","","","False","","",""
"votingapi.info.yml:0","Voting API","","","False","","",""
"votingapi.links.menu.yml:0","Voting API Settings","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.info.yml:0","Voting API Tokens","","","False","","",""
"votingapi.routing.yml:0","Voting API settings","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Voting API votes","","","False","","",""
"config/schema/votingapi_widgets.schema.yml:0;0","Voting API widget field settings.","","","False","","",""
"votingapi.module:43","VotingAPI does NOT directly expose any voting mechanisms to end users. It is a framework designed to make life easier for other developers, and to standardize voting data for consumption by other modules (like Views).","","","False","","",""
"votingapi.module:31","VotingAPI helps developers who want to use a standardized API and schema for storing, retrieving and tabulating votes for Drupal content.","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:22","VotingAPI tokens","","","False","","",""
"votingapi.module:41","VotingAPI uses a flexible, easy-to-use framework for rating, voting, moderation, and consensus-gathering modules in Drupal. Module developers use it to focus on their ideas (say, providing a ""rate this thread"" widget at the bottom of each forum post) without worrying about the grunt work of storing votes, preventing ballot-stuffing, calculating the results, and so on.","","","False","","",""
"config/schema/votingapi.schema.yml:0","VotingApi settings","","","False","","",""
"config/optional/views.view.votingapi_votes.yml:0","Votingapi Votes","","","False","","",""
"config/schema/votingapi_widgets.schema.yml:0","Widget format","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:43","Worst Vote","","","False","","",""
"modules/votingapi_tokens/votingapi_tokens.tokens.inc:45","Worst Vote cast.","","","False","","",""
"src/Form/VoteDeleteConfirm.php:79","You are about to delete a vote by %user on @entity-type %label. This action cannot be undone.","","","False","","",""
"src/Entity/Vote.php:12","vote","","","False","","",""
"src/Entity/VoteResult.php:11","vote result","","","False","","",""
