"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"weight.views.inc:24","'@title Selector'","","",FALSE,"","",""
"weight.views.inc:20","'@title Selector (@field)'","","",FALSE,"","",""
"weight.info.yml:0","Allows arbitrary ordering of entities.","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/WeightFieldFormatter.php:8","Default","Predefinito","",FALSE,"","",""
"weight.info.yml:0","Field types","Tipi di campo","",FALSE,"","",""
"src/Plugin/views/field/WeightSelector.php:67","Range","","",FALSE,"","",""
"src/Plugin/views/field/WeightSelector.php:68","The range of weights available to select. For
        example, a range of 20 will allow you to select a weight between -20
        and 20.","","",FALSE,"","",""
"src/Plugin/Field/FieldType/WeightItem.php:10","This field stores a weight in the database as an integer.","","",FALSE,"","",""
"config/schema/weight.schema.yml:0","Unsigned","Senza segno","",FALSE,"","",""
"src/Plugin/Field/FieldType/WeightItem.php:10","Weight","Peso","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/WeightSelectorWidget.php:9","Weight Selector","","",FALSE,"","",""
"config/schema/weight.schema.yml:0","Weight field settings","","",FALSE,"","",""
"config/schema/weight.schema.yml:0","Weight field storage settings","","",FALSE,"","",""
"config/schema/weight.schema.yml:0","Weight field value","","",FALSE,"","",""
"src/Plugin/Field/FieldType/WeightItem.php:48","Weight value","","",FALSE,"","",""
"src/Plugin/views/field/WeightSelector.php:149","Your changes have been saved.","","",FALSE,"","",""
"config/schema/weight.views.schema.yml:0","weight selector element","","",FALSE,"","",""
