"timestamp","source","destination","not.found","skipped","accepted","total","result","count"
"2021-09-29 11:28:34","gpit it","gpch it_CH","187","10842","0","25720","0","25720"
"2021-09-29 11:26:25","gpfr fr","gpch fr_CH","199","12313","0","25703","0","25703"
"2021-09-29 11:24:22","gpde de","gpch de_CH","211","13488","0","25721","0","25721"
"2021-09-20 15:09:26","gpit it","gpch it_CH","0","136","0","152","0","152"
"2021-09-20 15:09:25","gpfr fr","gpch fr_CH","0","122","0","152","0","152"
"2021-09-20 15:09:24","gpde de","gpch de_CH","0","50","1","152","1","152"
"2021-09-20 15:06:24","gpit it","gpch it_CH","0","136","0","152","0","152"
"2021-09-20 15:06:23","gpfr fr","gpch fr_CH","0","122","0","152","0","152"
"2021-09-20 15:06:22","gpde de","gpch de_CH","0","51","0","152","0","152"
"2021-09-20 13:34:29","gpit it","gpch it_CH","187","10863","0","25607","0","25607"
"2021-09-20 13:32:21","gpfr fr","gpch fr_CH","199","12329","0","25590","0","25590"
"2021-09-20 13:30:18","gpde de","gpch de_CH","211","13509","0","25608","0","25608"
"2021-09-20 13:20:29","gpit it","gpch it_CH","0","0","0","0","0","0"
"2021-09-20 13:20:29","gpfr fr","gpch fr_CH","0","0","0","0","0","0"
"2021-09-20 13:20:29","gpde de","gpch de_CH","0","0","0","0","0","0"
"2021-09-19 15:14:31","gpit it","gpch it_CH","187","10863","0","25607","0","25607"
"2021-09-19 15:11:57","gpfr fr","gpch fr_CH","199","12329","0","25590","0","25590"
"2021-09-19 15:09:32","gpde de","gpch de_CH","211","13509","0","25608","0","25608"
"2021-09-16 18:13:22","gpit it","gpch it_CH","187","10870","0","25603","0","25603"
"2021-09-16 18:10:50","gpfr fr","gpch fr_CH","199","12331","0","25586","0","25586"
"2021-09-16 18:08:22","gpde de","gpch de_CH","211","13509","0","25604","0","25604"
"2021-09-16 17:44:22","gpit it","gpch it_CH","187","10870","0","25603","0","25603"
"2021-09-16 17:41:49","gpfr fr","gpch fr_CH","199","12331","0","25586","0","25586"
"2021-09-16 17:39:20","gpde de","gpch de_CH","211","13509","0","25604","0","25604"
"2021-09-16 17:28:08","gpit it","gpch it_CH","0","136","0","152","0","152"
"2021-09-16 17:28:07","gpfr fr","gpch fr_CH","0","122","0","152","0","152"
"2021-09-16 17:28:06","gpde de","gpch de_CH","0","51","0","152","0","152"
